GSM_number	Tissue	Animal	Sample_number
GSM4648593	Aorta	Mouse	C53
GSM4648594	Aorta	Mouse	C65
GSM4648595	Aorta	Mouse	C77
GSM4648596	Aorta	Mouse	C89
GSM4648597	Aorta	Mouse	C6
GSM4648598	Aorta	Mouse	C18
GSM4648599	Aorta	Mouse	C30
GSM4648600	Aorta	Mouse	C42
GSM4648601	Aorta	Mouse	C54
GSM4648602	Aorta	Mouse	C66
GSM4648603	Aorta	Mouse	C78
GSM4648604	Aorta	Mouse	C90
GSM4648605	Aorta	Mouse	C7
GSM4648606	Aorta	Mouse	C19
GSM4648607	SkinEar	Mouse	C31
GSM4648608	SkinEar	Mouse	C43
GSM4648609	SkinEar	Mouse	C55
GSM4648610	SkinEar	Mouse	C67
GSM4648611	SkinEar	Mouse	C79
GSM4648612	SkinEar	Mouse	C91
GSM4648613	SkinEar	Mouse	C8
GSM4648614	SkinEar	Mouse	C20
GSM4648615	SkinEar	Mouse	C32
GSM4648616	SkinEar	Mouse	C44
GSM4648617	SkinEar	Mouse	C56
GSM4648618	SkinEar	Mouse	C68
GSM4648619	SkinEar	Mouse	C80
GSM4648620	SkinEar	Mouse	C92
GSM4648621	Liver	Mouse	C9
GSM4648622	Liver	Mouse	C21
GSM4648623	Liver	Mouse	C33
GSM4648624	Liver	Mouse	C45
GSM4648625	Liver	Mouse	C57
GSM4648626	Liver	Mouse	C69
GSM4648627	Liver	Mouse	C81
GSM4648628	Liver	Mouse	C93
GSM4648629	Liver	Mouse	C10
GSM4648630	Liver	Mouse	C22
GSM4648631	Liver	Mouse	C34
GSM4648632	Liver	Mouse	C46
GSM4648633	Liver	Mouse	C58
GSM4648634	Liver	Mouse	C70
