ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0042773,ATP synthesis coupled electron transport,79,0.7916334629783784,2.630538590841238,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2515,"tags=62%, list=12%, signal=55%",11315/637/7381/1350/4708/1340/374291/4694/4706/23479/100532726/55967/4717/4695/27069/388753/4709/29796/4712/9167/4697/790955/1329/9377/51142/6622/1327/1347/7386/4707/4716/4702/27089/65018/4713/54205/4728/7384/4700/4705/1346/1537/246269/6391/4696/4725/4715/1345/4710
GO:0042775,mitochondrial ATP synthesis coupled electron transport,79,0.7916334629783784,2.630538590841238,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2515,"tags=62%, list=12%, signal=55%",11315/637/7381/1350/4708/1340/374291/4694/4706/23479/100532726/55967/4717/4695/27069/388753/4709/29796/4712/9167/4697/790955/1329/9377/51142/6622/1327/1347/7386/4707/4716/4702/27089/65018/4713/54205/4728/7384/4700/4705/1346/1537/246269/6391/4696/4725/4715/1345/4710
GO:0006119,oxidative phosphorylation,113,0.749314930992014,2.625533698880499,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2588,"tags=55%, list=12%, signal=48%",514/11315/637/7381/521/1350/4708/1340/10476/374291/4694/4706/23479/93974/100532726/55967/4717/4695/27069/388753/4709/506/54539/29796/400916/4712/9167/4697/790955/515/1329/9377/51142/6622/1327/1347/7386/10105/4707/4716/2631/4702/27089/65018/4713/54205/4728/6472/7384/4700/4705/1346/1537/246269/6391/4696/539/4725/4715/1345/4710/432369
GO:0002181,cytoplasmic translation,154,0.696327366626762,2.5545390011955185,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2940,"tags=57%, list=14%, signal=50%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/7555/6157/6210/8531/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/27335/6181/23521/6208/6207/6169/6136/6132/1968/6193/6203/6233/25873/6143/6205/1974/85451/6451/6130/3646/4904/6164/6158/22916/10399/1936/200916/6170/2197/51121/6125/221120/6129/8665/6206/8891/8662/6161/9349/6165/10605/6227/6133/5936/3921/1939/6152/6124/1983/2332/6128/6147
GO:0022904,respiratory electron transport chain,101,0.7425137085404623,2.55188914788409,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2515,"tags=53%, list=12%, signal=47%",11315/637/7381/1350/4708/1340/4190/374291/4694/4706/23479/100532726/55967/4717/4695/27069/388753/4709/144363/2109/29796/4712/9167/4697/9997/790955/1329/9377/51142/6622/1327/1347/7386/4707/4716/4702/27089/65018/4713/54205/4728/7384/4700/4705/1346/1537/246269/6648/6391/4696/4725/4715/1345/4710
GO:0022900,electron transport chain,108,0.7317954626863935,2.5481406777044278,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2615,"tags=52%, list=12%, signal=46%",11315/637/7381/1350/4708/1340/4190/374291/4694/4706/23479/100532726/55967/4717/4695/27069/388753/4709/144363/2109/29796/4712/9167/4697/9997/790955/1329/9377/51142/6622/1327/1347/7386/4707/4716/4702/27089/65018/4713/54205/4728/7384/4700/4705/57215/1346/1537/246269/6648/6391/4696/4725/4715/1345/4710/10495
GO:0019646,aerobic electron transport chain,72,0.7824115915060017,2.543222544303718,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2515,"tags=61%, list=12%, signal=54%",11315/7381/1350/4708/1340/374291/4694/4706/23479/100532726/4717/4695/4709/29796/4712/9167/4697/790955/1329/9377/6622/1327/1347/7386/4707/4716/4702/27089/65018/4713/54205/4728/7384/4700/4705/1346/1537/246269/6391/4696/4725/4715/1345/4710
GO:0009060,aerobic respiration,158,0.6565086037399166,2.4187207421668373,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2588,"tags=47%, list=12%, signal=42%",514/11315/637/7381/521/1350/4708/1340/23530/10476/4190/374291/4694/4706/23479/93974/100532726/55967/4717/4695/29997/27069/388753/4709/506/751071/54539/29796/400916/4967/4712/9167/4697/3418/5160/790955/515/1329/2647/3421/9377/51142/6622/1327/1347/7386/10105/4707/4716/2631/4702/27089/65018/4713/54205/4728/6472/2271/7384/4700/4705/1346/8802/847/1537/246269/5162/6391/4696/539/4725/4715/1345/4710/432369
GO:0045333,cellular respiration,203,0.613735288381767,2.3113029685262525,1e-10,3.4781572837529995e-8,3.0361773974850214e-8,2588,"tags=42%, list=12%, signal=38%",514/11315/637/7381/521/1350/4708/1340/23530/10476/4190/374291/4694/4706/23479/93974/100532726/55967/4717/4695/29997/3454/27069/388753/4709/506/144363/751071/54539/2109/29796/400916/4967/4712/9167/4697/3418/9997/5160/790955/515/87178/1329/2647/3421/9377/205251/51142/6622/1327/1347/7386/10105/4707/4716/3588/2631/4938/4702/27089/65018/4713/54205/4728/6472/2271/7384/4700/4705/1346/8802/847/1537/246269/5162/6648/6391/4696/539/27166/4725/4715/1345/4710/55847/432369
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,82,0.6891785218402159,2.3022811504723855,1.0571906637547111e-10,3.4781572837529995e-8,3.0361773974850214e-8,2655,"tags=52%, list=13%, signal=46%",514/521/4708/10476/3988/374291/3614/4694/4706/93974/55967/4717/4695/517/4709/506/54539/226/4831/523/4712/790955/515/7114/4707/4716/516/4702/65018/4713/4728/1353/4700/4705/4833/6391/4696/539/4725/4715/4710/432369/56848
