ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03010,Ribosome,163,0.7690011188748322,2.8417620341398657,1e-10,6.96e-9,4.8e-9,2519,"tags=66%, list=12%, signal=59%",6217/6222/6176/6142/6232/100529097/6175/6171/6223/6135/6138/6230/100529239/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/219927/51081/6134/64975/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/51318/6181/23521/28998/6208/6207/55052/6169/6136/6132/6193/79590/6203/64981/6233/25873/6143/6166/6205/64963/51023/64928/84311/6130/9553/6164/6150/6158/11222/64951/10399/116541/100526842/51073/116540/65080/84545/63875/28973/200916/6183/29093/6170/2197/51121/51253/6125/29088/7818/54460/6129/6206/128308/63931/64949/64969/124995/51642/6161/57129/65993/64978/9349/6165/51650/64979/6227/122704/6133
hsa00190,Oxidative phosphorylation,105,0.7292203025458904,2.5615069795064804,1e-10,6.96e-9,4.8e-9,2515,"tags=54%, list=12%, signal=48%",514/10063/7381/521/1350/4708/537/1340/10476/374291/4694/4706/100532726/9296/55967/4717/4695/517/4709/506/5464/54539/533/29796/523/4712/9167/4697/515/1329/9377/1327/1347/526/7386/4707/4716/516/4702/27089/4713/54205/4728/1353/7384/4700/4705/1346/1537/6391/4696/535/539/4725/4715/1345/4710
hsa05171,Coronavirus disease - COVID-19,190,0.6369264532487715,2.3967897163392027,1e-10,6.96e-9,4.8e-9,1814,"tags=37%, list=9%, signal=34%",6217/6222/6176/6142/6232/100529097/6175/6171/6223/6135/6138/6230/100529239/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/3454/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/9636/6203/6233/25873/6143/6166/6205/6130/3553/6164/6158/100526842/1147/4938/200916/728/6170/2197/5595/4599/51121/6125/5601/6129/5970/6206
hsa05012,Parkinson disease,225,0.5837533146247907,2.2339937612166287,1e-10,6.96e-9,4.8e-9,3182,"tags=50%, list=15%, signal=43%",514/11315/7381/1350/4708/1340/7295/10476/7314/374291/4694/4706/5688/100532726/55967/4717/4695/801/7311/517/4709/7280/506/5694/5717/54539/7277/27429/5704/29796/6233/5071/4712/5701/9167/4697/515/89953/1329/9377/81027/6622/1327/808/1347/7157/7386/10105/6647/1649/4707/4716/5702/5692/5566/7345/516/4702/27089/1616/65018/9246/4713/54205/5691/4728/6571/5705/7384/25828/5690/2771/51465/4700/2778/4705/5601/9861/292/291/1346/5689/2773/147700/7318/1537/5710/6391/22926/4696/539/5714/7419/5685/4725/4715/3309/1345/4710/57181/7846/347733/815/118424/5686/9817/2774/4731/7979/10376/7327/1965/7317
hsa05016,Huntington disease,262,0.5222253886252922,2.031927917920319,1e-10,6.96e-9,4.8e-9,2372,"tags=36%, list=11%, signal=33%",514/2876/7381/1350/4708/1340/10476/6506/374291/4694/4706/5688/100532726/55967/4717/4695/517/4709/5434/7280/506/5694/5717/54539/7277/5704/29796/160/5439/4712/10540/5701/1175/10671/9167/4697/515/89953/1329/9377/81027/1327/1347/7157/7386/10105/1212/6647/10121/4707/4716/5702/5432/5692/5435/1742/5436/516/4702/27089/4713/54205/5691/4728/6667/5705/7384/5690/55062/7019/4700/3092/5438/2891/4705/5601/9861/2890/292/291/1346/5689/147700/55860/1537/5710/6648/6391/4696/539/5714/7419/5685/4725/4715
hsa05208,Chemical carcinogenesis - reactive oxygen species,184,0.5514145507530593,2.0628928156017268,1.5452984873915213e-10,8.085625158104756e-9,5.576293212486039e-9,2635,"tags=41%, list=13%, signal=36%",514/7381/1350/4708/873/1340/10476/374291/4694/4706/100532726/369/55967/4717/4695/517/4709/5605/506/54539/29796/4712/9446/52/9167/4697/515/1329/9377/4257/8644/1327/1347/7386/10105/6647/4707/4716/1147/4893/516/4702/3845/27089/4713/4728/2885/3265/5595/7384/4700/4705/5601/23683/5970/292/291/1346/2052/847/25865/1537/6648/6391/4696/539/2353/7419/4725/4715/5580/1345/4710/3162/4792/1545
hsa05014,Amyotrophic lateral sclerosis,314,0.4810452868086247,1.9053916304601386,1.6264188536417613e-10,8.085625158104756e-9,5.576293212486039e-9,2515,"tags=34%, list=12%, signal=31%",514/5216/637/2876/7381/1350/4708/1340/10476/6506/374291/4694/4706/5688/100532726/55967/4717/4695/8878/517/4709/7280/506/5694/5717/54539/7277/53371/4747/5704/7133/29796/400916/5071/4712/10540/2903/5701/10671/9167/4697/515/89953/1329/9377/81027/1327/1347/7157/7386/8480/6647/10121/1649/71/4707/4716/5868/5702/5692/516/4702/9973/27089/1616/65018/4713/54205/5691/4728/25978/5705/7384/5690/55062/310/4700/2891/4705/311/9861/2890/79139/1346/5689/4741/147700/55860/847/1537/5710/6391/22926/29110/4696/539/5714/79023/203228/5685/4725/9688/4715/3309/1345/10013/8021/4710
hsa05022,Pathways of neurodegeneration - multiple diseases,405,0.44084973015910534,1.7852057586311338,3.598530320252138e-10,1.5653606893096802e-8,1.0795590960756416e-8,2412,"tags=31%, list=11%, signal=28%",514/11315/637/2876/7381/1350/4708/1340/10476/7314/374291/4694/4706/5688/100532726/369/55967/4717/4695/801/8878/7311/517/4709/5605/7280/506/5694/5717/54539/7277/27429/4747/5704/7133/29796/6233/5071/4712/10540/2903/5701/10671/9167/4697/515/1131/6262/89953/1329/3553/9377/81027/6622/1327/808/1347/7386/10105/6647/10121/1649/4707/5663/4716/4893/5868/5702/5692/1742/7345/516/4702/3845/9973/27089/1616/65018/9246/4713/54205/5691/4728/25978/3265/5705/5595/7384/5690/55062/51465/4700/3092/2891/4705/5601/9861/5970/5621/2890/292/79139/291/1346/5689/4741/147700/55860/847/7318/1537/5710/6391/22926/29110/4696/776/539/5714/203228/7419/5685/4725/4715/3309
hsa05020,Prion disease,228,0.5010614237887863,1.924886055772909,5.3068844217339244e-9,2.0519953097371173e-7,1.4151691791290466e-7,2515,"tags=38%, list=12%, signal=34%",514/7381/1350/5880/4708/1340/10476/374291/4694/4706/5688/100532726/55967/4717/4695/517/4709/7280/506/5694/5717/54539/6352/7277/5704/29796/4712/2903/5701/9167/4685/4697/515/6262/89953/1329/3553/9377/81027/1327/1347/7386/10105/6647/1649/4707/4716/5702/5692/5566/516/4702/27089/4713/54205/5691/4728/5705/5595/7384/5690/4700/4705/5601/9861/5621/292/291/1346/5689/147700/1537/5710/6391/4696/776/539/5714/7419/5685/4725/4715/5580/3309/1345/4710
hsa04714,Thermogenesis,194,0.5110259622081613,1.9328718029251868,7.724143269508673e-9,2.688001857789018e-7,1.8537943846820816e-7,2515,"tags=37%, list=12%, signal=33%",514/10063/7381/521/1350/6194/4708/1340/10476/374291/4694/4706/100532726/55967/4717/4695/517/388753/25915/4709/506/54539/29796/4712/9167/6605/4697/11343/515/10818/1329/9377/116228/113/1327/1347/7386/493753/71/4707/4716/4893/6601/5566/516/4702/3845/6009/6597/79133/27089/4713/4728/2885/137682/1353/3265/7384/4700/2778/4705/1346/28958/1537/6391/4696/539/4725/4715/788/1345/4710
