ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-HSA-156842,Eukaryotic Translation Elongation,90,0.8412698083575368,2.9038710061018174,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=70%, list=9%, signal=64%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/1937/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/1938/6203/6233/25873/6143/6166/6205/1915/6130/6164/6158/1936/200916/6170/1933/2197/51121/6125/6129/6206
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,109,0.8144777622720455,2.894173981345797,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1885,"tags=65%, list=9%, signal=60%",10952/6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/23480/6134/11224/6228/9789/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6748/6132/6193/6730/6203/6233/25873/6143/6166/6205/6130/90701/6745/6164/6734/6158/23478/23471/60559/200916/6170/2197/51121/6125/1650/6129/6206/6185
R-HSA-2408522,Selenoamino acid metabolism,103,0.8216873998990037,2.8873954518067677,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1838,"tags=60%, list=9%, signal=55%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/6164/6158/200916/6170/2197/3176/51121/6125/6129/7965/9255/6206/79048
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,98,0.8278515680695937,2.881434155791172,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=63%, list=9%, signal=58%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/1968/6193/1051/6203/6233/25873/6143/6166/6205/6130/6164/1054/6158/1649/200916/6170/2197/51121/6125/6129/6206
R-HSA-156902,Peptide chain elongation,86,0.8403039150128433,2.878952266443605,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=70%, list=9%, signal=64%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/1938/6203/6233/25873/6143/6166/6205/1915/6130/6164/6158/200916/6170/2197/51121/6125/6129/6206
R-HSA-192823,Viral mRNA Translation,86,0.834622859314997,2.8594884892495442,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=69%, list=9%, signal=63%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/2926/6164/6158/200916/6170/2197/51121/6125/6129/6206
R-HSA-2408557,Selenocysteine synthesis,89,0.8302692030399371,2.8551148182901844,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1838,"tags=66%, list=9%, signal=61%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/6164/6158/200916/6170/2197/51121/6125/6129/6206/79048
R-HSA-72764,Eukaryotic Translation Termination,90,0.8224428520064617,2.838884657919693,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=66%, list=9%, signal=60%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/6164/6158/51504/200916/6170/2197/51121/6125/6129/6206
R-HSA-72689,Formation of a pool of free 40S subunits,98,0.815514182482913,2.8384924430569405,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=63%, list=9%, signal=58%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/27335/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/3646/6164/6158/1964/200916/6170/2197/51121/6125/6129/8665/6206
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,108,0.7952991867439263,2.825302596074435,1e-10,4.360000000000001e-9,3.3563909774436087e-9,2123,"tags=62%, list=10%, signal=56%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/27335/6181/23521/6208/6207/6169/6136/6132/1968/6193/6203/6233/25873/6143/6166/6205/1974/6130/3646/6164/6158/1964/200916/6170/2197/51121/6125/6129/8665/6206/7458/8662/6161
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,107,0.7942377221169229,2.81513301899414,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=60%, list=9%, signal=55%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/27335/6181/23521/6208/6207/6169/6136/6132/1968/6193/6203/6233/25873/6143/6166/6205/1974/6130/3646/6164/6158/1964/200916/6170/2197/51121/6125/6129/8665/6206
R-HSA-72613,Eukaryotic Translation Initiation,115,0.7831455861066602,2.7966692100961263,1e-10,4.360000000000001e-9,3.3563909774436087e-9,2321,"tags=62%, list=11%, signal=55%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/27335/6181/23521/6208/6207/6169/6136/6132/1968/6193/6203/6233/25873/6143/6166/6205/1974/6130/3646/6164/6158/1964/200916/6170/2197/51121/6125/6129/8665/6206/8891/7458/8662/6161/1978/9349/6165
R-HSA-72737,Cap-dependent Translation Initiation,115,0.7831455861066602,2.7966692100961263,1e-10,4.360000000000001e-9,3.3563909774436087e-9,2321,"tags=62%, list=11%, signal=55%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/27335/6181/23521/6208/6207/6169/6136/6132/1968/6193/6203/6233/25873/6143/6166/6205/1974/6130/3646/6164/6158/1964/200916/6170/2197/51121/6125/6129/8665/6206/8891/7458/8662/6161/1978/9349/6165
R-HSA-9711097,Cellular response to starvation,146,0.7517027241782266,2.783568113776868,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1847,"tags=49%, list=9%, signal=45%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/9296/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/28956/389541/6169/6136/6132/1968/6193/1051/8649/533/6203/6233/25873/6143/6166/523/6205/6130/6164/1054/6158/526/1649/6009/200916/10542/6170/2197/51121/6125/6129/6206/8131
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),92,0.8038672888511452,2.7811767746314735,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=64%, list=9%, signal=59%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/6164/6158/22916/200916/6170/2197/51121/6125/6129/6206
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,162,0.7363635250811438,2.7687634132291965,1e-10,4.360000000000001e-9,3.3563909774436087e-9,2940,"tags=61%, list=14%, signal=53%",6217/6222/6176/6142/6232/5721/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/5720/7314/6157/6210/5688/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6923/6181/23521/6208/6207/6169/6136/6132/9978/5694/6193/5717/6203/5704/6233/25873/6143/6166/6205/5701/6921/6130/6164/6158/5716/22916/5698/9491/5702/5692/200916/6170/5691/2197/10921/5705/51121/5690/6125/6129/9861/6206/5689/5710/6161/5714/9349/5685/5696/6165/6227/6133/3921/6152/6124/23053/65110/5686/4116/6128/6147
R-HSA-72766,Translation,265,0.6810062879159382,2.6402209931057246,1e-10,4.360000000000001e-9,3.3563909774436087e-9,2519,"tags=53%, list=12%, signal=47%",10952/6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/1937/6157/6210/219927/23480/51081/6134/64975/11224/6228/9789/6144/6224/6159/54998/6188/6167/6189/7311/6209/27335/51318/6181/23521/28998/6208/6207/55052/6169/6136/6748/6132/5464/1968/6193/1938/6730/79590/6203/64981/6233/25873/6143/6166/6205/1974/64963/1915/51023/64928/6130/3646/78988/90701/9553/6745/6164/6150/6734/6158/11222/64951/23478/23471/116541/51073/1964/116540/60559/1936/65080/51504/84545/63875/28973/200916/6183/29093/90480/6170/1933/2197/51121/51253/6125/1650/29088/7818/54460/6129/7965/9255/8665/6206/128308/63931/6185/64949/64969/124995/51642/8891/7458/8662/6161/1978/219402/57129/65993/64978/9349/6165/51650/3396/64979/6227/122704/6133
R-HSA-168273,Influenza Viral RNA Transcription and Replication,131,0.7236190300915487,2.6292125861012865,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=52%, list=9%, signal=48%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/5434/6169/6136/6132/6193/53371/6203/6233/25873/6143/6166/5439/2962/6205/6130/2926/6164/6158/8480/5432/5435/5436/200916/6170/2197/51121/6125/5438/6129/6206
R-HSA-927802,Nonsense-Mediated Decay (NMD),111,0.7323506418515958,2.607073700826227,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=55%, list=9%, signal=50%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/6164/6158/22916/200916/6170/2197/10921/51121/6125/6129/55802/6206
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),111,0.7323506418515958,2.607073700826227,1e-10,4.360000000000001e-9,3.3563909774436087e-9,1814,"tags=55%, list=9%, signal=50%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/6169/6136/6132/6193/6203/6233/25873/6143/6166/6205/6130/6164/6158/22916/200916/6170/2197/10921/51121/6125/6129/55802/6206
R-HSA-168255,Influenza Infection,150,0.696217596191308,2.587864092665196,1e-10,4.360000000000001e-9,3.3563909774436087e-9,2519,"tags=53%, list=12%, signal=47%",6217/6222/6176/6142/6232/6175/6171/6223/6135/6138/6230/6187/6231/6122/6194/6235/6160/6156/6234/6137/6168/6157/6210/6134/11224/6228/6144/6224/6159/6188/6167/6189/7311/6209/6181/23521/6208/6207/5434/6169/6136/6132/6193/9636/53371/6203/6233/25873/6143/6166/5439/2962/6205/6130/2926/6164/6158/8480/5432/5435/5436/200916/6170/2197/51121/6125/5438/821/6129/6206/5901/3836/6161/79023/9349/6165/9688/6227/8021/6133
