ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,4/5,109/9181,0.03669724770642202,67.38348623853211,16.27426655077796,9.316231424113196e-8,4.378628769333202e-6,4.903279696901682e-7,10952/6217/6222/6176,4
R-HSA-72766,Translation,4/5,265/9181,0.01509433962264151,27.716226415094336,10.301314887566564,3.317457030406815e-6,5.197780648885564e-5,5.8205830334664775e-6,10952/6217/6222/6176,4
R-HSA-156902,Peptide chain elongation,3/5,86/9181,0.03488372093023256,64.05348837209303,13.713131250607658,7.82993978705479e-6,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-192823,Viral mRNA Translation,3/5,86/9181,0.03488372093023256,64.05348837209303,13.713131250607658,7.82993978705479e-6,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-2408557,Selenocysteine synthesis,3/5,89/9181,0.033707865168539325,61.8943820224719,13.474794715930278,8.68439092818118e-6,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-156842,Eukaryotic Translation Elongation,3/5,90/9181,0.03333333333333333,61.20666666666666,13.397990002314112,8.982374726020658e-6,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-72764,Eukaryotic Translation Termination,3/5,90/9181,0.03333333333333333,61.20666666666666,13.397990002314112,8.982374726020658e-6,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),3/5,92/9181,0.03260869565217391,59.87608695652174,13.248125707087837,9.598531349947025e-6,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-72689,Formation of a pool of free 40S subunits,3/5,98/9181,0.030612244897959183,56.210204081632654,12.82618127405975,1.1613769533078473e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,3/5,98/9181,0.030612244897959183,56.210204081632654,12.82618127405975,1.1613769533078473e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-2408522,Selenoamino acid metabolism,3/5,103/9181,0.02912621359223301,53.48155339805826,12.502873716859337,1.349290196256671e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,3/5,107/9181,0.028037383177570093,51.48224299065421,12.260573483866244,1.5133500138535301e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,3/5,108/9181,0.027777777777777776,51.00555555555555,12.20209267739996,1.556332153079826e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-927802,Nonsense-Mediated Decay (NMD),3/5,111/9181,0.02702702702702703,49.62702702702703,12.031373371886733,1.6901154253050227e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),3/5,111/9181,0.02702702702702703,49.62702702702703,12.031373371886733,1.6901154253050227e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-72613,Eukaryotic Translation Initiation,3/5,115/9181,0.02608695652173913,47.90086956521739,11.814125988504598,1.880048319809672e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-72737,Cap-dependent Translation Initiation,3/5,115/9181,0.02608695652173913,47.90086956521739,11.814125988504598,1.880048319809672e-5,5.197780648885564e-5,5.8205830334664775e-6,6217/6222/6176,3
R-HSA-168273,Influenza Viral RNA Transcription and Replication,3/5,131/9181,0.022900763358778626,42.05038167938931,11.046080350707772,2.7806481861326933e-5,7.260581374902033e-5,8.130550251849981e-6,6217/6222/6176,3
R-HSA-9711097,Cellular response to starvation,3/5,146/9181,0.02054794520547945,37.73013698630137,10.44274174609089,3.849011437553333e-5,9.521238819210877e-5,1.0662081544469066e-5,6217/6222/6176,3
R-HSA-168255,Influenza Infection,3/5,150/9181,0.02,36.724000000000004,10.297159251435927,4.1736689204049816e-5,9.808121962951707e-5,1.0983339264223636e-5,6217/6222/6176,3
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,3/5,162/9181,0.018518518518518517,34.0037037037037,9.89283199282511,5.255061438154244e-5,1.1761327980630928e-4,1.317058004549936e-5,6217/6222/6176,3
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,3/5,179/9181,0.01675977653631285,30.774301675977654,9.390273374975576,7.081755629036994e-5,1.5129205207488122e-4,1.6941999112528695e-5,6217/6222/6176,3
R-HSA-8868773,rRNA processing in the nucleus and cytosol,3/5,189/9181,0.015873015873015872,29.146031746031746,9.126401407331468,8.329830322541064e-5,1.7021827180844785e-4,1.9061396619087104e-5,6217/6222/6176,3
R-HSA-72312,rRNA processing,3/5,198/9181,0.015151515151515152,27.821212121212124,8.90594351798173,9.570048529042957e-5,1.8741345036042456e-4,2.0986948528602978e-5,6217/6222/6176,3
R-HSA-376176,Signaling by ROBO receptors,3/5,208/9181,0.014423076923076924,26.483653846153846,8.677690794690161,1.1084261286029644e-4,2.083841121773573e-4,2.3335286917957145e-5,6217/6222/6176,3
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,2/5,36/9181,0.05555555555555555,102.0111111111111,14.174514225589071,1.4839432270621073e-4,2.682512756612271e-4,3.0039336580204603e-5,6217/6222,2
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,2/5,49/9181,0.04081632653061224,74.94693877551019,12.114763178451952,2.762174294517119e-4,4.808229327492763e-4,5.384355349935905e-5,6217/6222,2
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",2/5,51/9181,0.0392156862745098,72.00784313725491,11.869588441331464,2.993396012431806e-4,5.024629020867674e-4,5.626684233894373e-5,6217/6222,2
R-HSA-72649,Translation initiation complex formation,2/5,57/9181,0.03508771929824561,64.42807017543859,11.212589634833996,3.742117797307073e-4,5.691285582740569e-4,6.373220137447446e-5,6217/6222,2
R-HSA-72702,Ribosomal scanning and start codon recognition,2/5,57/9181,0.03508771929824561,64.42807017543859,11.212589634833996,3.742117797307073e-4,5.691285582740569e-4,6.373220137447446e-5,6217/6222,2
R-HSA-71291,Metabolism of amino acids and derivatives,3/5,317/9181,0.00946372239747634,17.37728706624606,6.926859189102826,3.8723066508129165e-4,5.691285582740569e-4,6.373220137447446e-5,6217/6222/6176,3
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",2/5,58/9181,0.034482758620689655,63.317241379310346,11.113043637324939,3.874917843568047e-4,5.691285582740569e-4,6.373220137447446e-5,6217/6222,2
R-HSA-9692914,SARS-CoV-1-host interactions,2/5,89/9181,0.02247191011235955,41.262921348314606,8.90943600728182,9.117739542470599e-4,0.0012985871469579338,1.4541849350032854e-4,6217/6222,2
R-HSA-9678108,SARS-CoV-1 Infection,2/5,133/9181,0.015037593984962405,27.61203007518797,7.216176888608315,0.002024190250201115,0.0027981453458662472,3.133421439939807e-4,6217/6222,2
R-HSA-9705683,SARS-CoV-2-host interactions,2/5,176/9181,0.011363636363636364,20.865909090909092,6.2115868145826365,0.0035178168908534292,0.004723925539146033,5.289950211809669e-4,6217/6222,2
R-HSA-163210,Formation of ATP by chemiosmotic coupling,1/5,13/9181,0.07692307692307693,141.24615384615385,11.811497817134418,0.00706135158437271,0.009218986790708816,0.0010323613427445483,514,1
R-HSA-9694516,SARS-CoV-2 Infection,2/5,269/9181,0.007434944237918215,13.652044609665428,4.916192794399054,0.008066818292685966,0.010247039452871361,0.0011474848211502084,6217/6222,2
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,1/5,19/9181,0.05263157894736842,96.64210526315789,9.74115433674587,0.010306953530107688,0.01274807410302793,0.0014275558905966327,10952,1
R-HSA-8949613,Cristae formation,1/5,24/9181,0.041666666666666664,76.50833333333333,8.645767221985412,0.01300513368484657,0.015672853415071505,0.0017550787698848275,514,1
