"gen","media de conteos normalizados","log2 fold change","error estandar de LFC","estadistico de Wald","p-value","p-value ajustado"
"DOCK10",15.9,-0.634,0.15,-4.13,"< 0.001","0.013 (*)"
"SEC61B",8.2,0.77,0.21,3.61,"< 0.001","0.046 (*)"
"BANK1",10.5,-0.71,0.2,-3.58,"< 0.001","0.046 (*)"
"RFX3",9.61,-0.743,0.21,-3.56,"< 0.001","0.046 (*)"
"SIK3",11.5,-0.656,0.18,-3.61,"< 0.001","0.046 (*)"
"GAB2",12.6,-0.628,0.18,-3.43,"< 0.001","0.054 (*)"
"TRPS1",9.37,-0.725,0.22,-3.32,"< 0.001","0.061 (*)"
"TC2N",9.14,-0.784,0.24,-3.32,"< 0.001","0.061 (*)"
"HDAC9",8.87,-0.701,0.22,-3.26,"0.001","0.072 (*)"
"AC093423.3",8.78,-0.716,0.22,-3.21,"0.001","0.075 (*)"
"ABI1",10.7,-0.598,0.19,-3.14,"0.002","0.079 (*)"
"BID",11.5,0.614,0.2,3.09,"0.002","0.085 (*)"
"RALGAPA2",10.2,-0.611,0.2,-3.1,"0.002","0.085 (*)"
"CDC14A",8.03,-0.763,0.26,-2.98,"0.003","0.093 (*)"
"LRBA",9.11,-0.723,0.24,-2.99,"0.003","0.093 (*)"
