ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0009060,aerobic respiration,157,0.849307596933861,3.4300280922078614,1e-10,6.627956989247312e-9,5.106960950764007e-9,920,"tags=63%, list=5%, signal=60%",66594/66377/66152/110323/103172/13063/78330/22272/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67834/67184/68263/66142/595136/75406/67003/12866/235339/20916/18597/11429/72900/66945/66148/70316/104130/67680/225887/66128/17991/66052/67530/56428/13382/66416/12868/17449/67273/66091/17448/14004/66576/22273/12974/56451/66916/72759/18293/68342/17993/69875/230125/12359/68349/407785/66925/226646/67267/15929/78920/12862/67914/12850/227197/70383/14194/17995/170718/66108/66383/105675/94044/58805/66495/76824/17842/107197/269951
GO:0006119,oxidative phosphorylation,113,0.8851859647488984,3.408313521320466,1e-10,6.627956989247312e-9,5.106960950764007e-9,688,"tags=68%, list=4%, signal=66%",66594/66377/66152/110323/103172/13063/78330/22272/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/66148/70316/104130/67680/225887/17991/66052/67530/56428/13382/66416/12868/67273/66091/14004/66576/22273/66916/72759/68342/17993/69875/230125/68349/407785/66925/226646/67267/12862/67914/12850/227197/17995/66108/66383/105675/94044/58805/66495
GO:0045333,cellular respiration,211,0.8135888303425495,3.3973976530843206,1e-10,6.627956989247312e-9,5.106960950764007e-9,920,"tags=54%, list=5%, signal=51%",66594/66377/66152/110323/103172/13063/78330/22272/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/14555/68202/12865/12857/12858/66694/67834/67184/68263/66142/20656/595136/75406/67003/12866/235339/20916/18597/11429/14571/72900/66945/66148/66841/70316/104130/67680/225887/66128/17991/66052/67530/56428/52637/13382/66416/110842/12868/17449/67273/66091/17448/14004/66576/22273/12974/56451/66916/72759/18293/68342/71361/17993/110826/69875/230125/12359/68349/407785/66925/226646/26926/67267/15929/78920/12862/67914/12850/227197/93757/68002/70383/14194/17995/170718/66108/66170/66383/68267/105675/94044/58805/66495/67863/76824/17842/107197/269951
GO:0015980,energy derivation by oxidation of organic compounds,309,0.7694307387892411,3.339325447706727,1e-10,6.627956989247312e-9,5.106960950764007e-9,1079,"tags=44%, list=6%, signal=42%",66594/66377/66152/110323/103172/13063/78330/22272/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/16828/12864/68197/66414/68198/66445/68375/14555/68202/12865/12857/12858/66694/67834/67184/68263/66142/20656/595136/75406/67003/12866/235339/20916/18597/11429/14571/72900/66945/66148/66841/70316/104130/67680/225887/66128/17991/66052/110095/67530/56428/52637/13382/66416/110842/12868/14683/11364/17449/67273/66091/17448/14004/66576/22273/12974/56451/66916/72759/18293/68342/71361/12846/17993/110826/69875/66681/230125/12359/68349/407785/66925/226646/58200/232493/26926/67267/15929/78920/12862/102093/67914/74185/12850/216558/227197/93757/68002/20203/70383/14194/17995/17751/170718/66108/66170/66383/68267/244416/105675/53412/94044/58805/66495/20411/56717/67863/76824/76187/17842/107197/224792/269951/69181/100126824/15925/66592/14936
GO:0006091,generation of precursor metabolites and energy,427,0.7457315576686853,3.327387388104058,1e-10,6.627956989247312e-9,5.106960950764007e-9,1290,"tags=41%, list=7%, signal=39%",66594/66377/66152/110323/13806/103172/13063/78330/22272/18641/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/14381/68194/12859/16828/12864/68197/11674/66414/68198/433182/21881/66445/110208/68375/14555/68202/12865/12857/21351/12858/18746/66694/67834/67184/68263/66142/20656/595136/75406/67003/12866/235339/20916/18597/15277/11429/14571/72900/14433/66945/14751/66148/66841/70316/104130/67680/225887/66128/17991/66052/110095/67530/56428/52637/13382/66416/110842/12868/14683/11364/17449/100705/67273/66091/17448/14004/11430/66576/22273/18655/12856/12974/56451/66916/72759/18293/68342/71361/12846/17993/110826/18648/13350/69875/110446/54403/66681/230125/12359/68349/15483/407785/66925/226646/58200/232493/26926/67267/15929/78920/12862/102093/67914/21991/74185/19013/12850/216558/227197/18984/93757/68002/170768/20203/12034/70383/14194/17995/17751/170718/66108/107747/16889/66170/66383/68267/244416/105675/53412/94044/58805/66495/74637/100198/20411/56717/67863/76824/76187/17842/107197/224792/269951/69181/100126824/15925/66592/14936/66171/20463/228966/15926/71336/67472/84682/14148
GO:0022904,respiratory electron transport chain,96,0.8788111328365469,3.2908134239425366,1e-10,6.627956989247312e-9,5.106960950764007e-9,608,"tags=67%, list=3%, signal=65%",66594/66152/13063/78330/22272/230075/66218/67264/12867/12861/12869/12859/68197/66414/66445/68375/14555/68202/12865/12857/12858/66694/66142/20656/75406/67003/12866/14571/72900/66945/66148/66841/67680/225887/66052/67530/56428/13382/66416/110842/12868/17449/67273/17448/14004/66576/22273/71361/17993/110826/230125/68349/407785/66925/226646/26926/12862/67914/12850/227197/93757/17995/66383/68267
GO:0022900,electron transport chain,103,0.8654787769828037,3.289725343867178,1e-10,6.627956989247312e-9,5.106960950764007e-9,688,"tags=64%, list=4%, signal=62%",66594/66152/13063/78330/22272/230075/66218/67264/12867/12861/12869/12859/68197/66414/66445/68375/14555/68202/12865/12857/12858/66694/66142/20656/75406/67003/12866/14571/72900/66945/66148/66841/67680/225887/66052/67530/56428/13382/66416/110842/12868/17449/67273/17448/14004/66576/22273/71361/17993/110826/230125/68349/407785/66925/226646/26926/12862/67914/12850/227197/18984/93757/17995/66383/68267/66495
GO:0042773,ATP synthesis coupled electron transport,66,0.9089644981218458,3.207469290694839,1e-10,6.627956989247312e-9,5.106960950764007e-9,600,"tags=74%, list=3%, signal=72%",66594/66152/13063/78330/22272/230075/66218/67264/12867/12861/12869/12859/68197/66414/66445/68375/12865/12857/12858/66694/66142/75406/67003/12866/72900/66945/66148/67680/225887/66052/67530/56428/13382/66416/12868/67273/14004/66576/22273/68349/407785/66925/226646/12862/67914/12850/227197/17995/66383
GO:0042775,mitochondrial ATP synthesis coupled electron transport,66,0.9089644981218458,3.207469290694839,1e-10,6.627956989247312e-9,5.106960950764007e-9,600,"tags=74%, list=3%, signal=72%",66594/66152/13063/78330/22272/230075/66218/67264/12867/12861/12869/12859/68197/66414/66445/68375/12865/12857/12858/66694/66142/75406/67003/12866/72900/66945/66148/67680/225887/66052/67530/56428/13382/66416/12868/67273/14004/66576/22273/68349/407785/66925/226646/12862/67914/12850/227197/17995/66383
GO:0097250,mitochondrial respirasome assembly,89,0.8568050827604361,3.1849058960427516,1e-10,6.627956989247312e-9,5.106960950764007e-9,1627,"tags=73%, list=9%, signal=67%",66377/67130/230075/66218/67264/54405/66046/68194/68197/66414/68198/68375/68202/12865/67184/595136/75406/12866/70316/104130/225887/17991/67273/66091/22273/100503890/12856/66916/68342/17993/69875/56295/76178/68349/407785/226646/26926/67267/67044/66117/227197/246782/52469/68002/66359/68493/68033/70397/66108/66495/69487/75597/107197/70544/100126824/66272/20463/76947/70207/235169/68332/75689/66278/72795/67105
