ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu00190,Oxidative phosphorylation,102,0.8989795018584078,3.35495848931051,1e-10,1.3346153846153847e-9,8.947368421052631e-10,714,"tags=67%, list=4%, signal=64%",66594/66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/12856/66916/68342/17993/69875/68349/407785/66925/226646/12862/227197/70383/11974/17995/66108/66495/11973
mmu05415,Diabetic cardiomyopathy,175,0.807852966484578,3.2538501544156975,1e-10,1.3346153846153847e-9,8.947368421052631e-10,688,"tags=47%, list=4%, signal=46%",66594/66377/66152/110323/70456/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/14381/55951/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/68263/66142/12491/595136/75406/67003/12866/18597/72900/14433/66945/12896/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/27273/66091/66576/22273/66916/68342/17993/69875/20528/22333/68349/407785/66925/226646/232493/22334/12895/12862/19013/13033/227197/74769/17995/11937/66108/11740/105675/66495
mmu04932,Non-alcoholic fatty liver disease,145,0.8257361361966824,3.252292781117858,1e-10,1.3346153846153847e-9,8.947368421052631e-10,688,"tags=49%, list=4%, signal=47%",66594/66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/68349/407785/66925/226646/19016/11450/68465/12862/19013/227197/12606/74769/17995/66108/58805/66495
mmu04714,Thermogenesis,194,0.780467492684162,3.195883585711636,1e-10,1.3346153846153847e-9,8.947368421052631e-10,795,"tags=46%, list=4%, signal=44%",66594/66377/66152/110323/433256/78330/22272/17992/67130/230075/66218/67264/54405/22227/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/23945/67184/66142/595136/75406/67003/12866/72900/66945/12896/70316/14081/104130/67680/225887/17991/66052/67530/66416/12868/14683/67273/66091/66576/66853/22273/12856/57279/66916/103968/68342/17993/69875/76178/68349/407785/66925/226646/19016/16890/12895/12862/227197/52469/66359/70383/11556/74205/68493/17995/68033/66108/11909/66495/69487/69893/75597/56717
mmu05208,Chemical carcinogenesis - reactive oxygen species,185,0.7813677633142642,3.1787614827577997,1e-10,1.3346153846153847e-9,8.947368421052631e-10,688,"tags=41%, list=4%, signal=39%",66594/66377/66152/110323/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/20656/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/56615/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/13850/12359/22333/68349/407785/66925/226646/22334/14860/12862/227197/22339/74769/17995/19247/66108/11740/105675/66495
mmu01200,Carbon metabolism,108,0.806395454475977,3.0482328694606595,1e-10,1.3346153846153847e-9,8.947368421052631e-10,1506,"tags=56%, list=8%, signal=51%",13806/18641/14381/11674/433182/21881/110208/21351/18746/67834/68263/235339/20916/18597/15277/11429/14433/66945/14751/67680/66052/93747/13382/17436/17449/17448/11430/18655/12974/56451/18293/18648/110446/60525/12359/73724/66925/110821/15929/110460/78920/21991/11409/227095/68133/104776/14194/18563/170718/100198/100678/269951/14120/66171/76282/15926/75731/11428/13808/66904
mmu05012,Parkinson disease,223,0.7236530058397286,3.0271990858556195,1e-10,1.3346153846153847e-9,8.947368421052631e-10,893,"tags=36%, list=5%, signal=35%",66594/66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/14683/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/22334/12862/56551/16439/22145/227197/22186/17995/66108/11740/26445/19185/66413/105675/66495/26441/57296/56436/22195/26446
mmu05020,Prion disease,229,0.7193478489519275,3.0194174718236053,1e-10,1.3346153846153847e-9,8.947368421052631e-10,1308,"tags=39%, list=7%, signal=37%",66594/66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/22334/12862/16439/22145/227197/74769/17995/66108/11740/26445/19185/66413/105675/11909/66495/20304/26441/57296/56436/19122/26446/19056/16594/20463/20190/12015/26444/84682/22335/69379
mmu05016,Huntington disease,264,0.6898265997863852,2.9302848498816205,1e-10,1.3346153846153847e-9,8.947368421052631e-10,932,"tags=32%, list=5%, signal=31%",66594/66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/22227/12867/12861/12869/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/20656/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/19016/22334/12862/232910/22145/227197/66491/17995/66108/11740/26445/19185/66413/69833/105675/66495/26441/56717/57296/56436/26446/641340
mmu04146,Peroxisome,85,0.7755322218129156,2.8191091720371246,1e-10,1.3346153846153847e-9,8.947368421052631e-10,1720,"tags=53%, list=10%, signal=48%",433256/20656/20280/51798/14081/12908/11430/16922/19299/13850/56273/15488/12359/54683/56535/56690/74205/67528/68603/74147/26874/18633/67725/170789/113868/70503/19298/269951/103737/14712/26458/23986/234384/26378/17117/224824/15926/18631/19305/18477/67993/668173/56794/20524/110959
