ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-1428517,Aerobic respiration and respiratory electron transport,192,0.8532333095582882,3.546609066261601,1e-10,6.8000000000000005e-9,5.68421052631579e-9,1284,"tags=65%, list=7%, signal=61%",66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/22227/12867/12861/66046/68194/16828/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/18746/66694/67834/67184/68263/66142/595136/75406/67003/12866/235339/20916/18597/16832/11429/72900/66945/66841/70316/104130/67680/225887/66128/17991/66052/13382/66416/110842/12868/27402/17436/15526/17449/67273/27273/66091/17448/66576/22273/12856/12974/56451/66916/18293/68342/17993/110826/110446/56295/76178/22333/68349/407785/66925/226646/15929/67044/78920/69046/12862/14874/227197/52469/68002/22186/66359/68493/14194/17995/68033/67899/382051/170718/66108/66771/66383/68267/66495/69487/66459/75597/67863/76187/14651/98314/269951/210582/100126824/66272/74316/18604/68636/20463/76947/76282/217666/84682
R-MMU-611105,Respiratory electron transport,114,0.8782650906837237,3.412043219029305,1e-10,6.8000000000000005e-9,5.68421052631579e-9,983,"tags=69%, list=5%, signal=66%",66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/66046/68194/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66841/70316/104130/225887/17991/66416/110842/12868/15526/17449/67273/66091/17448/66576/22273/12856/66916/68342/17993/110826/56295/76178/68349/407785/226646/67044/12862/227197/52469/66359/68493/17995/68033/67899/66108/66383/68267/66495/69487/66459/75597/67863/210582/100126824/66272
R-MMU-6799198,Complex I biogenesis,52,0.9219337365275387,3.118991658839896,1e-10,6.8000000000000005e-9,5.68421052631579e-9,764,"tags=77%, list=4%, signal=74%",66377/78330/67130/230075/66218/67264/54405/66046/68194/68197/66414/68198/68375/68202/67184/595136/75406/72900/70316/104130/225887/17991/66416/15526/67273/66091/66916/68342/17993/68349/407785/226646/227197/68493/17995/66108/66495/69487/66459/75597
R-MMU-5368287,Mitochondrial translation,85,0.787916975187611,2.9229572803178203,1e-10,6.8000000000000005e-9,5.68421052631579e-9,2763,"tags=74%, list=15%, signal=63%",67270/66128/107734/66292/66493/94066/67212/14548/94065/56282/66242/66047/64660/64656/66223/77721/24030/353242/64658/50529/94062/218506/28030/27397/64659/66448/68611/320806/121022/65111/67840/232536/66121/18100/67308/64655/66163/60441/68499/27395/66419/102060/68463/68735/67871/57837/108853/18120/56280/107732/57312/28028/27398/78523/67036/68537/68565/59054/79044/66077/69089/66407/52443
R-MMU-9837999,Mitochondrial protein degradation,66,0.8268763972762029,2.9218514978910943,1e-10,6.8000000000000005e-9,5.68421052631579e-9,920,"tags=56%, list=5%, signal=53%",78330/22272/15107/12858/67834/67184/68263/67003/18597/11429/51798/17991/13382/15526/17448/12974/18293/13171/110446/68349/13177/56282/66948/15510/227197/381314/69597/14194/17995/69029/11740/53895/270166/171210/71147/68646/269951
R-MMU-5419276,Mitochondrial translation termination,84,0.7869291794345921,2.9174837009618875,1e-10,6.8000000000000005e-9,5.68421052631579e-9,2763,"tags=74%, list=15%, signal=63%",67270/66128/107734/66292/66493/94066/67212/14548/94065/56282/66242/66047/64660/64656/66223/77721/24030/353242/64658/50529/94062/218506/27397/64659/66448/68611/320806/121022/65111/67840/232536/66121/18100/67308/64655/66163/60441/68499/27395/66419/102060/68463/68735/67871/57837/108853/18120/56280/107732/57312/28028/27398/78523/67036/68537/68565/59054/79044/66077/69089/66407/52443
R-MMU-8978868,Fatty acid metabolism,150,0.7260925195517196,2.9109076459569323,1e-10,6.8000000000000005e-9,5.68421052631579e-9,1819,"tags=48%, list=10%, signal=43%",433256/170439/97212/21835/625249/15107/13167/107476/11363/20280/14104/67460/12896/70316/14081/56348/12686/93747/329910/52538/11370/231086/11364/100705/12908/11430/102632/57279/104112/16922/13850/15488/73724/13177/66834/110821/12895/56690/71519/11409/74205/70757/74159/74147/96979/170789/257633/171210/26922/11684/20250/19015/11689/68801/269823/16993/171282/26458/71985/23986/26378/234309/17117/106529/223722/11688/66904/56794/20524/110959/83702/109136
R-MMU-5389840,Mitochondrial translation elongation,82,0.7857804736549256,2.893589302313281,1e-10,6.8000000000000005e-9,5.68421052631579e-9,2763,"tags=73%, list=15%, signal=62%",67270/66128/107734/66292/66493/94066/67212/14548/94065/56282/66242/66047/64660/64656/66223/77721/24030/353242/64658/50529/94062/218506/28030/27397/64659/66448/68611/121022/65111/67840/232536/66121/18100/67308/64655/66163/60441/68499/27395/66419/102060/68463/68735/57837/18120/56280/107732/57312/28028/27398/78523/67036/68537/68565/59054/79044/66077/69089/66407/52443
R-MMU-9864848,Complex IV assembly,36,0.8580684675631961,2.6752901063613814,1e-10,6.8000000000000005e-9,5.68421052631579e-9,1814,"tags=81%, list=10%, signal=73%",110323/17992/12867/12861/12864/12865/12857/12858/66142/12866/12868/12856/56295/76178/67044/12862/52469/66359/68033/67899/210582/100126824/66272/20463/84682/66278/67105/226139/52892
R-MMU-71403,Citric acid cycle (TCA cycle),32,0.8727395496894914,2.6543798150502655,1e-10,6.8000000000000005e-9,5.68421052631579e-9,1047,"tags=72%, list=6%, signal=68%",67834/20916/11429/66945/67680/66128/66052/13382/17448/12974/56451/18293/110446/66925/15929/78920/69046/68002/14194/170718/66383/269951/74316
