ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006091,generation of precursor metabolites and energy,113/251,427/16510,0.2646370023419204,17.406999636115955,42.678574380319276,1.8929251449090555e-114,4.3082976298130105e-111,3.405272708052186e-111,Ndufc1/Uqcr11/Uqcr10/Cox6b1/Eno1/Chchd10/Cycs/Ndufv3/Uqcrq/Pfkl/Ndufa4/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Cox7c/Cox8b/Cox6a1/Ndufb5/G6pdx/Ndufb4/Cox5b/Ldha/Cox6c/Ndufc2/Aldoa/Ndufa12/Ndufb2/Tkt/Cyc1/Pgd/Ndufa8/Gpd1/Ndufa5/Cox7a1/Cox4i1/Taldo1/Cox5a/Pkm/Uqcrfs1/Idh3a/Ndufa13/Pdhb/Cox7b/Sod2/Ndufs5/Ndufs7/Uqcrc2/Cox7a2/Dlat/Sucla2/Pdha1/Hk2/Aco2/Gpd2/Ndufv2/Gapdh/Sdha/Gpi1/Dnajc15/Ndufab1/Etfdh/Ndufb11/Sdhb/Ndufs8/Mrps36/Ndufa2/Sdhc/Pygl/Uqcrb/Mtch2/Cisd1/Dld/Ndufa7/Etfa/Cox8a/Gnas/Acadm/Mdh1/Acacb/Ndufa10/Ndufa3/Mdh2/Chchd2/Acox1/Uqcrh/Uqcrc1/Pgk1/Cox17/Suclg1/Cs/Ndufb7/Tmem135/Ogdh/Ndufb10/Aifm2/Comt/Ndufs4/Etfb/Pgam1/Dgat1/Ndufa11/Acat1/Slc4a4/Pgm2/Slc25a51/Cat/Ndufs3/Hsd11b1/Ndufs6/Sdhd/Ndufs2,113
GO:0006119,oxidative phosphorylation,65/251,113/16510,0.5752212389380531,37.83626555724007,48.81833323595608,1.0722180078510259e-90,4.8807363717378696e-88,3.8577275271945336e-88,Ndufc1/Uqcr11/Uqcr10/Cox6b1/Chchd10/Cycs/Ndufv3/Uqcrq/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Cox7c/Cox8b/Cox6a1/Ndufb5/Ndufb4/Cox5b/Cox6c/Ndufc2/Ndufa12/Ndufb2/Cyc1/Ndufa8/Ndufa5/Cox7a1/Cox4i1/Cox5a/Uqcrfs1/Ndufa13/Cox7b/Ndufs5/Ndufs7/Uqcrc2/Cox7a2/Ndufv2/Sdha/Dnajc15/Ndufab1/Ndufb11/Sdhb/Ndufs8/Ndufa2/Sdhc/Uqcrb/Mtch2/Dld/Ndufa7/Cox8a/Ndufa10/Ndufa3/Chchd2/Uqcrh/Uqcrc1/Ndufb7/Tmem135/Ndufb10/Ndufs4/Ndufa11/Slc25a51/Ndufs3/Ndufs6/Sdhd/Ndufs2,65
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,36/251,42/16510,0.8571428571428571,56.38019351166761,44.64872010354141,1.2794486041266078e-60,2.6472954754474174e-58,2.0924188176577734e-58,Ndufc1/Ndufv3/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/Ndufb4/Ndufc2/Ndufa12/Ndufb2/Ndufa8/Ndufa5/Ndufa13/Ndufs5/Ndufs7/Ndufv2/Sdha/Ndufab1/Ndufb11/Sdhb/Ndufs8/Ndufa2/Sdhc/Ndufa7/Ndufa10/Ndufa3/Ndufb7/Ndufb10/Ndufs4/Ndufa11/Ndufs3/Ndufs6/Sdhd/Ndufs2,36
GO:0072522,purine-containing compound biosynthetic process,58/251,202/16510,0.2871287128712871,18.886434460179082,31.779673999255436,1.4101802715205754e-58,2.4689002292160225e-56,1.9514154526547887e-56,Ndufc1/Eno1/Acsl5/Elovl6/Mpc2/Ndufv3/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/G6pdx/Mpc1/Ndufb4/Ndufc2/Aldoa/Ndufa12/Ndufb2/Ndufa8/Ndufa5/Acaca/Ndufa13/Pdhb/Ndufs5/Ndufs7/Dlat/Pdha1/Ndufv2/Sdha/Ndufab1/Acsl1/Ndufb11/Sdhb/Ndufs8/Elovl3/Ndufa2/Sdhc/Dld/Ndufa7/Acacb/Ndufa10/Ndufa3/Pdk4/Ndufb7/Ndufb10/Ndufs4/Acly/Ndufa11/Acat1/Pgm2/Acss2/Vdac1/Ndufs3/Ndufs6/Sdhd/Ndufs2/Pank1,58
GO:0006163,purine nucleotide metabolic process,62/251,377/16510,0.16445623342175067,10.81741997527133,23.958565257771376,1.2863621015483551e-46,1.5409263911179243e-44,1.217946167061573e-44,Ndufc1/Eno1/Ndufv3/Pfkl/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/G6pdx/Ndufb4/Ldha/Ndufc2/Aldoa/Ndufa12/Ndufb2/Tkt/Pgd/Ndufa8/Gpd1/Ndufa5/Taldo1/Pkm/Ndufa13/Ndufs5/Ndufs7/Ldhb/Hk2/Gpd2/Ndufv2/Gapdh/Sdha/Gpi1/Ndufab1/Ndufb11/Sdhb/Ndufs8/Ndufa2/Sdhc/Mtch2/Ndufa7/Me1/Mdh1/Acacb/Ndufa10/Ndufa3/Mdh2/Pgk1/Ndufb7/Ogdh/Ndufb10/Ndufs4/Pgam1/Ndufa11/Slc4a4/Ndufs3/Hsd11b1/Ndufs6/Sdhd/Ndufs2/Prdx5,62
GO:0046034,ATP metabolic process,49/251,197/16510,0.24873096446700507,16.360749893825712,26.948149121883777,6.208482429357093e-46,6.728812385341307e-44,5.318444346752518e-44,Ndufc1/Eno1/Ndufv3/Pfkl/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/Ndufb4/Ndufc2/Aldoa/Ndufa12/Ndufb2/Ndufa8/Gpd1/Ndufa5/Pkm/Ndufa13/Ndufs5/Ndufs7/Hk2/Ndufv2/Gapdh/Sdha/Gpi1/Ndufab1/Ndufb11/Sdhb/Ndufs8/Ndufa2/Sdhc/Mtch2/Ndufa7/Ndufa10/Ndufa3/Pgk1/Ndufb7/Ogdh/Ndufb10/Ndufs4/Pgam1/Ndufa11/Slc4a4/Ndufs3/Ndufs6/Sdhd/Ndufs2,49
GO:0097250,mitochondrial respirasome assembly,36/251,89/16510,0.4044943820224719,26.606383454944268,30.09496042098626,1.3874458717379492e-42,1.214548770798297e-40,9.59977730688322e-41,Ndufc1/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/Ndufb4/Ndufc2/Ndufa12/Ndufb2/Ndufa8/Ndufa5/Cox7a1/Ndufa13/Ndufs5/Ndufs7/Cox7a2/Ndufab1/Ndufb11/Ndufs8/Ndufa2/Ndufa10/Ndufa3/Uqcrc1/Pet100/Cox17/Ndufb7/Ndufb10/Ndufs4/Ndufa11/Higd1a/Coa5/Ndufs3/Ndufs6/Ndufs2,36
GO:0046390,ribose phosphate biosynthetic process,41/251,137/16510,0.29927007299270075,19.68505539884259,27.28606261876603,4.309181779443851e-42,3.6324806407460017e-40,2.8711078600660987e-40,Ndufc1/Eno1/Ndufv3/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/G6pdx/Ndufb4/Ndufc2/Aldoa/Ndufa12/Ndufb2/Ndufa8/Ndufa5/Ndufa13/Ndufs5/Ndufs7/Ndufv2/Sdha/Ndufab1/Ndufb11/Sdhb/Ndufs8/Ndufa2/Sdhc/Pygl/Ndufa7/Ndufa10/Ndufa3/Ndufb7/Ndufb10/Ndufs4/Ndufa11/Ndufs3/Ndufs6/Sdhd/Ndufs2/Rfk,41
GO:0006631,fatty acid metabolic process,59/251,412/16510,0.14320388349514562,9.419506440258383,21.503027431101515,1.0253388850220976e-40,7.778904341034313e-39,6.148435629834262e-39,Acsl5/Elovl6/Hadha/Apoc1/Gpx4/Dgat2/Fabp4/Hadh/Dbi/Acaca/Acadl/Mgll/Scp2/Fasn/Decr1/Fabp3/Ech1/Cpt2/Ndufab1/Etfdh/Acsl1/Hsd17b12/Elovl3/Echdc1/Prkar2b/Echs1/Acot11/Dld/Acaa2/Pck1/Etfa/Acadvl/Hadhb/Acadm/Acacb/Pdk4/Crat/Acox1/Acad11/Aacs/Lpin1/Ces1d/Comt/Etfb/Acly/Dgat1/Acat1/Phyh/Abcd3/Ephx2/Acss2/Fabp5/Hsd17b4/Ndufs6/Eci1/Pparg/Adipoq/Lipe/Plin5,59
GO:0007005,mitochondrion organization,57/251,437/16510,0.13043478260869565,8.579594664818984,19.952097413559077,5.154483938051755e-37,3.0872645902646823e-35,2.4401698199807337e-35,Ndufc1/Chchd10/Ndufa6/Ndufb6/Ndufb9/Ndufb8/Ndufa1/Ndufb5/Ghitm/Ndufb4/Ndufc2/Ndufa12/Ndufb2/Ddhd2/Ndufa8/Ndufa5/Cox7a1/Letmd1/Ndufa13/Sod2/Ndufs5/Ndufs7/Cox7a2/Ifi27/Hk2/Ndufab1/Ndufb11/Ndufs8/Ndufa2/Mtch2/Acaa2/Chchd3/Ndufa10/Prdx3/Ndufa3/Chchd2/Uqcrc1/Pet100/Cox17/Lpin1/Ndufb7/Tmem135/Ndufb10/Aifm2/Ndufs4/Ndufa11/Higd1a/Letm1/Coa5/Mtx2/Ndufs3/Immt/Ndufs6/Ndufs2/Pparg/Samm50/Vdac2,57
