category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,mmu00190,Oxidative phosphorylation,60/205,102/6767,0.5882352941176471,19.417503586800574,33.12497707196794,2.191062631743115e-67,4.469767768755955e-65,3.574891662317714e-65,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/12856/66916/68342/17993/69875/68349/407785/66925/226646,60
Human Diseases,Cardiovascular disease,mmu05415,Diabetic cardiomyopathy,69/205,175/6767,0.3942857142857143,13.015275261324042,28.46223262420843,3.509024179334959e-62,3.579204662921658e-60,2.862624988404835e-60,66377/66594/66152/110323/70456/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/14381/55951/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/68263/66142/12491/595136/75406/67003/12866/18597/72900/14433/66945/12896/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/27273/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/22334,69
Organismal Systems,Environmental adaptation,mmu04714,Thermogenesis,71/205,194/6767,0.36597938144329895,12.080890118179532,27.67696798255037,2.355073036526862e-61,1.6014496648382662e-59,1.280829195304083e-59,66377/66594/66152/110323/433256/78330/22272/17992/67130/230075/66218/67264/54405/22227/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/23945/67184/66142/595136/75406/67003/12866/72900/66945/12896/70316/14081/104130/67680/225887/17991/66052/67530/66416/12868/14683/67273/66091/66576/66853/22273/12856/57279/66916/103968/68342/17993/69875/76178/68349/407785/66925/226646/19016/16890,71
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,61/205,145/6767,0.4206896551724138,13.88686291000841,27.72435400941139,1.1215001729572795e-56,5.7196508820821254e-55,4.57454017916785e-55,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/68349/407785/66925/226646/19016/11450,61
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,64/205,185/6767,0.34594594594594597,11.419591298615689,25.397000285162694,4.311279196136988e-53,1.759001912023891e-51,1.4068384745289117e-51,66377/66594/66152/110323/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/20656/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/56615/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/13850/12359/22333/68349/407785/66925/226646/22334,64
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,62/205,223/6767,0.27802690582959644,9.177600349994533,21.947319330692608,1.010885073527168e-44,3.4370092499923712e-43,2.748898006959843e-43,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/14683/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/22334,62
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,61/205,229/6767,0.2663755458515284,8.792991798913622,21.204318380102453,9.93014710328715e-43,2.8939285843865407e-41,2.3145455654278317e-41,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/22334,61
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease,64/205,264/6767,0.24242424242424243,8.002365114560236,20.512313833474717,3.593961691766137e-42,9.164602314003649e-41,7.329790292417778e-41,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/22227/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/20656/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/19016/22334,64
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis,63/205,316/6767,0.19936708860759494,6.581058968817536,17.95855734690718,5.7374635081955666e-36,1.3004917285243285e-34,1.04012496347405e-34,66377/66594/66152/110323/103172/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/67819/22273/66916/68342/17993/69875/12359/22333/68349/407785/66925/226646,63
Human Diseases,Neurodegenerative disease,mmu05010,Alzheimer disease,62/205,329/6767,0.1884498480243161,6.220683519905108,17.15831529168914,7.553578476713795e-34,1.540930009249614e-32,1.2324259619901454e-32,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/14433/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/22273/66916/68342/17993/69875/22333/68349/407785/66925/226646/22334,62
Metabolism,Global and overview maps,mmu01200,Carbon metabolism,37/205,108/6767,0.3425925925925926,11.308897922312557,19.08729667536871,4.3809652159380506e-30,8.124699127739658e-29,6.498082377707155e-29,13806/18641/14381/11674/21881/110208/21351/18746/67834/68263/235339/20916/18597/15277/11429/14433/66945/14751/67680/66052/93747/13382/17436/17449/17448/11430/18655/56451/12974/18293/18648/110446/60525/12359/73724/66925/110821,37
Human Diseases,Neurodegenerative disease,mmu05022,Pathways of neurodegeneration - multiple diseases,63/205,410/6767,0.15365853658536585,5.072230814991077,15.03567822169955,4.8263280013626476e-29,8.2047576023165e-28,6.562112633431669e-28,66377/66594/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12869/12861/66046/68194/12859/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/66945/70316/104130/67680/225887/17991/66052/67530/66416/12868/67273/66091/66576/67819/22273/66916/68342/17993/69875/12359/22333/68349/407785/66925/226646/22334,63
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,34/205,130/6767,0.26153846153846155,8.633320825515948,15.531882540881721,2.7515981670652284e-23,4.317892508317743e-22,3.4534228007701248e-22,66377/78330/17992/67130/230075/66218/67264/54405/66046/68194/68197/66414/68198/68375/68202/23945/67184/595136/75406/72900/70316/104130/225887/17991/66416/67273/66091/66916/68342/17993/69875/68349/407785/226646,34
Metabolism,Carbohydrate metabolism,mmu00020,Citrate cycle (TCA cycle),18/205,28/6767,0.6428571428571429,21.220557491289203,18.949564212954055,2.202802209160263e-21,3.2097975047763834e-20,2.567175506916096e-20,67834/68263/235339/20916/18597/11429/66945/67680/66052/13382/18534/17449/17448/56451/12974/18293/104112/66925,18
Metabolism,Global and overview maps,mmu01212,Fatty acid metabolism,20/205,58/6767,0.3448275862068966,11.382674516400337,14.035217744123608,1.1288336189764717e-16,1.5352137218080014e-15,1.2278541118691447e-15,433256/170439/97212/15107/107476/11363/20280/14104/12896/14081/56348/12686/93747/52538/11370/231086/11364/11430/110446/15488,20
Metabolism,Carbohydrate metabolism,mmu00640,Propanoate metabolism,15/205,30/6767,0.5,16.504878048780487,15.042517403512285,1.0367746821303522e-15,1.321887719716199e-14,1.0572373403302933e-14,97212/16828/107476/20916/16832/52665/93747/13382/100705/11430/56451/13171/60525/73724/110821,15
