ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1428517,Aerobic respiration and respiratory electron transport,82/201,192/7499,0.4270833333333333,15.93382048092869,34.78730655271421,6.3105725586149825e-83,1.5397797043020556e-80,1.282042635592307e-80,66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/22227/12867/12861/66046/68194/16828/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/18746/66694/67834/67184/68263/66142/595136/75406/67003/12866/235339/20916/18597/16832/11429/72900/66945/70316/66841/104130/67680/225887/66128/17991/66052/13382/66416/110842/12868/17436/17449/15526/67273/66091/17448/27273/66576/22273/12856/56451/12974/66916/18293/68342/17993/110826/110446/56295/76178/22333/68349/407785/66925/226646,82
R-MMU-611105,Respiratory electron transport,59/201,114/7499,0.5175438596491229,19.30876320153618,32.6892533316096,8.896732323713969e-65,1.0854013434931041e-62,9.037207044614716e-63,66377/66152/110323/13063/78330/22272/17992/67130/230075/66218/67264/54405/12867/12861/66046/68194/12864/68197/66414/68198/66445/68375/68202/12865/12857/12858/66694/67184/66142/595136/75406/67003/12866/72900/70316/66841/104130/225887/17991/66416/110842/12868/17449/15526/67273/66091/17448/66576/22273/12856/66916/68342/17993/110826/56295/76178/68349/407785/226646,59
R-MMU-6799198,Complex I biogenesis,32/201,52/7499,0.6153846153846154,22.95905089934941,26.368982834766857,3.204842527787143e-38,2.6066052559335427e-36,2.1702968696944516e-36,66377/78330/67130/230075/66218/67264/54405/66046/68194/68197/66414/68198/68375/68202/67184/595136/75406/72900/70316/104130/225887/17991/66416/15526/67273/66091/66916/68342/17993/68349/407785/226646,32
R-MMU-8978868,Fatty acid metabolism,36/201,150/7499,0.24,8.954029850746268,16.330050944480544,5.005237645042399e-25,3.053194963475863e-23,2.5421338565610078e-23,433256/170439/97212/21835/625249/15107/13167/107476/11363/20280/14104/67460/12896/70316/14081/56348/12686/93747/329910/52538/11370/231086/11364/100705/12908/11430/102632/57279/104112/16922/13850/15488/73724/13177/66834/110821,36
R-MMU-9837999,Mitochondrial protein degradation,22/201,66/7499,0.3333333333333333,12.436152570480928,15.48597876068136,5.404415953071256e-19,2.6373549850987727e-17,2.1958995346163212e-17,78330/22272/15107/12858/67834/67184/68263/67003/18597/11429/51798/17991/13382/15526/17448/12974/18293/13171/110446/68349/13177/56282,22
R-MMU-77289,Mitochondrial Fatty Acid Beta-Oxidation,17/201,34/7499,0.5,18.654228855721392,17.12151228825513,1.5113769825872646e-18,6.146266395854876e-17,5.1174694322691595e-17,97212/15107/13167/11363/67460/70316/93747/329910/52538/11370/231086/11364/102632/73724/13177/66834/110821,17
R-MMU-71403,Citric acid cycle (TCA cycle),14/201,32/7499,0.4375,16.32245024875622,14.414479028294078,1.9397674077007772e-14,6.761474963985566e-13,5.629700897537594e-13,67834/20916/11429/66945/67680/66128/66052/13382/17448/56451/12974/18293/110446/66925,14
R-MMU-9864848,Complex IV assembly,14/201,36/7499,0.3888888888888889,14.508844665561083,13.482845398365118,1.4213080567934315e-13,4.334989573219966e-12,3.6093744073833198e-12,110323/17992/12867/12861/12864/12865/12857/12858/66142/12866/12868/12856/56295/76178,14
R-MMU-5628897,TP53 Regulates Metabolic Genes,16/201,63/7499,0.25396825396825395,9.475163863223564,11.2103069770891,4.728935288203622e-12,1.2820669003574263e-10,1.0674672638868995e-10,110323/13063/17992/12867/12861/14381/12864/12865/12857/12858/66142/12866/14751/12868/22628/54683,16
R-MMU-9707564,Cytoprotection by HMOX1,12/201,42/7499,0.2857142857142857,10.65955934612651,10.417624657337804,5.41161106477064e-10,1.3204330998040361e-8,1.0994115110534039e-8,110323/13063/17992/12867/12861/12864/12865/12857/12858/66142/12866/12868,12
