ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0009060,aerobic respiration,156,0.8522324397919009,3.542234793374441,1e-10,6.319387755102041e-9,5.061224489795919e-9,1113,"tags=65%, list=6%, signal=61%",66594/78330/68197/103172/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/18597/13063/66128/66046/66218/12867/12864/67834/68194/12869/54405/68198/12861/225887/235339/68375/230075/12865/66576/56428/15929/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/230125/17449/72759/12858/67273/68202/105675/12859/11429/20916/56451/66148/22273/12359/17448/68342/66091/66916/67003/68263/67680/12974/13382/18293/407785/67530/69702/72900/94044/67914/66416/226646/14004/595136/170731/68349/64384/170718/15926/17995/12862/78920/227197/66108/17993/76824/12850/14194/66925/66383/11814/74450/216974/67267/70383
GO:0045333,cellular respiration,210,0.7963573691563113,3.4219881686662634,1e-10,6.319387755102041e-9,5.061224489795919e-9,1191,"tags=56%, list=7%, signal=53%",66594/78330/68197/103172/66414/66377/66445/67130/110323/66694/66142/66152/17991/14555/22272/18597/13063/66128/14571/66046/66218/12867/12864/20656/67834/68194/12869/54405/68198/12861/26926/225887/235339/68375/230075/12865/66576/56428/15929/67264/104130/12857/69875/71361/12866/75406/66841/67184/66945/66052/52637/70316/12868/110842/230125/17449/72759/12858/67273/68202/105675/12859/11429/20916/56451/66148/22273/12359/17448/68342/66091/66916/67003/68263/67680/12974/13382/18293/407785/67530/69702/72900/94044/67914/66416/226646/93757/14004/595136/170731/68349/110826/64384/170718/15926/68002/17995/12862/78920/227197/66108/17993/76824/12850/18021/14194/66925/66383/11814/67863/18706/74450/216974/67267/70383/20512/269951
GO:0006119,oxidative phosphorylation,112,0.8629820931132313,3.4110919686460037,1e-10,6.319387755102041e-9,5.061224489795919e-9,892,"tags=68%, list=5%, signal=65%",66594/78330/68197/103172/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/12864/68194/12869/54405/68198/12861/225887/68375/230075/12865/66576/56428/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/230125/72759/12858/67273/68202/105675/12859/66148/22273/68342/66091/66916/67003/67680/13382/407785/67530/69702/72900/94044/67914/66416/226646/14004/595136/68349/17995/12862/227197/66108/17993/12850/66925/66383/11814
GO:0022904,respiratory electron transport chain,96,0.8503173500287177,3.278850007256794,1e-10,6.319387755102041e-9,5.061224489795919e-9,901,"tags=68%, list=5%, signal=65%",66594/78330/68197/66414/66445/66694/66142/66152/14555/22272/13063/14571/66218/12867/20656/12869/12861/26926/225887/68375/230075/12865/66576/56428/67264/12857/71361/12866/75406/66841/66945/66052/12868/110842/230125/17449/12858/67273/68202/12859/66148/22273/17448/67003/67680/13382/407785/67530/69702/72900/67914/66416/226646/93757/14004/68349/110826/17995/12862/227197/17993/12850/66925/66383/67863
GO:0042773,ATP synthesis coupled electron transport,65,0.8956901673595927,3.2760225414356072,1e-10,6.319387755102041e-9,5.061224489795919e-9,851,"tags=77%, list=5%, signal=74%",66594/78330/68197/66414/66445/66694/66142/66152/22272/13063/66218/12867/12869/12861/225887/68375/230075/12865/66576/56428/67264/12857/12866/75406/66945/66052/12868/12858/67273/12859/66148/22273/67003/67680/13382/407785/67530/69702/72900/67914/66416/226646/14004/68349/17995/12862/227197/12850/66925/66383
GO:0042775,mitochondrial ATP synthesis coupled electron transport,65,0.8956901673595927,3.2760225414356072,1e-10,6.319387755102041e-9,5.061224489795919e-9,851,"tags=77%, list=5%, signal=74%",66594/78330/68197/66414/66445/66694/66142/66152/22272/13063/66218/12867/12869/12861/225887/68375/230075/12865/66576/56428/67264/12857/12866/75406/66945/66052/12868/12858/67273/12859/66148/22273/67003/67680/13382/407785/67530/69702/72900/67914/66416/226646/14004/68349/17995/12862/227197/12850/66925/66383
GO:0015980,energy derivation by oxidation of organic compounds,309,0.727733806712305,3.2733151827093407,1e-10,6.319387755102041e-9,5.061224489795919e-9,1402,"tags=45%, list=8%, signal=43%",66594/78330/68197/103172/66414/66377/66445/67130/110323/66694/66142/66152/17991/14555/22272/18597/13063/66128/14571/66046/66218/12867/12864/16828/20656/67834/68194/12869/54405/68198/12861/26926/225887/235339/68375/230075/12865/66576/56428/15929/67264/104130/12857/69875/71361/11364/12866/75406/66841/67184/66945/66052/52637/70316/12868/110842/230125/17449/72759/12858/67273/68202/105675/12859/11429/20916/12846/56451/66148/22273/12359/17448/68342/66091/66916/67003/68263/67680/14683/12974/228966/13382/232493/18293/407785/67530/69702/72900/94044/67914/66416/226646/93757/14004/20203/595136/170731/16337/110095/68349/110826/64384/170718/15926/68002/17995/12862/78920/227197/216558/66108/74185/56717/17993/76824/12850/18021/20411/14194/66925/66383/11814/67863/18706/58200/232146/74450/76187/216974/67267/70383/244416/20512/269951/66494/68267/102093/19309/66681/66592
GO:0022900,electron transport chain,103,0.8368346817548409,3.2691902394290606,1e-10,6.319387755102041e-9,5.061224489795919e-9,901,"tags=64%, list=5%, signal=61%",66594/78330/68197/66414/66445/66694/66142/66152/14555/22272/13063/14571/66218/12867/20656/12869/12861/26926/225887/68375/230075/12865/66576/56428/67264/12857/71361/12866/75406/66841/66945/66052/12868/110842/230125/17449/12858/67273/68202/12859/66148/22273/17448/67003/67680/13382/407785/67530/69702/72900/67914/66416/226646/93757/14004/68349/110826/17995/12862/227197/17993/12850/18984/66925/66383/67863
GO:0006091,generation of precursor metabolites and energy,426,0.6998198884167981,3.2248377821755687,1e-10,6.319387755102041e-9,5.061224489795919e-9,1912,"tags=46%, list=11%, signal=42%",66594/110208/78330/68197/103172/66414/66377/66445/67130/110323/66694/66142/66152/15277/17991/14555/22272/14381/18597/13063/14751/66128/14571/11674/66046/66218/13806/12867/17992/12864/16828/20656/67834/68194/12869/54405/68198/12861/26926/225887/235339/68375/230075/12865/66576/56428/15929/67264/21881/104130/12857/69875/71361/11364/12866/75406/66841/67184/18641/66945/66052/14433/52637/70316/21351/12868/110842/230125/17449/72759/12858/67273/68202/105675/12859/11429/20916/110446/12846/433182/56451/18655/66148/22273/12359/17448/11430/68342/66091/66916/67003/54403/68263/67680/14683/100705/12856/12974/228966/13382/18746/232493/19013/18293/407785/353204/67530/69702/72900/94044/67914/66416/226646/93757/14004/13350/20203/595136/107747/170731/16337/110095/68349/110826/64384/170768/170718/15926/16889/68002/17995/12862/52892/74637/78920/21991/227197/216558/66108/15483/74185/56717/17993/76824/12850/18021/20411/18984/14194/66925/66383/13808/11814/67863/18706/18648/58200/232146/230163/74450/71336/76187/216974/12034/67267/70383/244416/20512/269951/66494/68267/102093/19309/66681/66592/70207/71701/105787/100126824/66171/20463/53412/77781/66170/16367/108079/224792/74114/72175/54636/108155/77559/212032/74246
GO:0019646,aerobic electron transport chain,55,0.9132008020055863,3.203619323100596,1e-10,6.319387755102041e-9,5.061224489795919e-9,851,"tags=84%, list=5%, signal=80%",66594/68197/66445/66694/66142/66152/22272/13063/66218/12867/12869/12861/225887/68375/230075/12865/66576/67264/12857/12866/75406/66945/66052/12868/230125/12858/67273/12859/66148/22273/67003/67680/13382/407785/67530/69702/72900/67914/66416/226646/68349/17995/12862/227197/66925/66383
