ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu00190,Oxidative phosphorylation,101,0.8651126077565066,3.367417991080695,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,1113,"tags=68%, list=6%, signal=64%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/17992/12864/68194/12869/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/12858/67273/68202/12859/22273/68342/66091/66916/67003/67680/12856/407785/67530/72900/66416/226646/595136/68349/67895/17995/12862/227197/69802/66108/17993/66925/11984/11974/70383
mmu04932,Non-alcoholic fatty liver disease,144,0.7975979296218284,3.2670497292935643,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,997,"tags=50%, list=6%, signal=48%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/17992/12864/68194/12869/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/12858/67273/68202/12859/68465/22273/68342/66091/66916/67003/67680/19016/11450/19013/407785/67530/72900/22259/66416/226646/595136/16337/68349/12606/17995/12862/227197/66108/17993/66925/18706/20787
mmu05415,Diabetic cardiomyopathy,176,0.7688474417022455,3.2176821297562337,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,950,"tags=48%, list=5%, signal=46%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/14381/18597/12896/66046/66218/12867/17992/12864/68194/12869/70456/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/14433/70316/12868/55951/12858/12491/67273/68202/105675/12859/22273/68342/66091/66916/67003/68263/67680/12895/22334/232493/27273/19013/407785/67530/72900/66416/226646/17395/595136/16337/13033/68349/17995/12862/18604/227197/66108/56717/17993/66925/22333/18706/210789/11937
mmu04714,Thermogenesis,195,0.7431686558595765,3.157548179954492,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,1348,"tags=48%, list=7%, signal=45%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/23945/12896/66046/66218/12867/22227/433256/17992/12864/68194/12869/54405/68198/12861/66853/225887/57279/68375/230075/12865/66576/67264/104130/11556/12857/14081/69875/12866/75406/67184/66945/66052/76178/70316/12868/12858/67273/68202/12859/16890/22273/103968/68342/66091/66916/67003/67680/14683/12856/12895/19016/69893/407785/67530/68493/69702/72900/66416/226646/66359/595136/68349/17995/12862/227197/69802/66108/58988/56717/17993/66925/68033/76947/74205/70383/104110/214663/99982/11909/104111/83797
mmu05208,Chemical carcinogenesis - reactive oxygen species,187,0.7312418200138351,3.093619691877957,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,1209,"tags=42%, list=7%, signal=40%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/66046/66218/12867/17992/12864/20656/68194/12869/54405/68198/12861/225887/13850/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/12858/56615/67273/68202/105675/12859/22273/12359/68342/66091/66916/67003/67680/22334/407785/22339/67530/72900/66416/226646/66447/595136/68349/12408/17995/12862/227197/18806/66108/17993/66925/22333/18706/13076/12015/19247/11622/11740
mmu01200,Carbon metabolism,110,0.7676113486435449,3.0288118737165792,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,1924,"tags=55%, list=11%, signal=50%",110208/15277/14381/18597/14751/11674/13806/18563/67834/93747/235339/15929/21881/18641/66945/66052/14433/21351/17449/17436/11429/20916/110446/433182/56451/18655/12359/17448/11430/68263/67680/12974/13382/18746/104776/18293/353204/60525/110460/68133/14120/73724/170718/15926/11409/227095/78920/21991/14194/66925/13808/18648/230163/269951/224530/20425/100678/66171/11611/212032/11532
mmu05016,Huntington disease,263,0.6573785502274623,2.904526975242567,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,967,"tags=30%, list=5%, signal=29%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/22227/17992/12864/20656/68194/12869/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/12858/67273/68202/105675/12859/22273/68342/66091/66916/67003/67680/22334/641340/19016/227613/22145/407785/67530/72900/66416/226646/595136/68349/232910/17995/12862/17749/227197/14778/66108/56717/17993/69833/66925/22333/26446/14682/14802
mmu03320,PPAR signaling pathway,79,0.7830217740968232,2.8984302740420476,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,1534,"tags=51%, list=8%, signal=47%",11520/12896/14077/22227/11363/433256/13167/14081/11364/20280/11770/12491/17436/74147/103968/11430/16592/12895/19016/11450/19013/26457/22259/18534/20249/66968/113868/57875/20411/208715/16956/14933/11814/13117/74205/11832/104086/26458/235674/14080
mmu05020,Prion disease,228,0.6580668915024882,2.868063150120631,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,1010,"tags=33%, list=6%, signal=31%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/17992/12864/68194/12869/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/12858/67273/68202/105675/12859/22273/68342/66091/66916/67003/67680/22334/227613/22145/407785/67530/72900/66416/226646/595136/68349/17995/12862/227197/66108/20304/13000/17993/20190/66925/22333/26446/18706/19056/12015
mmu05012,Parkinson disease,221,0.6579982266746243,2.852944004014277,1e-10,1.4416666666666668e-9,1.0087719298245613e-9,875,"tags=33%, list=5%, signal=31%",66594/78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/17992/12864/68194/12869/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/69875/12866/75406/67184/66945/66052/70316/12868/12858/67273/68202/105675/12859/22273/68342/66091/66916/67003/67680/14683/22334/227613/22145/407785/67530/72900/66416/22186/226646/595136/170731/68349/17995/12862/227197/66108/17993/66925/22333/26446
