ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-1428517,Aerobic respiration and respiratory electron transport,194,0.832317428449368,3.4842649459392887,1e-10,6.81875e-9,5.796052631578948e-9,1526,"tags=64%, list=8%, signal=59%",78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/18597/13063/66128/66046/66218/12867/22227/17992/12864/16828/67834/68194/54405/68198/12861/225887/235339/68375/230075/12865/66576/15929/67264/104130/12857/12866/75406/66841/67184/66945/66052/76178/70316/12868/110842/67044/17449/12858/67273/68202/17436/11429/20916/14874/110446/56451/22273/17448/68342/66091/66916/67003/68263/67680/66459/16832/12856/12974/13382/18746/27273/228026/18293/407785/68493/69702/72900/15526/66416/22186/226646/66359/56295/382051/595136/68349/110826/64384/170718/68002/17995/27402/12862/52892/78920/18604/227197/69802/66108/69046/210582/17993/14194/72542/14651/66925/22333/66383/67863/68033/67899/76947/229211/76187/74316/269951/68267/217666/74011/75597/72795/100126824
R-MMU-611105,Respiratory electron transport,115,0.8578926841498233,3.3510861540568917,1e-10,6.81875e-9,5.796052631578948e-9,1041,"tags=67%, list=6%, signal=64%",78330/68197/66414/66377/66445/67130/110323/66694/66142/66152/17991/22272/13063/66046/66218/12867/17992/12864/68194/54405/68198/12861/225887/68375/230075/12865/66576/67264/104130/12857/12866/75406/66841/67184/76178/70316/12868/110842/67044/17449/12858/67273/68202/22273/17448/68342/66091/66916/67003/66459/12856/407785/68493/69702/72900/15526/66416/226646/66359/56295/595136/68349/110826/17995/12862/52892/227197/69802/66108/210582/17993/66383/67863/68033/67899/76947/229211
R-MMU-6799198,Complex I biogenesis,52,0.8995285978499248,3.139188835012062,1e-10,6.81875e-9,5.796052631578948e-9,1041,"tags=77%, list=6%, signal=73%",78330/68197/66414/66377/67130/17991/66046/66218/68194/54405/68198/225887/68375/230075/67264/104130/75406/67184/70316/67273/68202/68342/66091/66916/66459/407785/68493/69702/72900/15526/66416/226646/595136/68349/17995/227197/66108/17993/76947/229211
R-MMU-9837999,Mitochondrial protein degradation,67,0.7874770452657999,2.8776465830758102,1e-10,6.81875e-9,5.796052631578948e-9,2098,"tags=61%, list=12%, signal=54%",78330/15107/17991/22272/18597/67834/51798/13171/67184/12858/11429/110446/17448/15510/67003/68263/12974/13382/228026/13177/18293/69029/15526/68349/56282/66948/68646/17995/227197/71147/14194/69597/269951/11740/381314/171210/53895/270166/20845/66885/52815
R-MMU-71403,Citric acid cycle (TCA cycle),32,0.8918680167100339,2.842233856990178,1e-10,6.81875e-9,5.796052631578948e-9,1191,"tags=75%, list=7%, signal=70%",66128/67834/15929/66945/66052/11429/20916/110446/56451/17448/67680/12974/13382/18293/64384/170718/68002/78920/69046/14194/66925/66383/74316/269951
R-MMU-8978868,Fatty acid metabolism,154,0.7008234244175711,2.8408239650176492,1e-10,6.81875e-9,5.796052631578948e-9,2278,"tags=50%, list=13%, signal=44%",97212/170439/15107/12896/12686/11363/433256/107476/56348/93747/102632/67460/57279/13850/13167/329910/14081/11364/104112/14104/12908/231086/21835/625249/20280/70316/56690/15488/74147/11430/11370/100705/12895/11684/13177/52538/16922/66834/257633/106529/264895/13120/73724/26922/12408/11409/16993/70025/13117/13076/74205/74159/71985/26458/71519/70757/235674/171210/83702/110959/19215/20520/26378/234309/108079/11671/109136/74114/17117/68801/72054/20250/11689/171282/13078/75778/170789
R-MMU-9864848,Complex IV assembly,36,0.8357115109966808,2.7172536986439666,1e-10,6.81875e-9,5.796052631578948e-9,1659,"tags=69%, list=9%, signal=63%",110323/66142/12867/17992/12864/12861/12865/12857/12866/76178/12868/67044/12858/12856/66359/56295/12862/52892/69802/210582/68033/67899/100126824/67105/20463
R-MMU-70268,Pyruvate metabolism,43,0.7754059347828873,2.6469448310304062,1e-10,6.81875e-9,5.796052631578948e-9,850,"tags=42%, list=5%, signal=40%",18597/16828/235339/17436/14874/68263/16832/13382/18746/27273/228026/22186/382051/27402/18604/72542/14651/22333
R-MMU-77289,Mitochondrial Fatty Acid Beta-Oxidation,34,0.819391949082518,2.641381315656719,1e-10,6.81875e-9,5.796052631578948e-9,1103,"tags=62%, list=6%, signal=58%",97212/15107/11363/93747/102632/67460/13167/329910/11364/231086/70316/11370/13177/52538/66834/264895/73724/26922/11409/70025/71985
R-MMU-5368287,Mitochondrial translation,85,0.7028785635922258,2.6220821067585742,1e-10,6.81875e-9,5.796052631578948e-9,3268,"tags=64%, list=18%, signal=52%",66128/107734/66292/66493/67270/353242/67212/14548/64656/94065/66121/66047/64659/56282/66448/68499/28030/94066/66242/78523/67840/232536/94062/65111/60441/68611/18120/64660/102060/24030/67707/57312/67308/67036/218506/67681/27395/67871/57837/18100/66077/56280/320806/77721/66419/66258/107732/94064/66163/94061/64655/121022/94063/28028
R-MMU-5419276,Mitochondrial translation termination,84,0.7005937068524256,2.6053796344187345,1e-10,6.81875e-9,5.796052631578948e-9,3268,"tags=63%, list=18%, signal=52%",66128/107734/66292/66493/67270/353242/67212/14548/64656/94065/66121/66047/64659/56282/66448/68499/94066/66242/78523/67840/232536/94062/65111/60441/68611/18120/64660/102060/24030/67707/57312/67308/67036/218506/67681/27395/67871/57837/18100/66077/56280/320806/77721/66419/66258/107732/94064/66163/94061/64655/121022/94063/28028
R-MMU-5389840,Mitochondrial translation elongation,82,0.7035308723624809,2.6026103597057486,1e-10,6.81875e-9,5.796052631578948e-9,3268,"tags=63%, list=18%, signal=52%",66128/107734/66292/66493/67270/353242/67212/14548/64656/94065/66121/66047/64659/56282/66448/68499/28030/94066/66242/78523/67840/232536/94062/65111/60441/68611/18120/64660/102060/24030/67707/57312/67308/67036/218506/67681/27395/57837/18100/66077/56280/77721/66419/66258/107732/94064/66163/94061/64655/121022/94063/28028
R-MMU-9707564,Cytoprotection by HMOX1,42,0.7598620162091541,2.582038999742636,1e-10,6.81875e-9,5.796052631578948e-9,597,"tags=33%, list=3%, signal=32%",110323/66142/13063/12867/17992/12864/12861/12865/12857/12866/12868/12858/19013/12862
R-MMU-9609507,Protein localization,101,0.6535751531810222,2.5176377585509044,1e-10,6.81875e-9,5.796052631578948e-9,2664,"tags=51%, list=15%, signal=44%",51798/13850/67264/12908/20280/56690/19299/15488/74147/18633/12359/11430/15510/16922/70503/71767/56273/22186/109672/26874/71382/15926/216080/19298/52551/56535/74159/65098/26458/19305/69617/235674/171210/110959/14712/26378/18634/11671/11611/74114/17117/224824/67528/52815/171282/170789/13726/19122/19302/103737/28200/66212
R-MMU-9033241,Peroxisomal protein import,64,0.6893989050330144,2.480171931242894,1e-10,6.81875e-9,5.796052631578948e-9,2650,"tags=56%, list=15%, signal=48%",51798/13850/12908/20280/56690/15488/74147/12359/11430/16922/70503/71767/56273/22186/71382/15926/216080/65098/26458/19305/235674/171210/110959/14712/26378/18634/11611/74114/17117/224824/67528/171282/170789/19302/103737/28200
R-MMU-72766,Translation,218,0.506298471613895,2.1482266137191846,1e-10,6.81875e-9,5.796052631578948e-9,3643,"tags=43%, list=20%, signal=34%",66128/107734/66292/66493/13685/67186/67270/353242/223691/67212/14548/64656/94065/27050/22186/68436/66121/66047/26905/64659/56282/67895/66448/68499/100042807/28030/94066/66242/78523/67840/232536/94062/65111/60441/68611/18120/64660/67941/102060/24030/225363/67707/19943/268449/57312/67308/66661/68193/54217/67036/218506/67681/208643/27395/67671/66489/22384/67871/57837/18100/27176/66077/20085/56280/54127/320806/77721/74776/19941/66419/100502825/20088/66258/107732/67025/94064/27207/22121/66163/94061/64655/67097/121022/94063/19899/28028/19951/68565/65019/16898/13684/19942/69089
R-MMU-5628897,TP53 Regulates Metabolic Genes,63,0.6807355136897835,2.438488930641069,1.519331843296213e-10,9.750535535506872e-9,8.288119838662314e-9,1849,"tags=43%, list=10%, signal=39%",110323/66142/14381/13063/14751/12867/17992/12864/12861/12865/12857/12866/12868/12858/83409/22628/68576/54683/12862/56717/54401/66096/56692/105787/20463/108079/18477
R-MMU-1483206,Glycerophospholipid biosynthesis,96,0.608359537504512,2.3108384844237753,2.0214829455809473e-10,1.2252432742382298e-8,1.041477470793459e-8,1642,"tags=33%, list=9%, signal=30%",67512/72108/97212/14555/23945/14571/212862/237928/66853/231086/67800/28169/14245/13350/27388/116939/14732/99138/14792/102247/18806/13000/56305/226856/76574/12995/192654/66586/14712/19679/99010/99712
R-MMU-9861718,Regulation of pyruvate metabolism,33,0.7939234092200519,2.543775563603065,4.39176383943791e-10,2.5217970256982945e-8,2.143570051271357e-8,804,"tags=45%, list=4%, signal=44%",18597/16828/235339/17436/14874/68263/13382/18746/27273/228026/22186/382051/27402/18604/72542
R-MMU-9711123,Cellular response to chemical stress,147,0.5216382540362816,2.106825851428726,1.865341095748606e-9,1.0175435677308645e-7,8.649292133444853e-8,2100,"tags=24%, list=12%, signal=22%",110323/66142/13063/12867/17992/12864/20656/12861/12865/12857/12866/12868/12858/12359/19013/26462/22186/11757/54683/12862/11758/14778/56438/26446/76650/15369/19172/66997/14080/20463/108079/18477/19185/56551/66401/67151
R-MMU-1474244,Extracellular matrix organization,202,-0.4412773503186135,-2.0129522581883066,6.787741500194741e-9,3.52639332224403e-7,2.9974938654995326e-7,4198,"tags=46%, list=23%, signal=36%",16423/240913/23993/17150/170725/12842/17389/72902/67573/14115/12828/72947/213945/11820/30800/17390/16775/12333/12825/268977/16948/12829/15896/16419/21808/12156/12818/16997/16420/16400/18550/21923/18074/234407/69700/17385/58859/77018/12837/16398/13038/12843/245026/26432/16412/50530/12336/18073/20692/94352/107581/12833/11595/16949/12406/94216/12832/12159/15529/12111/13040/12819/16998/12834/23948/17183/268935/14173/241226/269120/15891/56213/67374/13039/23794/13179/12822/11490/76293/104099/69675/14789/12827/665033/12845/18613/13717/17387/210530/12830/18750/16402/14268
R-MMU-204174,Regulation of pyruvate dehydrogenase (PDH) complex,15,0.8985266517490694,2.294531691483109,9.162953421987401e-9,4.5439919015401157e-7,3.8624698396033024e-7,629,"tags=67%, list=3%, signal=64%",18597/235339/14874/68263/13382/27273/228026/382051/27402/18604
R-MMU-75105,Fatty acyl-CoA biosynthesis,31,0.7735062411376458,2.4285679126072286,3.7156822814048646e-8,1.7553465149520668e-6,1.492074175959063e-6,1981,"tags=52%, list=11%, signal=46%",170439/12686/433256/107476/56348/14081/104112/14104/257633/106529/74205/26458/70757/234309/68801/20250
R-MMU-70895,Branched-chain amino acid catabolism,18,0.8552640126732499,2.322065522782808,3.861440546182365e-8,1.7553465149520668e-6,1.492074175959063e-6,2088,"tags=78%, list=12%, signal=69%",93747/13171/110446/58875/13382/104776/66948/12040/227095/12036/243382/56357/12041/66885
R-MMU-9854311,Maturation of TCA enzymes and regulation of TCA cycle,18,0.8497276495987216,2.3070341434350583,7.077667161039584e-8,3.0886939490776743e-6,2.625442007947736e-6,1191,"tags=67%, list=7%, signal=62%",66945/66052/11429/110446/67680/64384/68002/69046/66925/66383/74316/269951
R-MMU-9865881,Complex III assembly,15,0.8796873792780402,2.2464225923872547,1.0476980688094084e-7,4.396302281042556e-6,3.736931168506433e-6,851,"tags=60%, list=5%, signal=57%",66445/66694/66152/22272/66576/22273/67003/15526/66383
R-MMU-390918,Peroxisomal lipid metabolism,26,0.7749793374014387,2.3434090002768295,1.998998109302162e-7,8.077433100920957e-6,6.865954519669415e-6,2278,"tags=65%, list=13%, signal=57%",12908/20280/56690/15488/74147/11430/16922/74159/26458/235674/110959/26378/11671/74114/17117/171282/170789
R-MMU-195258,RHO GTPase Effectors,224,-0.3891905365008223,-1.79001819580787,1.4246055927820279e-6,5.55087393473283e-5,4.718336568575063e-5,2926,"tags=35%, list=16%, signal=30%",66570/11350/236930/108911/83815/232943/224105/229841/233406/23988/100043813/56443/69736/26413/52276/269966/13057/11848/12237/19387/19047/17120/22152/26932/18762/110379/11461/22629/19052/56455/76709/232987/16319/20779/234865/19386/71409/17931/19877/12387/20807/80987/13543/544963/76707/20877/18643/22379/11308/76499/17904/22153/56419/29875/13589/68458/67951/329165/68089/22631/12313/242687/19046/22151/11867/66336/11465/56150/11853/56430/215280/77579/98932/104215/18750/22630/22142/74117/11852
R-MMU-1483257,Phospholipid metabolism,166,0.45052872962738355,1.8449946334449652,1.7341646632508226e-6,6.524047060712577e-5,5.545550157255807e-5,1666,"tags=22%, list=9%, signal=20%",67512/72108/97212/14555/23945/14571/212862/237928/66853/231086/67800/28169/14245/13350/27388/116939/14732/99138/14792/102247/18806/231999/13000/56305/18706/226856/76574/12995/192654/11842/66586/14712/19679/99010/99712/75669
R-MMU-70263,Gluconeogenesis,19,0.8009942780345662,2.1973732244714728,1.8979131127154934e-6,6.902077353242011e-5,5.8668822887801744e-5,1047,"tags=53%, list=6%, signal=50%",14751/11674/14433/18655/18534/14120/21991/13808/18648/230163
R-MMU-196854,Metabolism of vitamins and cofactors,169,0.45498330058421904,1.8687863595132377,2.6444536546791964e-6,9.30677076533872e-5,7.910912291247443e-5,2525,"tags=34%, list=14%, signal=29%",107476/14104/75735/19286/100705/19662/71743/67426/67914/106564/109672/50500/192185/107747/99138/15926/68646/67096/320415/20970/73095/68453/12850/16956/11814/18113/216134/66454/230027/74450/67283/11433/319945/110948/73132/59027/20509/83702/20425/69372/227683/52064/52466/223646/22361/109136/19300/67618/21452/214424/22139/54219/14735/52710/110821/268566/71707
R-MMU-75876,Synthesis of very long-chain fatty acyl-CoAs,22,0.7814675847093823,2.2571754163668634,2.77565671020073e-6,9.463254596340614e-5,8.043926189759353e-5,1900,"tags=45%, list=11%, signal=41%",170439/12686/433256/56348/14081/257633/106529/74205/70757/68801
R-MMU-216083,Integrin cell surface interactions,67,-0.520051366362722,-1.979446848473265,1.1589344324949523e-5,3.8315074722787665e-4,3.2568460447465807e-4,2994,"tags=42%, list=17%, signal=35%",12829/15896/16419/16420/16400/21923/12837/16398/12843/245026/16412/107581/12833/94216/12832/12834/241226/15891/67374/12822/104099/12827/665033/12845/18613/12830/16402/14268
R-MMU-1474290,Collagen formation,65,-0.513361677954786,-1.9592509753911753,1.3920902967081651e-5,4.4669720991429647e-4,3.7970017071204136e-4,4062,"tags=52%, list=22%, signal=41%",12842/67573/12828/213945/30800/12825/16948/12829/12818/234407/69700/77018/12837/12843/245026/26432/94352/107581/12833/16949/12406/94216/12832/13040/12819/12834/13039/12822/69675/14789/12827/665033/210530/12830
R-MMU-8979227,Triglyceride metabolism,20,0.7656694556618064,2.154116836557051,1.93308884643749e-5,6.025714089895147e-4,5.12195871792911e-4,1534,"tags=55%, list=8%, signal=50%",14571/14077/67800/11770/16592/14245/13350/14732/14933/68393/14080
R-MMU-8948216,Collagen chain trimerization,36,-0.6306106436496637,-2.117160697954374,2.1287576740174297e-5,6.451318395425044e-4,5.483729563770046e-4,4062,"tags=58%, list=22%, signal=45%",12842/12828/213945/12825/12829/12818/69700/77018/12837/12843/245026/107581/12833/94216/12832/12819/12834/12822/12827/665033/12830
R-MMU-70326,Glucose metabolism,63,0.5480404117405159,1.9631566896364767,2.7605075491474174e-5,8.139766854377926e-4,6.918939262585705e-4,1047,"tags=24%, list=6%, signal=23%",15277/14751/11674/18641/14433/18655/18746/18534/14120/170768/18141/21991/13808/18648/230163
