ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0035914,skeletal muscle cell differentiation,4/10,79/16623,0.05063291139240506,84.16708860759493,18.17868189123251,9.708276794865526e-8,7.261791042559414e-5,3.811776046826149e-5,Btg2/Fos/Egr1/Nupr1,4
GO:0007517,muscle organ development,5/10,334/16623,0.014970059880239521,24.884730538922156,10.818423396638224,7.373822303024764e-7,2.757809541331262e-4,1.447597746856967e-4,Btg2/Fos/Mustn1/Egr1/Nupr1,5
GO:1904627,response to phorbol 13-acetate 12-myristate,2/10,10/16623,0.2,332.46000000000004,25.723182557950086,1.46199973347811e-5,0.0018226263344027105,9.567121062935702e-4,Btg2/Fos,2
GO:1904628,cellular response to phorbol 13-acetate 12-myristate,2/10,10/16623,0.2,332.46000000000004,25.723182557950086,1.46199973347811e-5,0.0018226263344027105,9.567121062935702e-4,Btg2/Fos,2
GO:0014706,striated muscle tissue development,4/10,438/16623,0.0091324200913242,15.18082191780822,7.379037425573695,8.801798669533052e-5,0.008998088458194367,0.004723173367445116,Btg2/Fos/Egr1/Nupr1,4
GO:0090025,regulation of monocyte chemotaxis,2/10,25/16623,0.08,132.98399999999998,16.20246219983543,9.699854121382344e-5,0.008998088458194367,0.004723173367445116,Dusp1/Serpine1,2
GO:0002548,monocyte chemotaxis,2/10,35/16623,0.05714285714285714,94.98857142857142,13.656193565081104,1.9176393884536152e-4,0.01434394262563304,0.007529257809402089,Dusp1/Serpine1,2
GO:1902895,positive regulation of miRNA transcription,2/10,51/16623,0.0392156862745098,65.18823529411765,11.263430098157109,4.0881767772754586e-4,0.027799602085473118,0.014592248209796614,Fos/Egr1,2
GO:2000630,positive regulation of miRNA metabolic process,2/10,57/16623,0.03508771929824561,58.326315789473675,10.63653656730301,5.107588387669975e-4,0.029388277799824166,0.015426157640493125,Fos/Egr1,2
GO:0043523,regulation of neuron apoptotic process,3/10,303/16623,0.009900990099009901,16.45841584158416,6.662601364513503,6.543640431463104e-4,0.033828414982820416,0.01775682351335775,Btg2/Egr1/Nupr1,3
GO:0042246,tissue regeneration,2/10,67/16623,0.029850746268656716,49.62089552238806,9.783635237380611,7.053059777052468e-4,0.033828414982820416,0.01775682351335775,Mustn1/Serpine1,2
GO:0007611,learning or memory,3/10,318/16623,0.009433962264150943,15.682075471698113,6.485720322266844,7.531851859561486e-4,0.033828414982820416,0.01775682351335775,Btg2/Fos/Egr1,3
GO:0061614,miRNA transcription,2/10,72/16623,0.027777777777777776,46.175,9.424751249655797,8.140527669662667e-4,0.033828414982820416,0.01775682351335775,Fos/Egr1,2
GO:0050900,leukocyte migration,3/10,346/16623,0.008670520231213872,14.413005780346818,6.185781649197449,9.62290765961072e-4,0.033913279845407415,0.01780136980345759,Dusp1/Vcam1/Serpine1,3
GO:0071347,cellular response to interleukin-1,2/10,80/16623,0.025,41.557500000000005,8.921269148528912,0.0010038374034372877,0.033913279845407415,0.01780136980345759,Egr1/Serpine1,2
GO:0033627,cell adhesion mediated by integrin,2/10,83/16623,0.024096385542168676,40.05542168674699,8.75125283468981,0.0010799905334752656,0.033913279845407415,0.01780136980345759,Vcam1/Serpine1,2
GO:0051402,neuron apoptotic process,3/10,361/16623,0.008310249307479225,13.814127423822715,6.03911454940739,0.0010881266260558528,0.033913279845407415,0.01780136980345759,Btg2/Egr1/Nupr1,3
GO:0010586,miRNA metabolic process,2/10,90/16623,0.022222222222222223,36.940000000000005,8.387665472810076,0.001268190469834631,0.03794425885745216,0.01991726506308705,Fos/Egr1,2
GO:0006935,chemotaxis,3/10,394/16623,0.007614213197969543,12.657106598984772,5.745272141805959,0.0014008027614170375,0.03872022515399406,0.02032457638958596,Dusp1/Vcam1/Serpine1,3
GO:0070555,response to interleukin-1,2/10,98/16623,0.02040816326530612,33.92448979591837,8.020084868238692,0.0015011851998206253,0.03872022515399406,0.02032457638958596,Egr1/Serpine1,2
GO:0014910,regulation of smooth muscle cell migration,2/10,103/16623,0.019417475728155338,32.27766990291262,7.812060341923892,0.0016564435885866634,0.041300660142094145,0.021679068720800894,Egr1/Serpine1,2
GO:0043434,response to peptide hormone,3/10,444/16623,0.006756756756756757,11.231756756756758,5.361464823818652,0.001974579545228533,0.041932314834538555,0.022010629655619028,Btg2/Fos/Egr1,3
GO:0014909,smooth muscle cell migration,2/10,113/16623,0.017699115044247787,29.421238938053097,7.43748833046599,0.0019890296382252867,0.041932314834538555,0.022010629655619028,Egr1/Serpine1,2
GO:1901655,cellular response to ketone,2/10,114/16623,0.017543859649122806,29.163157894736838,7.402714467232229,0.0020238980566883603,0.041932314834538555,0.022010629655619028,Btg2/Fos,2
GO:0048145,regulation of fibroblast proliferation,2/10,116/16623,0.017241379310344827,28.660344827586208,7.334493286035595,0.0020945091734394868,0.041932314834538555,0.022010629655619028,Serpine1/Nupr1,2
GO:0008585,female gonad development,2/10,117/16623,0.017094017094017096,28.415384615384617,7.3010270921922205,0.0021302512883856484,0.041932314834538555,0.022010629655619028,Serpine1/Nupr1,2
GO:0050729,positive regulation of inflammatory response,2/10,132/16623,0.015151515151515152,25.186363636363637,6.844656443647274,0.002701098175479914,0.04810527226807085,0.025250867655488923,Serpine1/Nupr1,2
GO:0071675,regulation of mononuclear cell migration,2/10,132/16623,0.015151515151515152,25.186363636363637,6.844656443647274,0.002701098175479914,0.04810527226807085,0.025250867655488923,Dusp1/Serpine1,2
