ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006091,generation of precursor metabolites and energy,61/111,426/16623,0.1431924882629108,21.444042634183482,35.04754280423201,3.969898337199285e-68,4.89091475142952e-65,3.752598638742062e-65,Uqcr11/Ndufv3/Ndufc2/Pgd/Chchd10/Ndufc1/Ndufa12/Cyc1/Ndufa6/Cox6b1/Cox7b/Uqcrfs1/Uqcr10/Hk2/Gpd1/Ndufa2/Uqcrq/G6pdx/Cycs/Pdha1/Gpd2/Gpi1/Mrps36/Aldoa/Cox7c/Eno1/Ndufb9/Ndufb5/Cox6c/Ndufa4/Ldha/Sod2/Idh3a/Ndufb4/Cox8b/Cox6a1/Ndufa1/Ndufb2/Aifm1/Ndufs8/Dlat/Ndufa8/Cox7a1/Uqcrh/Ndufb6/Idh3g/Mtch2/Ndufb8/Tkt/Ndufb11/Cox4i1/Acadm/Ndufa11/Aifm2/Cox7a2/Ndufs7/Ndufa13/Etfdh/Pfkl/Sdha/Sdhc,61
GO:0006119,oxidative phosphorylation,39/111,112/16623,0.3482142857142857,52.147442084942085,44.529675497833246,1.1796371801629874e-58,2.906626011921601e-56,2.230135132181816e-56,Uqcr11/Ndufv3/Ndufc2/Chchd10/Ndufc1/Ndufa12/Cyc1/Ndufa6/Cox6b1/Cox7b/Uqcrfs1/Uqcr10/Ndufa2/Uqcrq/Cycs/Cox7c/Ndufb9/Ndufb5/Cox6c/Ndufb4/Cox8b/Cox6a1/Ndufa1/Ndufb2/Ndufs8/Ndufa8/Cox7a1/Uqcrh/Ndufb6/Mtch2/Ndufb8/Ndufb11/Cox4i1/Ndufa11/Cox7a2/Ndufs7/Ndufa13/Sdha/Sdhc,39
GO:0072522,purine-containing compound biosynthetic process,33/111,203/16623,0.1625615763546798,24.344694448142725,27.438029893377987,3.952176378077323e-37,4.869081297791261e-35,3.7358467236983534e-35,Ndufv3/Ndufc2/Ndufc1/Ndufa12/Ndufa6/Elovl6/Ndufa2/G6pdx/Pdha1/Elovl3/Aldoa/Eno1/Ndufb9/Ndufb5/Acsl5/Acaca/Ndufb4/Mpc2/Ndufa1/Ndufb2/Ndufs8/Dlat/Ndufa8/Ndufb6/Ndufb8/Ndufb11/Acsl1/Ndufa11/Acly/Ndufs7/Ndufa13/Sdha/Sdhc,33
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,21/111,42/16623,0.5,74.87837837837837,39.304287521111085,1.3444610026503589e-35,1.3803132960543686e-33,1.0590578775263354e-33,Ndufv3/Ndufc2/Ndufc1/Ndufa12/Ndufa6/Ndufa2/Ndufb9/Ndufb5/Ndufb4/Ndufa1/Ndufb2/Ndufs8/Ndufa8/Ndufb6/Ndufb8/Ndufb11/Ndufa11/Ndufs7/Ndufa13/Sdha/Sdhc,21
GO:0046034,ATP metabolic process,28/111,196/16623,0.14285714285714285,21.393822393822393,23.547826555682857,8.804348986513405e-30,5.423478975692258e-28,4.161213363099494e-28,Ndufv3/Ndufc2/Ndufc1/Ndufa12/Ndufa6/Hk2/Gpd1/Ndufa2/Gpi1/Aldoa/Eno1/Ndufb9/Ndufb5/Ndufb4/Ndufa1/Ndufb2/Ndufs8/Ndufa8/Ndufb6/Mtch2/Ndufb8/Ndufb11/Ndufa11/Ndufs7/Ndufa13/Pfkl/Sdha/Sdhc,28
GO:0032981,mitochondrial respiratory chain complex I assembly,19/111,50/16623,0.38,56.90756756756757,32.46073302051125,2.3676814884890805e-29,1.2682537364428467e-27,9.730791655209127e-28,Ndufc2/Ndufc1/Ndufa12/Ndufa6/Ndufa2/Ndufb9/Ndufb5/Ndufb4/Ndufa1/Ndufb2/Aifm1/Ndufs8/Ndufa8/Ndufb6/Ndufb8/Ndufb11/Ndufa11/Ndufs7/Ndufa13,19
GO:0046390,ribose phosphate biosynthetic process,24/111,139/16623,0.17266187050359713,25.857281742173832,24.128649813306673,1.2708491142790724e-27,5.398917616523509e-26,4.1423684378316056e-26,Ndufv3/Ndufc2/Ndufc1/Ndufa12/Ndufa6/Ndufa2/G6pdx/Aldoa/Eno1/Ndufb9/Ndufb5/Ndufb4/Ndufa1/Ndufb2/Ndufs8/Ndufa8/Ndufb6/Ndufb8/Ndufb11/Ndufa11/Ndufs7/Ndufa13/Sdha/Sdhc,24
GO:0007005,mitochondrion organization,30/111,432/16623,0.06944444444444445,10.399774774774775,16.23027106570568,1.7008743629681238e-22,5.37301850045315e-21,4.1224971064652506e-21,Ddhd2/Ndufc2/Chchd10/Ndufc1/Ndufa12/Ndufa6/Hk2/Ndufa2/Ndufb9/Ndufb5/Letmd1/Ghitm/Sod2/Ndufb4/Ndufa1/Ndufb2/Aifm1/Ndufs8/Ndufa8/Cox7a1/Ndufb6/Mtch2/Ndufb8/Ndufb11/Letm1/Ndufa11/Aifm2/Cox7a2/Ndufs7/Ndufa13,30
GO:0006631,fatty acid metabolic process,27/111,422/16623,0.06398104265402843,9.581593441783015,14.640521226715954,2.5428706744405647e-19,7.83204167727694e-18,6.0092049095990195e-18,Hadha/Elovl6/Hadh/Mgll/Cpt2/Elovl3/Fabp3/Apoc1/Acadl/Acsl5/Acaca/Hsd17b12/Echs1/Acad11/Ech1/Decr1/Dbi/Ephx2/Acot11/Acsl1/Acadm/Acly/Ces1d/Fasn/Etfdh/Crat/Hadhb,27
GO:0072329,monocarboxylic acid catabolic process,17/111,132/16623,0.12878787878787878,19.286855036855037,17.29441118372948,1.6763054593468244e-17,5.037093477842165e-16,3.8647555904838213e-16,Pgd/Hadha/Hadh/Cpt2/Acadl/Acsl5/Ldha/Echs1/Acad11/Ech1/Decr1/Dbi/Acadm/Ces1d/Etfdh/Crat/Hadhb,17
GO:0044282,small molecule catabolic process,23/111,345/16623,0.06666666666666667,9.983783783783784,13.825205801489142,6.638504421510212e-17,1.947294630309662e-15,1.4940794412321231e-15,Pgd/Hadha/Hadh/Cpt2/Gpd2/Gpi1/Aldoa/Eno1/Acadl/Acsl5/Ldha/Echs1/Acad11/Ech1/Decr1/Dbi/Dbt/Acadm/Ces1d/Etfdh/Pfkl/Crat/Hadhb,23
GO:0044242,cellular lipid catabolic process,19/111,212/16623,0.08962264150943396,13.421596124426312,14.923857743487574,1.8730735470888968e-16,5.244605931848911e-15,4.023971400205333e-15,Ddhd2/Hadha/Hadh/Mgll/Cpt2/Apoc1/Acadl/Acsl5/Echs1/Acad11/Pnpla2/Ech1/Decr1/Dbi/Acadm/Ces1d/Etfdh/Crat/Hadhb,19
GO:0035384,thioester biosynthetic process,9/111,36/16623,0.25,37.439189189189186,17.944828882151484,1.5370623518192574e-12,3.443019668075136e-11,2.641688022839604e-11,Elovl6/Pdha1/Elovl3/Acsl5/Acaca/Mpc2/Dlat/Acsl1/Acly,9
GO:0035383,thioester metabolic process,12/111,96/16623,0.125,18.719594594594593,14.275642806299226,1.6736375525664792e-12,3.6174060785296536e-11,2.775487575631945e-11,Elovl6/Pdha1/Elovl3/Acsl5/Acaca/Mpc2/Dlat/Acot11/Acsl1/Acly/Ces1d/Fasn,12
GO:1902600,proton transmembrane transport,12/111,116/16623,0.10344827586206896,15.492078285181732,12.841888025391478,1.6499182099141746e-11,3.5046538527832125e-10,2.6889774092612143e-10,Cyc1/Uqcrfs1/Ndufa2/Ucp1/Otop1/Ghitm/Ndufa4/Ndufs8/Cox7a1/Uqcrh/Letm1/Ndufs7,12
GO:1990845,adaptive thermogenesis,13/111,160/16623,0.08125,12.167736486486488,11.63788197340653,4.955593956499954e-11,1.0347952126115158e-9,7.939559987398678e-10,Elovl6/Hadh/Bola3/Cpt2/Elovl3/Ucp1/Letmd1/Acadl/Decr1/Acot11/Adrb3/Acsl1/Ces1d,13
GO:0006090,pyruvate metabolic process,12/111,135/16623,0.08888888888888889,13.311711711711713,11.776185032488375,9.986501574076802e-11,2.05056165654377e-9,1.5733120023720999e-9,Hk2/Gpd1/Pdha1/Gpi1/Aldoa/Eno1/Pcx/Ldha/Mpc2/Dlat/Mtch2/Pfkl,12
GO:0006006,glucose metabolic process,14/111,213/16623,0.06572769953051644,9.843167110772745,10.649927017553521,1.4758270286499408e-10,2.840967030151136e-9,2.179757683762577e-9,Hk2/Gpd1/Bola3/G6pdx/Pdha1/Gpd2/Gpi1/Aldoa/Eno1/Pcx/Ldha/Dlat/Acadm/Pfkl,14
GO:0106106,cold-induced thermogenesis,12/111,144/16623,0.08333333333333333,12.47972972972973,11.343596529145454,2.129049235491613e-10,3.974225239584345e-9,3.049260308566935e-9,Elovl6/Hadh/Cpt2/Elovl3/Ucp1/Letmd1/Acadl/Decr1/Acot11/Adrb3/Acsl1/Ces1d,12
GO:0019674,NAD metabolic process,8/111,57/16623,0.14035087719298245,21.01849217638691,12.412614005920018,3.855766519724943e-9,6.507266236028946e-8,4.992758954164383e-8,Gpd1/Gpd2/Gpi1/Aldoa/Eno1/Pcx/Ldha/Pfkl,8
GO:0006734,NADH metabolic process,7/111,38/16623,0.18421052631578946,27.586770981507822,13.452498223170222,5.202346774687532e-9,8.661204360020324e-8,6.645387487438698e-8,Gpd1/Gpd2/Gpi1/Aldoa/Eno1/Pcx/Pfkl,7
GO:0006839,mitochondrial transport,11/111,172/16623,0.06395348837209303,9.577467001885609,9.271081879351089,2.0435095608920393e-8,3.3419570244467566e-7,2.564146794218377e-7,Chchd10/Hk2/Ucp1/Ghitm/Mpc2/Aifm1/Slc25a20/Mtch2/Letm1/Ndufa13/Slc25a1,11
GO:0016052,carbohydrate catabolic process,10/111,176/16623,0.056818181818181816,8.508906633906633,8.210941924972154,2.808685882892604e-7,4.3801278578780855e-6,3.360692768604342e-6,Pgd/Hk2/Gpd1/Gpd2/Gpi1/Aldoa/Eno1/Ldha/Mtch2/Pfkl,10
