category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,mmu00190,Oxidative phosphorylation,38/96,101/6791,0.37623762376237624,26.614892739273927,31.0552752342231,6.086890069000612e-47,6.999923579350704e-45,4.8054395281583786e-45,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12869/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,38
Organismal Systems,Environmental adaptation,mmu04714,Thermogenesis,45/96,195/6791,0.23076923076923078,16.32451923076923,25.99914425355827,3.3289492339524314e-45,1.914145809522648e-43,1.3140589081391177e-43,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/23945/12896/22227/12867/66218/66046/433256/12864/17992/68194/12869/12861/54405/68198/66853/225887/68375/57279/12865/66576/230075/67264/104130/11556/12857/14081/69875/12866/75406/67184/66945/66052,45
Human Diseases,Cardiovascular disease,mmu05415,Diabetic cardiomyopathy,41/96,176/6791,0.23295454545454544,16.479107481060606,24.9133734697455,5.075362205190187e-41,1.945555511989572e-39,1.3356216329447863e-39,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/14381/18597/12896/12867/66218/66046/12864/17992/68194/12869/70456/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,41
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,38/96,144/6791,0.2638888888888889,18.667390046296298,25.65878080920137,4.3006835585133365e-40,1.2364465230725842e-38,8.4881912339079e-39,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12869/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,38
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,39/96,187/6791,0.20855614973262032,14.753175133689838,22.835759333158936,7.820606366891708e-37,1.7987394643850926e-35,1.234832584246059e-35,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/12867/66218/66046/12864/17992/20656/68194/12869/12861/54405/68198/225887/68375/13850/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,39
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,38/96,221/6791,0.17194570135746606,12.163367269984917,20.202442442870808,1.9126154747749155e-32,3.6658463266519217e-31,2.5165993089143624e-31,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12869/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,38
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease,40/96,263/6791,0.1520912547528517,10.758871989860582,19.327809463553578,4.43037560057187e-32,7.2784742009395e-31,4.996664211171282e-31,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/22227/12867/66218/66046/12864/17992/20656/68194/12869/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,40
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,38/96,228/6791,0.16666666666666666,11.789930555555555,19.84403954909429,6.574182802610027e-32,9.450387778751914e-31,6.487680397312527e-31,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12869/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,38
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis,40/96,314/6791,0.12738853503184713,9.011411889596603,17.405325484574448,5.883654382167622e-29,7.518002821658628e-28,5.161100335234755e-28,66594/78330/68197/103172/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12869/12861/54405/68198/225887/67819/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,40
Human Diseases,Neurodegenerative disease,mmu05010,Alzheimer disease,38/96,327/6791,0.1162079510703364,8.220502038735985,16.024548813300413,6.966880485974284e-26,8.011912558870427e-25,5.50016880471654e-25,66594/78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12869/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/69875/12866/75406/67184/66945/66052,38
