ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1428517,Aerobic respiration and respiratory electron transport,43/92,194/7527,0.22164948453608246,18.13430076199014,26.894405124685083,4.463243216068226e-45,6.3378053668168806e-43,4.839095276368708e-43,78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/18597/66128/22227/12867/66218/66046/12864/17992/16828/67834/68194/12861/54405/68198/225887/235339/68375/12865/66576/230075/15929/67264/104130/12857/12866/75406/67184/66841/66945/66052,43
R-MMU-611105,Respiratory electron transport,34/92,115/7527,0.2956521739130435,24.188846880907374,27.873782182951103,8.256330564278776e-40,5.861994700637931e-38,4.475800253266916e-38,78330/68197/66377/66414/66445/67130/110323/66142/66694/66152/17991/22272/13063/12867/66218/66046/12864/17992/68194/12861/54405/68198/225887/68375/12865/66576/230075/67264/104130/12857/12866/75406/67184/66841,34
R-MMU-6799198,Complex I biogenesis,18/92,52/7527,0.34615384615384615,28.320652173913043,21.98987039862861,1.9781625474797074e-22,9.363302724737283e-21,7.149148855803854e-21,78330/68197/66377/66414/67130/17991/66218/66046/68194/54405/68198/225887/68375/230075/67264/104130/75406/67184,18
R-MMU-8978868,Fatty acid metabolism,22/92,154/7527,0.14285714285714285,11.687888198757763,14.906156613701611,4.141410168968365e-18,1.4702006099837697e-16,1.1225401247466886e-16,97212/170439/15107/12896/12686/11363/433256/107476/56348/93747/102632/67460/13167/13850/57279/329910/14081/11364/104112/14104/12908/231086,22
R-MMU-77289,Mitochondrial Fatty Acid Beta-Oxidation,10/92,34/7527,0.29411764705882354,24.063299232736576,14.992310226102536,4.654652329422949e-12,1.3219212615561173e-10,1.0093246103801343e-10,97212/15107/11363/93747/102632/67460/13167/329910/11364/231086,10
R-MMU-5628897,TP53 Regulates Metabolic Genes,12/92,63/7527,0.19047619047619047,15.583850931677016,12.929811996141428,8.542188553178274e-12,2.0216512909188582e-10,1.5435884578550216e-10,110323/66142/14381/13063/14751/12867/12864/17992/12861/12865/12857/12866,12
R-MMU-9707564,Cytoprotection by HMOX1,10/92,42/7527,0.23809523809523808,19.47981366459627,13.35862827014781,4.8225089955746426e-11,9.782803962451418e-10,7.469450023220875e-10,110323/66142/13063/12867/12864/17992/12861/12865/12857/12866,10
R-MMU-9864848,Complex IV assembly,9/92,36/7527,0.25,20.453804347826086,13.014318463798924,2.936361349367412e-10,5.212041395127156e-9,3.979542355063729e-9,110323/66142/12867/12864/17992/12861/12865/12857/12866,9
R-MMU-75105,Fatty acyl-CoA biosynthesis,8/92,31/7527,0.25806451612903225,21.113604488078543,12.482210382645048,2.292707776536771e-9,3.6173833807580164e-8,2.7619754500969288e-8,170439/12686/433256/107476/56348/14081/104112/14104,8
R-MMU-9837999,Mitochondrial protein degradation,9/92,67/7527,0.13432835820895522,10.990103828682674,9.136366732841203,9.783796731157504e-8,1.3892991358243654e-6,1.0607695403254977e-6,78330/15107/17991/22272/18597/67834/51798/13171/67184,9
R-MMU-9865881,Complex III assembly,5/92,15/7527,0.3333333333333333,27.27173913043478,11.329016183762567,6.667097566565729e-7,8.606616858657577e-6,6.571397601495407e-6,66445/66694/66152/22272/66576,5
R-MMU-9711123,Cellular response to chemical stress,11/92,147/7527,0.07482993197278912,6.1222271517302564,6.976295284160849,1.501170405246261e-6,1.776384979541409e-5,1.3563206293014465e-5,110323/66142/13063/12867/12864/17992/20656/12861/12865/12857/12866,11
R-MMU-1483206,Glycerophospholipid biosynthesis,9/92,96/7527,0.09375,7.670176630434782,7.316187962760855,2.2202501368142453e-6,2.4251963032894063e-5,1.851706591836982e-5,67512/72108/97212/14555/23945/14571/212862/66853/231086,9
R-MMU-75876,Synthesis of very long-chain fatty acyl-CoAs,5/92,22/7527,0.22727272727272727,18.594367588932805,9.192744455503233,5.464113383633356e-6,5.54217214625669e-5,4.231606605370193e-5,170439/12686/433256/56348/14081,5
