ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006119,oxidative phosphorylation,113,-0.7024364371094469,-3.0361505792748305,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=58%, list=13%, signal=50%",226646/56428/14297/66052/75406/68349/104130/68197/227197/12857/14004/70556/67264/66218/67273/12850/58805/66694/70316/407785/68943/67130/13063/67892/67680/66142/67267/68550/78330/68202/107197/66925/66148/66046/12866/67003/68375/66594/230075/12864/66945/67184/84682/67530/17993/110323/12868/66091/66495/22272/66152/13382/68198/595136/12867/54405/72900/68194/12858/66416/12859/12865/12869/12861/66377
GO:0019646,aerobic electron transport chain,56,-0.767978750184913,-3.008919661582905,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=70%, list=13%, signal=61%",226646/66052/75406/68349/68197/227197/12857/67264/66218/67273/66694/407785/68943/13063/67680/66142/107197/66925/66148/12866/67003/68375/66594/230075/66945/84682/67530/12868/22272/66152/13382/12867/72900/12858/66416/12859/12865/12869/12861
GO:0042773,ATP synthesis coupled electron transport,66,-0.7489548815815933,-2.9881674639753424,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=67%, list=13%, signal=58%",226646/56428/66052/75406/68349/68197/227197/12857/14004/67264/66218/67273/12850/66694/407785/68943/13063/67892/67680/66142/78330/107197/66925/66148/12866/67003/68375/66594/230075/66945/84682/67530/12868/22272/66152/13382/12867/72900/12858/66416/12859/12865/12869/12861
GO:0042775,mitochondrial ATP synthesis coupled electron transport,66,-0.7489548815815933,-2.9881674639753424,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=67%, list=13%, signal=58%",226646/56428/66052/75406/68349/68197/227197/12857/14004/67264/66218/67273/12850/66694/407785/68943/13063/67892/67680/66142/78330/107197/66925/66148/12866/67003/68375/66594/230075/66945/84682/67530/12868/22272/66152/13382/12867/72900/12858/66416/12859/12865/12869/12861
GO:0009060,aerobic respiration,159,-0.6491823226924723,-2.9857219668717954,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2651,"tags=54%, list=15%, signal=46%",56327/72759/18597/56312/66128/226646/56428/12359/235339/14297/66052/75406/68349/104130/14533/15925/68197/14194/70383/227197/12857/14004/70556/67264/66218/67273/12850/58805/66694/70316/407785/68943/67130/67472/13063/67892/56451/78920/67680/66142/67267/68550/17842/78330/68202/107197/66925/66148/66046/12866/67003/68375/66594/230075/12864/66945/67184/67834/84682/67530/17993/110323/11429/68263/12868/66091/66495/20916/22272/66152/18293/13382/12974/68198/595136/12867/54405/72900/68194/12858/66416/12859/12865/12869/12861/66377
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,42,-0.8002103097151673,-2.970611518584579,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=76%, list=13%, signal=67%",226646/66052/75406/68349/104130/68197/227197/67264/66218/67273/70316/407785/67130/67680/78330/68202/66925/66046/68375/230075/66945/67184/17993/66091/66495/68198/595136/54405/72900/68194/66416/66377
GO:0015986,proton motive force-driven ATP synthesis,43,-0.7911859948860875,-2.9512509681887913,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=74%, list=13%, signal=65%",226646/66052/75406/68349/104130/68197/227197/67264/66218/67273/70316/407785/67130/67680/78330/68202/66925/66046/68375/230075/66945/67184/17993/66091/66495/68198/595136/54405/72900/68194/66416/66377
GO:0006754,ATP biosynthetic process,68,-0.7137807408584497,-2.8926035434648134,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2773,"tags=62%, list=16%, signal=52%",50799/271639/17991/19013/226646/66052/75406/68349/104130/68197/83433/227197/11545/67264/66218/67273/56248/70316/11674/407785/67130/67680/78330/68202/107197/66925/66046/68375/230075/66945/67184/13806/17993/66091/66495/68198/595136/54405/72900/68194/66416/66377
GO:0022904,respiratory electron transport chain,97,-0.6824238546745709,-2.8853476486393523,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2301,"tags=58%, list=13%, signal=51%",226646/56428/14718/66052/110826/110842/75406/68267/68349/56857/68197/227197/12857/14004/20656/67264/66218/67273/12850/66841/66694/407785/68943/14571/13063/67892/67680/66142/78330/68202/107197/66925/66148/12866/67003/68375/66594/230075/66945/84682/67530/17993/12868/14555/245944/22272/66152/13382/12867/72900/12858/66416/12859/12865/12869/12861
GO:0022900,electron transport chain,104,-0.6757023923398556,-2.8835783712305116,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,3000,"tags=62%, list=17%, signal=52%",66445/12862/17448/14148/67914/78797/50799/18984/226646/56428/14718/66052/110826/110842/75406/68267/68349/56857/68197/227197/12857/14004/20656/67264/66218/67273/12850/66841/66694/407785/68943/14571/13063/67892/67680/66142/78330/68202/107197/66925/66148/12866/67003/68375/66594/230075/66945/84682/67530/17993/12868/66495/14555/245944/22272/66152/13382/12867/72900/12858/66416/12859/12865/12869/12861
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,78,-0.6851697161010718,-2.8327055819869904,1e-10,1.7645714285714288e-8,1.6111278195488723e-8,2773,"tags=56%, list=16%, signal=48%",50799/271639/17991/19013/226646/56520/66052/75406/68349/104130/68197/83433/227197/11545/67264/66218/67273/56248/70316/11674/407785/67130/67680/78330/68202/107197/66925/66046/68375/230075/66945/67184/13806/17993/66091/66495/18102/68198/595136/54405/72900/68194/66416/66377
