ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu00190,Oxidative phosphorylation,100,-0.7197291122287122,-3.0942773734468743,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2348,"tags=60%, list=13%, signal=52%",21871/226646/108664/66052/75406/68349/11974/104130/68197/70383/227197/12857/67264/76429/66218/67273/66694/73834/70316/407785/67130/13063/67680/66142/78330/68202/66925/66046/12866/67003/68375/66594/12856/230075/12864/66945/67184/84682/67530/17993/110323/12868/66091/66495/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu05415,Diabetic cardiomyopathy,175,-0.5974637062722473,-2.79739181082535,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2143,"tags=43%, list=12%, signal=38%",66052/75406/18762/68349/104130/68197/18127/227197/12857/18750/11545/21954/18709/67264/66218/67273/66694/70316/407785/11652/67130/12491/11740/17969/67680/66142/20525/78330/68202/66925/14433/74769/66046/22335/12866/67003/14583/68375/66594/17227/55951/230075/26419/12864/66945/67184/84682/22333/67530/14381/17993/110323/11739/68263/12868/66091/66495/70456/22272/66152/20528/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu04932,Non-alcoholic fatty liver disease,144,-0.5855842803977191,-2.6533617106087197,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2373,"tags=46%, list=13%, signal=40%",18770/226646/13198/66052/75406/68349/104130/12369/68197/12540/227197/12857/14102/12606/18709/67264/66218/67273/58805/66694/70316/407785/11652/67130/13063/67680/66142/78330/68202/66925/74769/66046/12866/67003/68375/66594/230075/26419/12864/66945/67184/84682/67530/108099/17993/14281/110323/12868/66091/66495/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu05208,Chemical carcinogenesis - reactive oxygen species,186,-0.5556522890917313,-2.62146747779953,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2301,"tags=39%, list=13%, signal=35%",226646/68214/12359/66052/75406/68312/68349/104130/19247/68197/227197/12857/20656/15251/14859/18709/67264/15461/66218/67273/66694/17295/70316/407785/11652/67130/11740/17969/67680/66142/78330/68202/66925/74769/66046/22335/12866/67003/68375/66594/230075/26419/12864/66945/67184/84682/22333/67530/17993/14281/110323/14873/11739/12868/66091/66495/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/14860/12865/12869/12861/66377
mmu05020,Prion disease,229,-0.5434711437353227,-2.619743292909151,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2157,"tags=38%, list=12%, signal=34%",17967/66052/75406/70247/12288/16572/68349/104130/68197/16574/208677/227197/12857/23996/15139/12287/16440/26442/18709/67264/19058/66218/67273/56436/66413/26441/66694/70316/407785/67130/19185/20867/13063/11740/17969/16594/67680/66142/78330/68202/66925/74769/66046/16439/22335/12866/67003/68375/66594/230075/26419/26445/14811/12864/66945/12260/12913/26444/67184/13653/84682/22333/67530/17993/110323/69379/57296/11739/12868/66091/66495/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu04714,Thermogenesis,193,-0.5477413408937898,-2.597280202003109,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2143,"tags=37%, list=12%, signal=33%",66052/75406/70673/68349/19744/104130/68197/208677/70383/227197/12857/12894/69487/74205/67264/15461/66218/67273/66694/70316/407785/68185/78070/67130/67892/67680/66142/78330/20111/68202/66925/66046/12866/67003/22227/68375/66594/12856/230075/12864/66945/12913/67184/84682/11513/67530/108099/17993/110323/433256/12868/66091/66495/14683/66272/52469/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu05012,Parkinson disease,223,-0.5374124770896137,-2.5826946981876855,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2143,"tags=48%, list=12%, signal=43%",22153/215999/66108/333182/13163/22142/17762/66414/66916/67951/23997/12315/22186/22273/12323/21762/18803/67089/66445/12862/106957/14828/19166/17991/26443/80796/226646/13198/66052/75406/70247/16572/68349/104130/68197/16574/227197/12857/18174/23996/16440/26442/67264/66218/67273/56436/66413/26441/66694/70316/407785/68943/67130/19185/13063/109731/11740/16594/67680/66142/78330/68202/66925/66046/56228/16439/22335/12866/67003/56551/68375/66594/230075/26419/26445/12864/66945/26444/67184/84682/22333/67530/17993/110323/57296/11739/12313/12868/66091/66495/14683/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu05016,Huntington disease,265,-0.4699300603283593,-2.3035761417480645,1e-10,3.1363636363636365e-9,2.526315789473685e-9,2314,"tags=33%, list=13%, signal=29%",53623/226646/11773/66052/15194/75406/70247/110084/232910/18181/16572/68349/104130/68197/16574/208677/227197/12857/23996/12421/14799/20656/12287/329015/26442/67264/66218/67273/56436/66413/26441/15182/66694/70316/407785/21374/67130/19185/13063/11740/16594/67680/66142/78330/68202/66925/66046/22335/12866/67003/22227/68375/66594/230075/26419/26445/66491/12864/66945/12913/26444/67184/84682/22333/67530/17993/110323/57296/11739/12868/66091/66495/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu05010,Alzheimer disease,327,-0.44133768066431167,-2.224048426965645,1e-10,3.1363636363636365e-9,2.526315789473685e-9,3407,"tags=38%, list=19%, signal=31%",66414/66916/67951/23997/12315/12334/22273/53313/11937/21762/67089/66445/12862/108071/106957/19057/13542/18708/19166/74781/17991/26443/22413/66340/208117/12387/12364/80796/226646/13198/66052/75406/70247/12288/16572/68349/104130/12369/27373/15925/68197/16574/19164/227197/12857/14102/18174/23996/12421/329015/16440/59287/26442/18709/67264/15461/19058/66218/67273/56436/66413/26441/66694/12569/70316/407785/11652/67130/19185/13063/11740/16594/67680/66142/78330/56175/68202/17380/66925/14433/74769/66046/16439/22335/12866/67003/68375/66594/230075/26419/26445/14811/12864/66945/26444/67184/84682/22333/67530/17993/110323/57296/11739/12313/12868/66091/66495/19106/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
mmu05014,Amyotrophic lateral sclerosis,316,-0.43648895537287896,-2.1886143557674407,1e-10,3.1363636363636365e-9,2.526315789473685e-9,3671,"tags=40%, list=21%, signal=32%",330355/66734/110379/22153/215999/66108/333182/13163/11750/22142/69736/103172/66414/66916/67951/23997/22273/21762/67089/66445/12862/100042150/94232/19057/218460/14828/19166/74781/18226/56491/17991/226977/26443/56444/269254/12364/226646/211323/13198/12359/66052/75406/70247/110084/19386/12362/53319/16572/433702/68349/104130/18040/68197/16574/53379/54609/271457/227197/12857/23996/12421/14799/329015/16440/26442/72787/67264/19058/66218/67273/56436/66413/26441/56085/66694/70316/227699/407785/68943/67130/19185/66679/13063/16594/67680/66142/78330/56009/68202/66925/66046/12866/67003/68375/66594/230075/26445/14811/12864/66945/26444/67184/84682/22333/67530/17993/110323/57296/12868/66091/66495/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12859/12865/12869/12861/66377
