ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-1428517,Aerobic respiration and respiratory electron transport,193,-0.6256900553551034,-3.00767564518836,1e-10,3.646666666666667e-8,3.108771929824562e-8,2387,"tags=50%, list=13%, signal=44%",66128/68033/226646/75530/235339/14718/14297/66052/110826/110842/75406/68267/68349/76282/104130/68197/68636/14194/227197/12857/69487/110446/67899/66690/22228/98314/69046/68332/67264/68477/17436/66218/67273/26940/66841/66694/70316/407785/67130/13063/381511/15526/76425/66771/56451/78920/67680/66142/78330/16828/68202/66925/66046/12866/67003/22227/68375/12856/230075/56295/12864/66945/16832/67184/67834/84682/22333/17993/110323/11429/11739/68263/12868/66091/66495/20916/66272/52469/22272/66152/18293/13382/12974/27402/68198/595136/12867/18746/54405/72900/68194/12858/66416/17992/12865/12861/66377
R-MMU-611105,Respiratory electron transport,115,-0.6703054908367622,-2.997222506072131,1e-10,3.646666666666667e-8,3.108771929824562e-8,2381,"tags=54%, list=13%, signal=47%",68033/226646/75530/14718/14297/110826/110842/75406/68267/68349/104130/68197/227197/12857/69487/67899/66690/67264/66218/67273/26940/66841/66694/70316/407785/67130/13063/15526/66142/78330/68202/66046/12866/67003/68375/12856/230075/56295/12864/67184/84682/17993/110323/12868/66091/66495/66272/52469/22272/66152/68198/595136/12867/54405/72900/68194/12858/66416/17992/12865/12861/66377
R-MMU-6799198,Complex I biogenesis,52,-0.7129294582355241,-2.700306077015343,1e-10,3.646666666666667e-8,3.108771929824562e-8,2301,"tags=62%, list=13%, signal=54%",226646/75406/68349/104130/68197/227197/69487/66690/67264/66218/67273/26940/70316/407785/67130/15526/78330/68202/66046/68375/230075/67184/17993/66091/66495/68198/595136/54405/72900/68194/66416/66377
R-MMU-9837999,Mitochondrial protein degradation,66,-0.5883418475997388,-2.3501680537135385,1.6356168988579348e-8,4.473412218376451e-6,3.813569927337185e-6,2902,"tags=50%, list=16%, signal=42%",17448/66904/118451/17991/26897/18597/71911/171210/68349/56282/69597/14194/227197/66948/110446/53895/270166/56454/15526/11740/381314/78330/67003/67184/67834/15107/11429/68263/22272/18293/13382/12974/12858
R-MMU-9864848,Complex IV assembly,36,-0.7032671157441421,-2.460433282527107,3.37756818614491e-8,7.390119191285064e-6,6.300053500893454e-6,597,"tags=42%, list=3%, signal=40%",66142/12866/12856/56295/12864/84682/110323/12868/66272/52469/12867/12858/17992/12865/12861
R-MMU-5368287,Mitochondrial translation,85,-0.5115963427297332,-2.1640554062593207,2.755376400051771e-7,5.023969636094396e-5,4.2829184042909994e-5,2856,"tags=41%, list=16%, signal=35%",18100/69163/118451/66047/66128/59054/52443/66163/67212/108853/74600/94065/24030/64655/218506/69956/14548/56282/99045/320806/64660/68463/66242/68735/66407/121022/77721/64658/27398/68537/94066/66223/27397/67270/50529
R-MMU-5419276,Mitochondrial translation termination,84,-0.5142008540508478,-2.1782774049811047,3.7036719859018265e-7,5.7883102179665683e-5,4.934516360163937e-5,2856,"tags=42%, list=16%, signal=35%",18100/69163/118451/66047/66128/59054/52443/66163/67212/108853/74600/94065/24030/64655/218506/69956/14548/56282/99045/320806/64660/68463/66242/68735/66407/121022/77721/64658/27398/68537/94066/66223/27397/67270/50529
R-MMU-5628897,TP53 Regulates Metabolic Genes,62,-0.552820476994092,-2.1789496814543585,6.109173648337226e-7,8.354294964101156e-5,7.122010332140503e-5,2182,"tags=44%, list=12%, signal=38%",66096/12862/14751/245670/54401/19744/22630/22627/52187/12857/54683/11652/13063/66142/12866/22628/12864/84682/108099/14381/110323/12868/12867/12858/17992/12865/12861
R-MMU-71403,Citric acid cycle (TCA cycle),32,-0.6934416861631104,-2.3535870489618103,1.1956522032750216e-6,1.453381678203193e-4,1.2390033357914258e-4,3156,"tags=66%, list=18%, signal=54%",20917/68002/17448/66128/14297/66052/14194/110446/69046/68332/56451/78920/67680/66925/66945/67834/11429/20916/18293/13382/12974
R-MMU-5389840,Mitochondrial translation elongation,82,-0.5037641451724565,-2.1223433383948445,1.5316063230692122e-6,1.675577317437718e-4,1.4284244234098127e-4,2856,"tags=40%, list=16%, signal=34%",18100/69163/118451/66047/66128/59054/52443/66163/67212/74600/94065/24030/64655/218506/69956/14548/56282/99045/64660/68463/66242/68735/66407/121022/77721/64658/27398/68537/94066/66223/27397/67270/50529
