ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0034976,response to endoplasmic reticulum stress,242,-0.4704731944359237,-2.3082597191879834,1e-10,5.989e-7,5.630526315789474e-7,2927,"tags=38%, list=19%, signal=31%",225896/66663/72074/67089/23802/22644/69232/56424/70377/66795/14084/27362/22393/244373/56637/140499/231571/231630/76577/216440/67890/11911/12915/66597/75565/56228/17155/80517/68889/226418/12371/12759/66435/13198/217379/66333/67812/237500/216157/53323/18453/110616/93736/76892/74006/16151/67604/56334/224045/13665/67397/67163/66073/76299/170770/22059/66825/66437/17156/68212/66155/16476/59025/12282/78943/67490/12028/51800/66212/13666/16145/20747/19106/108687/11993/217365/57320/116891/71853/320011/22433/69038/14827/269523/12317/64136/100037258/28146/14828/12304/74840/22027
GO:0036503,ERAD pathway,97,-0.5536331349527577,-2.3927457811877306,3.011300957074207e-10,9.017340715958713e-7,8.477604641784176e-7,3906,"tags=57%, list=25%, signal=43%",329795/56085/52231/12330/30931/72736/67819/72053/217069/50760/224727/14950/66753/225896/67089/23802/22644/56424/70377/14084/27362/22393/244373/140499/76577/216440/66597/56228/17155/68889/226418/66435/217379/66333/67812/216157/110616/76892/67604/67163/17156/59025/78943/66212/13666/108687/11993/217365/116891/320011/269523/12317/64136/14828/22027
GO:0006457,protein folding,164,-0.46152706380161607,-2.1670970343668223,8.074835973783592e-10,1.612006421566331e-6,1.515519214869068e-6,2042,"tags=32%, list=13%, signal=28%",53381/268390/19038/227638/56401/237422/18087/72599/14232/12955/58233/12759/104009/12010/30933/68816/14227/18453/67838/15525/27055/81489/67163/67035/18415/15511/67072/76299/14228/268373/270166/12462/15519/15516/12282/238831/12465/66120/15507/14976/110920/19035/66411/193740/52653/14827/12317/64136/100037258/14828/12304/22027
GO:0035966,response to topologically incorrect protein,125,-0.5001636780621748,-2.2472082092733037,1.5729515396629775e-9,2.3551016927603932e-6,2.2141362593834917e-6,2739,"tags=39%, list=18%, signal=32%",69232/56424/80888/70377/27362/22393/140499/231571/231630/76577/216440/326622/11911/12915/80517/170731/226418/69116/12759/13198/100502841/67812/110616/56334/13665/18415/76299/68212/15519/78943/67490/12028/51800/13666/16145/19106/15507/108687/193740/116891/71853/72265/22433/269523/64136/100037258/28146/14828/74840
GO:0006986,response to unfolded protein,108,-0.5146763723369381,-2.259273008551645,8.700136569189267e-9,1.0421023582574902e-5,9.797269580756502e-6,2919,"tags=43%, list=19%, signal=35%",15505/23802/69232/56424/80888/70377/27362/22393/140499/231571/231630/76577/216440/326622/11911/12915/80517/170731/226418/13198/100502841/67812/56334/13665/18415/76299/68212/15519/78943/67490/12028/51800/13666/16145/19106/15507/108687/193740/116891/71853/72265/22433/100037258/28146/14828/74840
GO:0030968,endoplasmic reticulum unfolded protein response,71,-0.5625542643385425,-2.2905310020569676,1.5745952142354087e-7,1.5717084563426437e-4,1.4776332984114393e-4,2848,"tags=44%, list=18%, signal=36%",23802/69232/56424/70377/27362/22393/231571/231630/216440/11911/12915/80517/226418/13198/56334/13665/68212/78943/67490/12028/51800/13666/16145/19106/108687/116891/71853/22433/100037258/28146/14828
GO:0034620,cellular response to unfolded protein,82,-0.5128667836244858,-2.1611502742823654,3.3630723337369394e-7,2.877348600964361e-4,2.705123896715623e-4,2848,"tags=39%, list=18%, signal=32%",23802/69232/56424/80888/70377/27362/22393/231571/231630/216440/11911/12915/80517/226418/13198/56334/13665/68212/78943/67490/12028/51800/13666/16145/19106/108687/116891/71853/22433/100037258/28146/14828
GO:0035967,cellular response to topologically incorrect protein,97,-0.49058290073830385,-2.120249117973369,4.443222029751134e-7,3.326307092022443e-4,3.127209820676161e-4,2848,"tags=37%, list=18%, signal=30%",23802/69232/56424/80888/70377/27362/22393/231571/231630/216440/11911/12915/80517/226418/69116/13198/110616/56334/13665/68212/78943/67490/12028/51800/13666/16145/19106/108687/116891/71853/22433/269523/64136/100037258/28146/14828
GO:0009062,fatty acid catabolic process,104,0.5073588469559414,2.0478743311374066,5.399963242192943e-7,3.593375539721504e-4,3.378292793273691e-4,1448,"tags=31%, list=9%, signal=28%",54608/12896/12908/19300/235674/104158/74147/15107/26874/106648/13177/66968/51798/56690/74114/11363/56717/56185/19299/11430/12894/23986/19302/19015/110446/22160/231086/67460/26378/234564/11364/15112
GO:0006635,fatty acid beta-oxidation,74,0.5582169829867215,2.131230457286565,6.206363581858418e-7,3.716991149175006e-4,3.494509347301124e-4,1059,"tags=32%, list=7%, signal=30%",12896/12908/19300/235674/74147/15107/26874/13177/66968/51798/56690/74114/11363/56717/19299/11430/12894/23986/19302/19015/110446/22160/231086/67460
