ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu04141,Protein processing in endoplasmic reticulum,152,-0.5920645585647499,-2.6853061293911726,1e-10,1.7250000000000002e-8,1.4526315789473687e-8,1952,"tags=42%, list=13%, signal=37%",11911/12915/26965/218811/56228/12955/17155/226418/386649/66435/13198/217379/67812/18453/110616/67838/13665/13200/59007/67397/56453/81489/18415/15511/110379/19089/17156/67075/69276/15519/16430/15516/12282/78943/12028/107513/66212/13666/66256/108687/66059/53421/193740/217365/81500/116891/103963/140740/71853/67437/72265/320011/81910/22433/69038/14827/269523/66357/70361/12317/100037258/14828/12304/22027
mmu03050,Proteasome,45,-0.7202983864514626,-2.6648361189168424,1e-10,1.7250000000000002e-8,1.4526315789473687e-8,1957,"tags=62%, list=13%, signal=54%",22123/19185/57296/26442/56436/21762/19171/17463/19184/23996/19167/19166/19177/70247/19172/103554/66537/26444/69077/19181/19173/23997/19179/19175/66997/26445/19170/26446
mmu04610,Complement and coagulation cascades,82,-0.5692820449760722,-2.345449138240462,1.0735482051542072e-9,1.2345804359273382e-7,1.0396466828861796e-7,2768,"tags=51%, list=18%, signal=42%",50702/14058/20700/14068/19123/17175/20704/50909/385643/20701/624286/545366/12258/12759/14062/12263/12509/12260/17174/625018/69379/12269/18815/14067/22370/12268/11905/17194/12946/15139/56373/230558/12279/12628/20703/333883/110135/99571/16644/110382/14161/12274
mmu05012,Parkinson disease,210,-0.42970360020123977,-2.0560242243768974,1.9120171373906565e-9,1.6491147809994412e-7,1.3887282366311086e-7,2074,"tags=33%, list=13%, signal=29%",22190/12869/12323/68342/225887/22123/11911/72027/19185/56228/170731/67273/17993/67003/12371/12857/57296/13198/20463/26442/22151/22142/17161/22143/72900/56436/224129/227197/21762/17463/13665/19184/22201/22145/23996/19167/19166/19177/70247/22187/22059/68349/19172/69875/595136/26444/22273/69077/78943/19181/12028/19173/23997/13666/22146/66108/19179/19175/68375/66997/16573/57320/26445/19252/13063/22433/12313/19170/26446/14828
mmu05020,Prion disease,219,-0.41655123000957406,-1.9941578697011881,3.733065267582998e-9,2.5758150346322687e-7,2.1691073975850684e-7,1997,"tags=31%, list=13%, signal=27%",68342/225887/22123/11911/12915/14812/19185/67273/17993/67003/12371/12857/57296/13198/20463/26442/22151/22142/22143/72900/56436/227197/21762/16176/12260/17463/13665/69379/19094/19184/22145/23996/19167/19166/19177/15511/70247/18710/68349/15139/19172/69875/595136/26444/22273/69077/19181/12028/19173/23997/230558/13666/22146/12279/66108/19179/19175/68375/193740/66997/16573/26445/13063/110382/19170/26446/14828/12274
mmu05014,Amyotrophic lateral sclerosis,298,-0.3407580173551852,-1.7007947413977842,3.7275898243298414e-6,2.1433641489896588e-4,1.8049382307281338e-4,2106,"tags=28%, list=14%, signal=24%",51897/12869/18391/68342/225887/22123/11911/11750/14812/19185/225027/67273/170762/11727/17993/67003/12371/12857/21937/54130/57296/13198/20463/26442/22151/22142/22143/234865/72900/56436/227197/227720/21762/69482/17463/13665/19094/19184/22145/23996/19167/233908/19166/19177/22428/70247/19324/110379/103172/22059/68349/19172/641376/69875/595136/26444/22273/69077/229279/107939/78943/19181/12028/19173/23997/13666/12359/22146/15382/66108/19179/19175/68375/66997/16573/26445/13063/22433/19170/26446/269523/14828
mmu00071,Fatty acid degradation,45,0.5897316075444399,2.0437712348543946,1.3016710198434616e-5,6.415378597799917e-4,5.402424082357827e-4,1016,"tags=38%, list=7%, signal=35%",13119/14081/12896/56752/13117/235674/74147/15107/11671/13177/11363/72535/11430/12894/23986/110446/231086
mmu03060,Protein export,29,-0.6447110338746144,-2.1055704972072276,2.90894124784104e-5,0.001150452513539526,9.688021166648638e-4,1714,"tags=48%, list=11%, signal=43%",66661/27058/67604/665155/20818/69276/66541/69089/66212/53421/140740/66384/66624/14828
mmu05010,Alzheimer disease,308,-0.31644706756516444,-1.5805984442950223,3.001180470103111e-5,0.001150452513539526,9.688021166648638e-4,3536,"tags=40%, list=23%, signal=31%",227059/26417/226641/18706/12289/52639/12314/22154/68118/16367/74781/234664/67264/16175/214922/407785/12865/16974/328133/14362/106947/12387/56208/12006/19697/67738/68194/67680/67089/75406/15925/104130/17992/66445/27412/22418/56637/66414/18795/14682/110323/11739/14433/51897/12869/68342/225887/22123/11911/14812/72027/19185/67273/17993/67003/12371/12675/12857/21937/57296/13198/20463/26442/12671/22151/22142/22143/11816/50490/72900/20168/56436/227197/26395/16151/21762/16176/17463/13665/14296/15108/19184/22145/23996/19167/19166/19177/70247/18710/68318/68349/19172/69875/595136/26444/22273/69077/19165/78943/19181/19173/23997/66340/11938/13666/22146/14367/19106/384783/66108/19179/16956/19175/68375/66997/16573/26445/13063/22433/12313/19170/26446
mmu05016,Huntington disease,246,-0.33378900744915724,-1.6279890411862734,4.305898710763467e-5,0.0014855350552133962,0.0012509768886007548,2547,"tags=30%, list=17%, signal=25%",69241/53623/66414/18795/14682/231329/110323/11739/51897/228980/12869/68342/225887/22123/328572/14812/19185/245841/20020/71770/67273/17993/67003/12371/12857/54130/57296/20463/26442/22151/22142/22143/72900/56436/227197/21762/11773/17463/19184/22145/23996/19167/19166/19177/22428/70247/170770/22059/68349/19172/21780/69875/595136/26444/22273/69077/15182/78943/19181/12028/19173/23997/22146/66108/19179/19175/68375/66997/16573/26445/13063/19170/26446
