ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,56,-0.6998998019304832,-2.7266171843190445,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=57%, list=13%, signal=50%",22190/22123/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/15511/70247/22187/19172/103554/26444/69077/11991/19181/19173/23997/15507/19179/19175/193740/66997/26445/19170/26446
R-MMU-349425,Autodegradation of the E3 ubiquitin ligase COP1,51,-0.7058030081651393,-2.6976062546605104,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=59%, list=13%, signal=51%",22190/22123/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/22059/19172/103554/26444/69077/19181/19173/23997/19179/19175/11920/66997/26445/19170/26446
R-MMU-9759194,Nuclear events mediated by NFE2L2,54,-0.686166894130735,-2.6688647204839837,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=56%, list=13%, signal=48%",22190/22123/26965/328572/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/19172/26444/69077/19181/19173/23997/19179/19175/18477/66997/26445/19170/26446
R-MMU-69541,Stabilization of p53,55,-0.6813684757607669,-2.658829164691697,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=55%, list=13%, signal=47%",22190/22123/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/22059/19172/103554/26444/69077/19181/19173/23997/19179/19175/11920/66997/26445/19170/26446
R-MMU-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,67,-0.6691185389727349,-2.6585806521747775,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=54%, list=13%, signal=47%",22190/22123/19185/57296/26442/22151/22142/22143/21762/19171/17463/19184/22145/23996/19167/19166/19177/70247/22187/22059/19172/103554/26444/69077/15519/15516/19181/19173/23997/22146/19179/19175/66997/26445/19170/26446
R-MMU-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,52,-0.6886297894392647,-2.6489516782931095,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=56%, list=13%, signal=48%",22190/22123/26965/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/19172/103554/26444/69077/19181/19173/23997/19179/19175/66997/26445/19170/26446
R-MMU-8941858,Regulation of RUNX3 expression and activity,53,-0.6823214174186886,-2.6411771604488394,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=55%, list=13%, signal=48%",22190/22123/328572/75788/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/19172/26444/69077/19181/19173/23997/19179/19175/66997/26445/19170/26446
R-MMU-5610780,Degradation of GLI1 by the proteasome,55,-0.6748041869750503,-2.6332140634802204,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=53%, list=13%, signal=46%",22190/22123/26965/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/19172/103554/26444/69077/19181/19173/23997/19179/19175/66997/26445/19170/26446
R-MMU-8939902,Regulation of RUNX2 expression and activity,51,-0.6839992200386993,-2.614271337488529,1e-10,8.349497767955009e-9,6.6373979868630505e-9,2074,"tags=55%, list=13%, signal=48%",22190/22123/26965/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/22187/19172/26444/69077/19181/19173/23997/19179/19175/66997/26445/19170/26446
R-MMU-350562,Regulation of ornithine decarboxylase (ODC),51,-0.6811756078291423,-2.6034793829783913,1.1837662241902187e-10,8.349497767955009e-9,6.6373979868630505e-9,1957,"tags=53%, list=13%, signal=46%",22123/19185/57296/26442/21762/19171/17463/19184/23996/19167/19166/19177/70247/19172/103554/18245/26444/69077/19181/19173/23997/19179/19175/66997/26445/19170/26446
