ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0071318,cellular response to ATP,1/1,12/14409,0.08333333333333333,1200.75,34.63740752423598,8.328128253174416e-4,0.006692245917730036,NA,Hsp90b1,1
GO:0016486,peptide hormone processing,1/1,19/14409,0.05263157894736842,758.3684210526316,27.520327415432973,0.0013186203067526714,0.006692245917730036,NA,Hsp90b1,1
GO:0030970,"retrograde protein transport, ER to cytosol",1/1,25/14409,0.04,576.36,23.986662960903917,0.0017350267194112812,0.006692245917730036,NA,Hsp90b1,1
GO:1903513,endoplasmic reticulum to cytosol transport,1/1,25/14409,0.04,576.36,23.986662960903917,0.0017350267194112812,0.006692245917730036,NA,Hsp90b1,1
GO:0033198,response to ATP,1/1,27/14409,0.037037037037037035,533.6666666666666,23.07957249748501,0.0018738288569644101,0.006692245917730036,NA,Hsp90b1,1
GO:0032527,protein exit from endoplasmic reticulum,1/1,39/14409,0.02564102564102564,369.46153846153845,19.19535200150126,0.0027066416822818518,0.008458255257130787,NA,Hsp90b1,1
GO:0046683,response to organophosphorus,1/1,113/14409,0.008849557522123894,127.51327433628319,11.247811979948953,0.007842320771739852,0.01960580192934963,NA,Hsp90b1,1
GO:0051017,actin filament bundle assembly,1/1,156/14409,0.00641025641025641,92.36538461538461,9.55852418605428,0.010826566729127518,0.020324598713106014,NA,Hsp90b1,1
GO:0006457,protein folding,1/1,164/14409,0.006097560975609756,87.85975609756098,9.319858158661052,0.011381775279339368,0.020324598713106014,NA,Hsp90b1,1
GO:0042445,hormone metabolic process,1/1,199/14409,0.005025125628140704,72.4070351758794,8.450268349341304,0.013810812686515406,0.023018021144192345,NA,Hsp90b1,1
GO:0034976,response to endoplasmic reticulum stress,1/1,242/14409,0.004132231404958678,59.54132231404959,7.651230117703269,0.01679505864390307,0.024698615652798635,NA,Hsp90b1,1
GO:0001666,response to hypoxia,1/1,279/14409,0.0035842293906810036,51.645161290322584,7.116541385414868,0.019362898188632238,0.02657330396572312,NA,Hsp90b1,1
GO:0043603,amide metabolic process,1/1,398/14409,0.002512562814070352,36.2035175879397,5.933255226934006,0.02762162537303059,0.031388210651171124,NA,Hsp90b1,1
GO:0071407,cellular response to organic cyclic compound,1/1,452/14409,0.0022123893805309734,31.878318584070797,5.556826305011773,0.03136928308695952,0.034097046833651654,NA,Hsp90b1,1
