ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006694,steroid biosynthetic process,147,-0.4870879980284394,-2.1689655000386185,4.7933321345893095e-9,1.4255369768268606e-5,1.336330542995767e-5,2434,"tags=38%, list=16%, signal=32%",53975/244209/14148/101502/13122/105387/17117/16175/15486/19014/14815/68603/74155/208715/26459/73212/15494/15490/11886/15357/11833/56050/16987/244373/11816/18194/14137/104086/73166/56348/319554/29817/13653/15108/13595/13121/66234/217166/231070/83702/106529/12012/16000/20778/110196/20788/109754/13360/13124/20775/15496/20280/15493/78925/13123/11806
GO:0015980,energy derivation by oxidation of organic compounds,299,-0.393635867426128,-1.8880391753422212,4.590003946892757e-9,1.4255369768268606e-5,1.336330542995767e-5,2496,"tags=31%, list=16%, signal=27%",12864/67863/78920/22273/67184/17448/11564/56637/68263/77781/52637/12857/66916/74185/12858/216558/16367/68267/52331/12398/66594/11428/72900/103172/407785/12859/73467/14555/230125/66152/67264/67834/67267/244416/66694/606496/68194/68202/17993/67914/110078/16548/75406/108037/66218/384783/17840/14718/103988/104130/12865/67003/56428/17844/66925/13077/69181/14571/69875/66108/66142/110323/69089/21416/76559/225887/17449/57320/11639/56327/235339/227197/245944/224792/595136/110842/56451/68015/77596/12850/14711/217166/12359/110095/269523/16000/68375/68342/68349/13063/227731/17843/100039028/17842
GO:0009060,aerobic respiration,154,-0.47296526955487705,-2.1095604105697254,8.665550018655952e-9,1.7180897170321868e-5,1.6105760859235292e-5,3089,"tags=46%, list=20%, signal=37%",66592/66377/67273/66072/70383/22272/20463/67680/66128/12864/78920/22273/67184/17448/11564/68263/12857/66916/12858/12398/66594/11428/72900/103172/407785/12859/73467/230125/66152/67264/67834/67267/66694/68194/68202/17993/67914/75406/108037/66218/17840/104130/12865/67003/56428/17844/66925/69875/66108/66142/110323/69089/225887/17449/57320/11639/56327/235339/227197/595136/56451/12850/12359/269523/68375/68342/68349/13063/17843/100039028/17842
GO:0045333,cellular respiration,206,-0.4334582322072971,-1.998540067890407,1.604155648139889e-8,2.385379448784015e-5,2.2361085442623664e-5,2496,"tags=35%, list=16%, signal=30%",12864/67863/78920/22273/67184/17448/11564/68263/52637/12857/66916/12858/68267/12398/66594/11428/72900/103172/407785/12859/73467/14555/230125/66152/67264/67834/67267/66694/68194/68202/17993/67914/75406/108037/66218/17840/14718/104130/12865/67003/56428/17844/66925/13077/14571/69875/66108/66142/110323/69089/225887/17449/57320/11639/56327/235339/227197/245944/595136/110842/56451/68015/12850/12359/269523/68375/68342/68349/13063/227731/17843/100039028/17842
GO:0006119,oxidative phosphorylation,110,-0.5134422336272441,-2.198997776825489,4.3898945314494334e-8,5.222218534612246e-5,4.8954255438079264e-5,3089,"tags=46%, list=20%, signal=37%",66592/66377/67273/66072/22272/20463/67680/12864/22273/67184/12857/66916/12858/66594/72900/103172/407785/12859/73467/230125/66152/67264/67267/66694/68194/68202/17993/67914/75406/108037/66218/104130/12865/67003/56428/66925/69875/66108/66142/110323/225887/57320/11639/227197/595136/12850/269523/68375/68342/68349/13063
GO:0022904,respiratory electron transport chain,94,-0.5197005421698462,-2.1624775992455048,2.4086047390266424e-7,2.387730164621745e-4,2.2383121583551097e-4,3001,"tags=45%, list=20%, signal=36%",67273/66072/22272/20463/67680/67863/22273/17448/12857/12858/68267/66594/72900/407785/12859/14555/230125/66152/67264/66694/68202/17993/67914/75406/66218/14718/12865/67003/56428/66925/14571/66142/225887/17449/57320/227197/245944/110842/12850/68375/68349/13063
GO:0036503,ERAD pathway,95,-0.5181727570842707,-2.153666277539594,4.254047675995303e-7,3.4836134007156964e-4,3.26561784298854e-4,1713,"tags=32%, list=11%, signal=28%",14828/78943/30931/64209/216440/12317/71472/226418/50762/140499/14950/22644/54197/22393/244373/17155/217365/224727/59025/110616/66212/66530/11993/320011/64136/22027/269523/66333/116891/108687
GO:0008202,steroid metabolic process,295,-0.3682212250999704,-1.7632204513009524,4.685424883275987e-7,3.4836134007156964e-4,3.26561784298854e-4,1996,"tags=31%, list=13%, signal=28%",53975/244209/14148/101502/26889/230101/13122/105387/381236/17117/16590/16175/15486/19014/26424/14815/15488/13850/99929/11535/68603/74155/432720/208715/26459/73212/100727/28194/381598/15494/15490/11886/15450/69863/100559/15357/11833/56050/14151/17777/13113/13077/16987/244373/622402/11807/223920/56453/231396/11816/18194/14137/104086/73166/56348/319554/29817/13653/15108/13595/13121/66234/217166/12359/231070/103161/83702/20851/106529/12012/16000/56448/20778/110196/20788/243085/68054/109754/66113/13360/13124/76971/22238/20775/15496/20280/15493/70061/71773/78925/13123/11806
GO:1901617,organic hydroxy compound biosynthetic process,196,-0.40610705054020435,-1.8680573963850233,8.554397215355157e-7,5.088155463693247e-4,4.7697517947090806e-4,1673,"tags=24%, list=11%, signal=22%",68603/74155/208715/26459/73212/67078/15490/11886/110391/15357/14718/104725/11833/56050/16987/244373/11816/20773/57320/18194/14137/14528/18830/104086/73166/319554/15108/13595/73822/72993/13121/66234/217166/18534/13180/231070/12012/56448/110196/20788/228550/109754/13360/13124/20775/20280/13123/11806
GO:0090407,organophosphate biosynthetic process,481,-0.3194349596617408,-1.594068712949328,7.854756408048064e-7,5.088155463693247e-4,4.7697517947090806e-4,2905,"tags=29%, list=19%, signal=24%",11964/110197/22271/56749/67311/16332/104110/94181/67680/54325/18618/14933/331026/11717/54673/227102/105501/23971/18806/69064/433256/67184/17448/11564/68263/68646/66916/77582/211347/64451/216558/18591/69372/70789/224129/58810/26395/21877/72900/74023/407785/54342/56442/14555/67264/107476/116914/321007/382985/229363/12709/68194/68603/68202/17993/236900/68631/208715/57813/14433/55936/15275/20425/327942/71743/75406/27402/66268/170439/66218/21991/66459/68671/268566/14913/75669/67375/67283/104130/328099/13480/66925/665563/11637/16592/69875/66108/75320/11807/67883/66588/60525/225887/108083/18102/13806/14923/12041/17449/100705/68352/20773/11639/104112/27273/235339/227197/22171/192185/228812/319554/320951/22038/18805/224792/595136/108156/230103/11534/18534/232086/53357/110095/269523/110196/68375/107766/433931/68342/22235/228550/68349/56738/12752/12686/20280/68680/11806
