ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu03050,Proteasome,45,-0.7217104110424347,-2.613191182627315,1.8004136813769033e-10,2.076477112521362e-8,1.661434379656581e-8,1528,"tags=51%, list=10%, signal=46%",19184/19192/19179/70247/19167/103554/19185/69077/19166/66537/23997/26445/56436/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
mmu05020,Prion disease,218,-0.48109698510910176,-2.2632081575117438,1e-10,2.076477112521362e-8,1.661434379656581e-8,2565,"tags=38%, list=17%, signal=32%",242443/26440/19057/12864/22273/67184/74764/56637/12857/66916/12858/22151/66594/22145/16175/72900/407785/12859/66152/67264/14828/66694/68194/12390/68202/17993/12913/19184/17968/19179/13057/75406/70247/66218/19167/26416/69379/12260/104130/12865/67003/66925/19185/19094/16176/69875/66108/66142/110323/15511/193740/225887/69077/19166/17992/23997/230558/227197/26445/22142/56436/12262/13653/595136/23996/26444/66997/26442/21762/19172/68375/19175/68342/68349/12274/13063/19181/22146/26446/12279/19170/110382
mmu05012,Parkinson disease,215,-0.45250351197723987,-2.1297263371005317,1.2908741898452958e-10,2.076477112521362e-8,1.661434379656581e-8,2527,"tags=37%, list=17%, signal=32%",26440/12864/56791/22273/22190/67184/74764/12857/106947/66916/12858/22151/224129/66594/22145/14679/72900/407785/12859/66152/67264/14828/66694/68194/68202/78943/17993/19184/22187/19179/22166/69806/75406/70247/140499/66218/19167/12314/104130/12865/67003/66925/19185/69875/66108/66142/110323/72027/225887/69077/19166/22433/57320/17992/23997/227197/26445/22142/56436/595136/23996/68015/26444/66997/26442/21762/22201/106957/19172/68375/19175/68342/12313/68349/13063/19181/22146/26446/19170/19252
mmu05014,Amyotrophic lateral sclerosis,298,-0.3829041185765204,-1.8621527262581474,3.273801260680628e-8,2.831838090488743e-6,2.2658150830500136e-6,2357,"tags=31%, list=15%, signal=27%",13191/22273/54563/67184/74764/22241/12857/66916/433702/12858/22151/66594/22145/22428/72900/103172/110379/53319/407785/12859/56488/51897/66152/67264/14828/66694/68194/70699/68202/78943/17993/15185/19184/11744/19179/107939/75406/18643/70247/66218/19167/18391/26416/54130/53598/225027/269113/237082/75669/104130/234865/12865/67003/12460/66925/19185/19094/69875/66108/66142/110323/11750/76559/225887/69077/19166/22433/17992/23997/227197/26445/22142/56436/595136/23996/26444/66997/26442/21762/12359/229279/19172/269523/68375/19175/68342/68349/13063/19181/22146/69482/26446/19170
mmu00190,Oxidative phosphorylation,98,-0.5145552889654059,-2.1513797651472006,1.3922470639558757e-7,8.028624735478883e-6,6.4238768038665844e-06,3063,"tags=49%, list=20%, signal=39%",66377/67273/11964/70383/22272/20463/67680/12864/22273/67184/12857/66916/12858/66594/72900/407785/12859/66152/67264/66694/68194/68202/114143/17993/11984/75406/66218/66290/104130/12865/67003/66925/11975/69875/66108/66142/110323/225887/27060/17992/227197/11974/595136/226139/68375/68342/68349/13063
mmu05010,Alzheimer disease,305,-0.37576658601762636,-1.8314864021066637,1.2955288670347283e-7,8.028624735478883e-6,6.4238768038665844e-06,2527,"tags=31%, list=17%, signal=27%",26440/19057/12864/15461/208117/22273/109880/67184/74764/56637/22241/11938/12857/106947/66916/12858/22151/16367/18176/59287/66594/22145/26395/16175/72900/407785/12859/51897/66152/67264/66694/68194/12568/68202/78943/19106/18795/17993/19184/14433/19179/14367/69806/75406/70247/66218/19167/12314/384783/75669/104130/12865/67003/66925/19185/16176/69875/66108/66142/110323/72027/76559/225887/69077/19166/11816/22433/17992/23997/227197/26445/22142/56436/595136/15108/23996/22413/26444/66997/26442/21762/106957/19172/66340/68375/19175/68342/12313/50490/68349/13063/19181/22146/68318/26446/19170
mmu00100,Steroid biosynthesis,18,-0.8158373211885397,-2.349045813668651,2.4599882001039877e-7,1.2159370246228282e-5,9.728975889133064e-6,1287,"tags=61%, list=8%, signal=56%",15490/16987/223920/18194/14137/73166/13595/13121/66234/13360/20775
mmu04141,Protein processing in endoplasmic reticulum,151,-0.4451248502270157,-1.9812665683723782,3.6935090129300124e-7,1.5974426480922304e-5,1.2781485136849913e-5,3098,"tags=39%, list=20%, signal=31%",240667/226641/20014/15519/66435/12282/81489/108159/67075/56085/105245/15502/13135/66059/110379/19089/53421/14828/78943/72265/64209/216440/12317/226418/50762/81500/140499/67838/66256/71853/13200/18786/66357/81910/20832/54197/22393/15511/50907/193740/100037258/12017/17155/56453/22433/217365/69038/110616/67437/66212/66530/70361/12304/320011/22027/269523/116891/108687/14827
mmu05022,Pathways of neurodegeneration - multiple diseases,375,-0.3390547150226356,-1.684647318490327,6.800778212299931e-7,2.614521401617529e-5,2.091935286356587e-5,2527,"tags=27%, list=17%, signal=24%",26440/19057/12864/56791/15461/13191/22273/22190/109880/67184/74764/56637/22241/11938/12857/66916/12858/22151/18176/66594/22145/26395/16175/22428/72900/407785/12859/51897/66152/67264/14828/66694/68194/12568/68202/78943/18795/17993/19184/22187/19179/14367/75406/70247/140499/66218/19167/12314/18391/26416/54130/53598/75669/104130/12865/67003/12460/66925/19185/19094/16176/69875/66108/66142/110323/76559/225887/69077/19166/22433/57320/17992/23997/20743/110616/227197/26445/22142/56436/595136/15108/23996/22413/68015/26444/66997/26442/21762/12359/22201/19172/269523/68375/19175/68342/12313/50490/68349/13063/19181/22146/26446/19170
mmu04610,Complement and coagulation cascades,82,-0.5137052498653552,-2.080858121492108,1.659907318778895e-6,5.743279322974977e-5,4.5953223667247306e-5,1408,"tags=32%, list=9%, signal=29%",14060/20720/624286/14062/69379/12260/12269/50909/15160/18815/11905/20702/16644/17174/12263/20704/230558/20700/12262/20703/333883/19123/17175/12274/12279/110382
