ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,56,-0.6790114889464136,-2.5534873036405044,3.3566407970587167e-10,2.222509157254366e-7,1.8474313815961624e-7,1528,"tags=45%, list=10%, signal=40%",19184/22187/19192/19179/70247/19167/103554/19185/15511/193740/69077/19166/23997/26445/23996/26444/66997/26442/21762/11991/19172/19175/19181/26446/19170
R-MMU-1236978,Cross-presentation of soluble exogenous antigens (endosomes),49,-0.6885718260290591,-2.5210485445316513,4.249539497618291e-10,2.222509157254366e-7,1.8474313815961624e-7,1528,"tags=45%, list=10%, signal=41%",19184/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/246278/19181/26446/19170
R-MMU-349425,Autodegradation of the E3 ubiquitin ligase COP1,51,-0.669975632638915,-2.474046054053402,1.4788388574562014e-9,3.8671636122479666e-7,3.2145286743653223e-7,1528,"tags=43%, list=10%, signal=39%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-9711123,Cellular response to chemical stress,146,-0.49985682881180776,-2.189771813468672,1.4634240189111578e-9,3.8671636122479666e-7,3.2145286743653223e-7,1528,"tags=30%, list=10%, signal=27%",19184/14080/22187/19192/19179/13057/22166/116940/70247/19167/14950/21672/12865/12460/103554/19185/66142/110323/69077/19166/217365/17992/23997/26445/23996/109778/233016/26444/18477/66997/26442/21762/12359/19172/269523/19175/15368/15369/50490/14870/13063/19181/26446/19170
R-MMU-69541,Stabilization of p53,55,-0.6454127362453128,-2.4243176407197278,6.3939972745583025e-9,1.0333368029012873e-6,8.589475688804102e-7,1528,"tags=40%, list=10%, signal=36%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-350562,Regulation of ornithine decarboxylase (ODC),50,-0.6570802274997017,-2.4165447389619734,6.1494141884216625e-9,1.0333368029012873e-6,8.589475688804102e-7,1528,"tags=44%, list=10%, signal=40%",19184/19192/19179/70247/19167/103554/19185/69077/19166/18245/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-8939902,Regulation of RUNX2 expression and activity,51,-0.6535166428500366,-2.4132672782933198,6.915255851155843e-9,1.0333368029012873e-6,8.589475688804102e-7,1528,"tags=41%, list=10%, signal=37%",19184/22187/19192/19179/70247/19167/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,50,-0.6517349645820053,-2.3968864591332233,9.179366155566422e-9,1.2002021248403097e-6,9.97652163749719e-7,1528,"tags=50%, list=10%, signal=45%",26440/19188/22190/56637/19184/22187/19192/19179/70247/19167/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-1236975,Antigen processing-Cross presentation,80,-0.5773100732914207,-2.308072183899728,1.0672875769177198e-8,1.2404253393954834e-6,1.0310871795719727e-6,1528,"tags=36%, list=10%, signal=33%",19184/12317/19192/19179/13057/70247/19167/15040/103554/19185/15013/69077/19166/110557/23997/26445/23996/26444/66997/26442/21762/19172/14972/19175/246278/19181/26446/19170/14827
R-MMU-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,52,-0.6604871205567178,-2.4696394492480183,1.3703312015145558e-8,1.3030603970765687e-6,1.083151743972271e-6,1528,"tags=42%, list=10%, signal=38%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-4641258,Degradation of DVL,57,-0.6334605135078062,-2.4070547035388623,1.3167709118981443e-8,1.3030603970765687e-6,1.083151743972271e-6,1528,"tags=40%, list=10%, signal=36%",19184/22187/19192/19179/70247/19167/103554/19185/59036/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-9759194,Nuclear events mediated by NFE2L2,54,-0.6488684575879972,-2.4232071303171066,1.554404017924083e-8,1.3549221689571592e-6,1.1262611568467482e-6,1528,"tags=41%, list=10%, signal=37%",19184/22187/19192/19179/70247/19167/19185/69077/19166/23997/26445/23996/26444/18477/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-5607761,Dectin-1 mediated noncanonical NF-kB signaling,56,-0.6374855490428384,-2.3973250559588806,2.241614924515685e-8,1.465455756902129e-6,1.218140741874971e-6,1528,"tags=43%, list=10%, signal=39%",19184/22187/19192/19179/70247/19167/22192/22200/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-5676590,NIK-->noncanonical NF-kB signaling,56,-0.6374855490428384,-2.3973250559588806,2.241614924515685e-8,1.465455756902129e-6,1.218140741874971e-6,1528,"tags=43%, list=10%, signal=39%",19184/22187/19192/19179/70247/19167/22192/22200/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-4641257,Degradation of AXIN,55,-0.6357744617297203,-2.3881140803899714,1.832584530413261e-8,1.465455756902129e-6,1.218140741874971e-6,1528,"tags=42%, list=10%, signal=38%",19184/22187/19192/21951/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-5610780,Degradation of GLI1 by the proteasome,55,-0.6345913103816377,-2.383669893711096,2.005738699988084e-8,1.465455756902129e-6,1.218140741874971e-6,1528,"tags=47%, list=10%, signal=43%",26440/19188/22190/16396/19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-8941858,Regulation of RUNX3 expression and activity,53,-0.6410035439210905,-2.3883655048497454,3.0346499687712425e-8,1.6802332378845957e-6,1.3966716861152017e-6,1528,"tags=40%, list=10%, signal=36%",19184/22187/19192/19179/70247/19167/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-5358346,Hedgehog ligand biogenesis,61,-0.6165577254819222,-2.349221714483207,2.9045617045642448e-8,1.6802332378845957e-6,1.3966716861152017e-6,1528,"tags=43%, list=10%, signal=39%",19184/216440/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/269523/19175/116891/16147/19181/26446/19170
R-MMU-8878159,Transcriptional regulation by RUNX3,75,-0.5736271589608617,-2.2714948744772023,3.052048902467239e-8,1.6802332378845957e-6,1.3966716861152017e-6,1528,"tags=35%, list=10%, signal=31%",19184/19664/22187/19192/22601/19179/66354/70247/19167/19185/21416/21414/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,84,-0.5550568726517974,-2.21647969621025,3.2181738369048714e-8,1.6831049167012476e-6,1.399058731201802e-6,1528,"tags=35%, list=10%, signal=31%",19184/15568/22187/19192/19179/70247/19167/103554/19185/15511/193740/69077/19166/22695/66446/23997/26445/16549/23996/26444/66997/26442/21762/11991/19172/19175/19181/26446/19170
R-MMU-75815,Ubiquitin-dependent degradation of Cyclin D,51,-0.6365860186827691,-2.3507468792323816,3.9684290281733825e-8,1.9766556016520754e-6,1.6430688607875762e-6,1528,"tags=43%, list=10%, signal=39%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-4608870,Asymmetric localization of PCP proteins,61,-0.6082355556803143,-2.3175124013053168,6.197646338009359e-8,2.946699122526268e-6,2.449404724974034e-6,1528,"tags=38%, list=10%, signal=34%",19184/22187/19192/19179/14367/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-5610785,GLI3 is processed to GLI3R by the proteasome,56,-0.6192273515991796,-2.3286633674326893,1.0223635600404862e-7,4.649531668705863e-6,3.864861787613005e-6,1528,"tags=39%, list=10%, signal=35%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,63,-0.5910793989714749,-2.2687410841183335,1.1157282243866103e-7,4.862715511284977e-6,4.042068040979562e-6,1528,"tags=38%, list=10%, signal=34%",19184/22187/19192/22601/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/16909/19175/19181/26446/19170
R-MMU-69563,p53-Dependent G1 DNA Damage Response,63,-0.5850828741513514,-2.2457246124818284,1.7576214597268873e-7,6.809155729164163e-6,5.6600207630971115e-6,1528,"tags=35%, list=10%, signal=32%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-69580,p53-Dependent G1/S DNA damage checkpoint,63,-0.5850828741513514,-2.2457246124818284,1.7576214597268873e-7,6.809155729164163e-6,5.6600207630971115e-6,1528,"tags=35%, list=10%, signal=32%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-9755511,KEAP1-NFE2L2 pathway,74,-0.5616288671060635,-2.219600484962025,1.6482315018068214e-7,6.809155729164163e-6,5.6600207630971115e-6,1528,"tags=34%, list=10%, signal=31%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/217365/23997/26445/23996/26444/18477/66997/26442/21762/19172/269523/19175/19181/26446/19170
R-MMU-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,52,-0.6297961791339107,-2.3548823899302875,2.2593322986252624e-7,7.389693716923566e-6,6.142585297553454e-6,1528,"tags=42%, list=10%, signal=38%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-69610,p53-Independent DNA Damage Response,52,-0.6297961791339107,-2.3548823899302875,2.2593322986252624e-7,7.389693716923566e-6,6.142585297553454e-6,1528,"tags=42%, list=10%, signal=38%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-69613,p53-Independent G1/S DNA damage checkpoint,52,-0.6297961791339107,-2.3548823899302875,2.2593322986252624e-7,7.389693716923566e-6,6.142585297553454e-6,1528,"tags=42%, list=10%, signal=38%",19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-68949,Orc1 removal from chromatin,69,-0.5653071755712091,-2.210010278280599,2.3079791186975015e-7,7.389693716923566e-6,6.142585297553454e-6,1528,"tags=36%, list=10%, signal=33%",17217/19184/22187/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/23996/50793/26444/18393/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-202424,Downstream TCR signaling,83,-0.5333273626936407,-2.1228919371832284,2.3313565263716797e-7,7.389693716923566e-6,6.142585297553454e-6,1528,"tags=30%, list=10%, signal=27%",19184/22187/12504/19192/19179/70247/19167/103554/19185/69077/19166/23997/26445/26409/23996/93765/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-8957322,Metabolism of steroids,102,-0.5050856711085443,-2.1048499035923802,2.2926267077083828e-7,7.389693716923566e-6,6.142585297553454e-6,2410,"tags=41%, list=16%, signal=35%",244209/14148/64291/101502/13122/17117/15486/15488/68603/19384/208715/26459/15494/15490/15357/56050/16987/56453/18194/14137/76205/104086/73166/56348/319554/13595/13121/66234/20493/83702/12012/110196/20788/13360/13124/110460/20775/15496/20280/15493/78925/13123
R-MMU-351202,Metabolism of polyamines,58,-0.5924299666523611,-2.249745931629981,2.5060210697303444e-7,7.5389269570895375e-6,6.266633457337182e-6,1528,"tags=38%, list=10%, signal=34%",19184/19192/19179/70247/19167/103554/19185/69077/19166/18245/23997/26445/23996/26444/66997/26442/21762/19172/19175/19181/26446/19170
R-MMU-927802,Nonsense-Mediated Decay (NMD),108,0.508891380010201,2.0952550941963364,2.594659373376896e-7,7.5389269570895375e-6,6.266633457337182e-6,4419,"tags=61%, list=29%, signal=44%",75617/56040/226517/16785/68436/20054/114641/27370/67281/68193/54127/67248/19943/20055/192160/100043813/20088/267019/103677/22121/20090/67671/14109/19988/20085/66475/319195/67097/20102/20091/66481/27176/19951/100502825/326622/65019/54217/270106/11837/19052/18458/19946/67115/78294/19933/16898/19981/19704/110954/26451/57294/268449/27050/19941/229512/67186/68052/20116/52830/20068/269261/76808/19826/192170/67427/68028
R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),108,0.508891380010201,2.0952550941963364,2.594659373376896e-7,7.5389269570895375e-6,6.266633457337182e-6,4419,"tags=61%, list=29%, signal=44%",75617/56040/226517/16785/68436/20054/114641/27370/67281/68193/54127/67248/19943/20055/192160/100043813/20088/267019/103677/22121/20090/67671/14109/19988/20085/66475/319195/67097/20102/20091/66481/27176/19951/100502825/326622/65019/54217/270106/11837/19052/18458/19946/67115/78294/19933/16898/19981/19704/110954/26451/57294/268449/27050/19941/229512/67186/68052/20116/52830/20068/269261/76808/19826/192170/67427/68028
