ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0044282,small molecule catabolic process,345,-0.3617922081287065,-1.7314899370628627,2.760339257098442e-7,0.0016562035542590653,0.0015696160701942931,3417,"tags=37%, list=22%, signal=30%",19305/71985/19302/14317/234724/18655/80911/11529/18746/11669/76971/231903/14085/11364/11992/104158/19015/13885/230784/22160/110842/15108/108682/11674/20280/245847/110391/11409/26358/72157/106648/56189/20425/66885/13076/52538/68631/15186/70789/56717/232449/109801/11652/74147/12015/56174/94044/209176/11532/103988/26876/20322/51798/100705/70266/13382/15107/19125/629219/18242/12908/13808/434264/14544/76282/67041/100043194/14571/78920/110959/434121/16548/11486/72535/15211/102632/64898/52430/13177/234564/68977/235674/23923/257633/15112/56421/56720/74091/15356/64385/11666/22271/629203/76654/13167/12895/170789/14080/15233/232174/58810/11881/67528/104086/56690/53893/102448/19300/12894/227095/12041/66968/13122/266645/20859/17425/14651/20975/14718/19299/22436/18534/12896/18478/224794/68133/14933/231691
GO:0002478,antigen processing and presentation of exogenous peptide antigen,28,-0.710863748326157,-2.271249823576611,8.908079955358541e-7,0.001731471776809853,0.0016409492172503204,3413,"tags=82%, list=22%, signal=64%",14991/98682/21355/14129/15000/22034/21356/14131/18711/65972/14127/14960/14130/14999/17476/54445/19141/14961/14969/13040/73149/14972/16149
GO:0019884,antigen processing and presentation of exogenous antigen,35,-0.669070988750909,-2.245288784227863,1.239534311589827e-6,0.001731471776809853,0.0016409492172503204,3413,"tags=71%, list=22%, signal=56%",14991/98682/21355/14129/15000/22034/21356/12480/14131/18711/65972/14127/14960/14130/14999/17476/54445/19141/14961/14969/13040/73149/14972/16149/15064
GO:0045333,cellular respiration,208,-0.399777725667337,-1.8202712274128858,1.4428931473415442e-6,0.001731471776809853,0.0016409492172503204,4311,"tags=45%, list=28%, signal=33%",20917/66494/595136/14719/22272/12866/26926/75406/407785/66576/67876/102632302/67530/11848/227197/66114/12833/19017/18293/246730/227731/17869/67264/56428/12858/11429/110842/66128/68197/66170/80913/64384/225887/12859/66148/67130/17841/12865/66694/14004/66218/67184/67914/68349/66945/235339/70556/104130/94044/110323/17843/71361/13382/108037/66916/56327/14571/78920/66152/66377/68002/73467/16155/68202/67863/13077/68198/17842/11666/78330/100039028/66925/15975/93757/68342/54405/18021/50799/72175/68015/12864/66046/68267/66142/12850/68943/52637/12398/66594/23960/67267/14718/56451/68263
GO:0015980,energy derivation by oxidation of organic compounds,297,-0.36505335399656463,-1.7255713320009598,9.636363704018064e-7,0.001731471776809853,0.0016409492172503204,3644,"tags=37%, list=23%, signal=29%",227197/66114/12833/19017/14385/66849/102093/18293/217166/246730/227731/224792/17869/11364/67264/56428/12858/11429/110842/57436/66128/68197/66170/80913/64384/66681/77596/72157/69181/225887/12859/66148/67130/244416/17841/12865/66694/56717/14004/66218/67184/67914/11652/68349/66945/235339/70556/104130/94044/103988/110323/17843/71361/13382/52331/108037/66916/241113/56327/14711/14571/78920/108099/19045/16548/66152/66377/110078/68002/73467/16155/74178/68202/67863/13077/68198/17842/11666/78330/100039028/66925/15975/93757/14527/68342/54405/18021/50799/72175/19062/21416/68015/12864/66046/68267/66142/12850/68943/52637/12398/66594/23960/67267/14718/56451/76559/11554/67841/68263
GO:0035966,response to topologically incorrect protein,123,0.444998846701283,1.9239048212292562,2.8811000971117898e-6,0.002863640827385434,0.002713927675357213,2335,"tags=33%, list=15%, signal=28%",18415/22433/16145/14828/74840/13198/13666/326622/100037258/74126/18708/17974/170731/67490/67812/69232/28146/15507/12915/64136/12028/72265/27362/69601/70604/11910/13665/19106/70790/269523/69116/56199/23802/68212/15519/21825/15505/11911/193740/18024
GO:0034976,response to endoplasmic reticulum stress,241,0.36712216179325874,1.7549526392441657,3.3409142986163393e-6,0.002863640827385434,0.002713927675357213,2551,"tags=29%, list=16%, signal=25%",17156/22433/16145/217379/22027/14828/74840/237500/12304/13198/13666/227648/22059/74006/100037258/12317/74126/12330/18708/17974/66825/67397/52231/67490/66073/67812/69232/20747/28146/12371/70231/12915/64136/12028/228775/27362/66155/230908/69601/14084/11910/13665/11783/19106/216157/269523/23802/68212/76892/66663/53323/57320/69038/93736/320011/21825/17118/68889/27061/12282/170770/11911/63958/18024/93759/224045/67604/16151/20338/11820/67890
GO:0006986,response to unfolded protein,106,0.4578227736456,1.9217242528370866,4.95872981631619e-6,0.0037190473622371427,0.003524612956281587,2335,"tags=33%, list=15%, signal=28%",18415/22433/16145/14828/74840/13198/13666/326622/100037258/74126/18708/17974/170731/67490/67812/69232/28146/15507/12915/12028/72265/27362/69601/11910/13665/19106/56199/23802/68212/15519/21825/15505/11911/193740/18024
GO:1903826,L-arginine transmembrane transport,12,-0.8402304019821932,-2.1427285430946146,6.720210485814388e-6,0.004480140323876258,0.004245915443785885,1879,"tags=75%, list=12%, signal=66%",268706/67473/330836/11988/12752/20540/11987/18408/69354
GO:1990822,basic amino acid transmembrane transport,13,-0.8210100396565119,-2.1188257149708747,9.05202592231972e-6,0.005431215553391832,0.005147267792881172,1879,"tags=69%, list=12%, signal=61%",268706/67473/330836/11988/12752/20540/11987/18408/69354
