ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0045229,external encapsulating structure organization,288,-0.40295750776225003,-1.9694640102422556,4.035564365726875e-10,2.4337786253434055e-6,2.254736039201367e-6,3119,"tags=32%, list=19%, signal=26%",12821/12814/208936/16193/26432/246228/13138/16777/53867/207596/11568/12837/12845/545370/109254/19645/246179/17385/217734/241639/12587/12827/23876/240913/68273/399558/69675/237759/67896/77739/13110/407800/18034/56429/21937/94214/268396/12390/18383/14726/12818/13717/16854/12819/14758/12306/58223/18015/71914/107581/268780/56693/23892/107250/13040/11787/64074/17181/52335/94216/72043/66214/23794/319742/16948/13078/53381/15530/23871/16412/66191/14086/50706/12831/17390/216725/17387/12826/11352/380664/56348/12832/12406/12842/18073/20319/17392/17381/12825/12843/12833/17228
GO:0030198,extracellular matrix organization,287,-0.4033155781352211,-1.9661116781992074,1.2090306136827648e-9,2.4337786253434055e-6,2.254736039201367e-6,3119,"tags=32%, list=19%, signal=26%",12821/12814/208936/16193/26432/246228/13138/16777/53867/207596/11568/12837/12845/545370/109254/19645/246179/17385/217734/241639/12587/12827/23876/240913/68273/399558/69675/237759/67896/77739/13110/407800/18034/56429/21937/94214/268396/12390/18383/14726/12818/13717/16854/12819/14758/12306/58223/18015/71914/107581/268780/56693/23892/107250/13040/11787/64074/17181/52335/94216/72043/66214/23794/319742/16948/13078/53381/15530/23871/16412/66191/14086/50706/12831/17390/216725/17387/12826/11352/380664/56348/12832/12406/12842/18073/20319/17392/17381/12825/12843/12833/17228
GO:0043062,extracellular structure organization,287,-0.4033155781352211,-1.9661116781992074,1.2090306136827648e-9,2.4337786253434055e-6,2.254736039201367e-6,3119,"tags=32%, list=19%, signal=26%",12821/12814/208936/16193/26432/246228/13138/16777/53867/207596/11568/12837/12845/545370/109254/19645/246179/17385/217734/241639/12587/12827/23876/240913/68273/399558/69675/237759/67896/77739/13110/407800/18034/56429/21937/94214/268396/12390/18383/14726/12818/13717/16854/12819/14758/12306/58223/18015/71914/107581/268780/56693/23892/107250/13040/11787/64074/17181/52335/94216/72043/66214/23794/319742/16948/13078/53381/15530/23871/16412/66191/14086/50706/12831/17390/216725/17387/12826/11352/380664/56348/12832/12406/12842/18073/20319/17392/17381/12825/12843/12833/17228
GO:0009060,aerobic respiration,157,-0.4438896735082283,-2.0128090547762167,9.6542941014119e-8,1.4575570519606616e-4,1.3503308723422172e-4,3887,"tags=47%, list=24%, signal=36%",70556/66945/17448/66383/64602/69875/68349/66148/11639/66592/13382/11651/12850/66916/12859/12866/17993/67184/105675/67472/66972/12862/66694/68342/12064/69089/595136/17685/17869/54405/14533/66114/66091/268697/110323/67273/12858/66495/74450/104130/12867/67914/72759/66142/11474/57320/20916/17449/227197/63873/12864/15929/11428/66152/78920/170718/70383/66377/68198/68263/226646/68202/22273/67267/66046/66218/68194/13063/56428/67530/75406/56451/67264/12833
GO:0045333,cellular respiration,213,-0.40014755069275626,-1.885084189495738,1.6175711573058239e-7,1.953702443793974e-4,1.8099769897011485e-4,3887,"tags=44%, list=24%, signal=34%",70556/66945/17448/66383/66170/64602/69875/68349/66148/11639/18021/66592/13382/11651/12850/66916/13077/12859/14555/12866/17993/67184/105675/67472/66972/15975/12862/73181/66694/68342/18747/12064/69089/71361/595136/17685/17869/54405/18124/68002/66494/14533/66114/66091/268697/110323/93757/67273/12858/66495/74450/20928/104130/12867/67914/72759/66142/11474/57320/20916/17449/227197/63873/12864/15929/14571/11428/66152/78920/170718/70383/66377/18432/68198/68263/226646/68202/22273/67267/227731/66046/66218/68194/14719/13063/56428/110826/67530/75406/110842/56451/67264/12833
GO:0015980,energy derivation by oxidation of organic compounds,307,-0.3490073631220776,-1.716430915567058,1.1332577339122449e-6,0.0011406239091826744,0.0010567131325865935,3887,"tags=40%, list=24%, signal=31%",70556/66945/244416/17448/57436/66383/66170/64602/69875/68349/66148/18605/11639/56637/18021/66592/13382/11651/20203/69181/77781/12850/66916/13077/12859/14555/16333/76187/12866/17993/67184/105675/67472/66972/15975/12862/73181/66694/68342/18747/12064/69089/14783/18627/71361/595136/232146/17685/17869/54405/18124/68002/19045/16828/16847/66494/14533/66114/66091/268697/68961/224792/108099/110323/93757/54636/67273/12858/66495/74450/20928/104130/56351/12867/21416/217166/216558/67914/72759/66142/11474/57320/20916/17449/227197/63873/12864/15929/14571/11428/12846/66152/18682/78920/170718/70383/66377/18432/68198/68263/226646/68202/22273/66849/67267/227731/77559/66046/110078/66218/68194/14719/13063/16000/14387/56428/110826/67530/75406/110842/56451/67264/12833
GO:0043200,response to amino acid,115,-0.45351647180715493,-1.92740768136567,1.6369993314080248e-6,0.0014122627089104374,0.0013083686385614516,1994,"tags=40%, list=12%, signal=35%",18538/12877/66508/227231/13435/56876/71785/229363/66586/12048/14810/101148/56692/19225/17874/140742/224023/12608/232087/28185/328572/98402/21417/107581/68441/18024/18534/12631/12050/14360/94216/66096/208922/56438/17390/110213/12826/13649/22222/13058/12832/12842/17392/12825/12843/12833
GO:0071230,cellular response to amino acid stimulus,80,-0.516019775349196,-2.1080985837497006,2.128255656874612e-6,0.0016065669889832228,0.0014883787916169164,1952,"tags=34%, list=12%, signal=30%",140742/224023/12608/232087/328572/98402/21417/107581/68441/18024/12050/14360/94216/66096/208922/56438/17390/12826/13649/22222/13058/12832/12842/17392/12825/12843/12833
GO:0006119,oxidative phosphorylation,113,-0.4621754875769891,-1.9622117924644984,2.4246896245549886e-6,0.0016269667380763974,0.0015072778192409082,3887,"tags=50%, list=24%, signal=38%",70556/66945/66383/69875/68349/66148/11639/66592/13382/12850/66916/12859/12866/17993/67184/105675/66972/12862/66694/68342/12064/595136/17685/17869/54405/66114/66091/268697/110323/67273/12858/66495/104130/12867/67914/72759/66142/11474/57320/227197/12864/66152/66377/68198/226646/68202/22273/67267/66046/66218/68194/13063/56428/67530/75406/67264
GO:0001525,angiogenesis,496,-0.30961003222597333,-1.6045493968316344,4.04367986981948e-6,0.002441978273383984,0.002262332474535846,3543,"tags=32%, list=22%, signal=26%",192187/19664/23939/672511/11745/18021/21826/13722/69454/373864/11651/15234/11600/12628/13197/21814/20292/66864/14181/13388/74838/21828/18187/13636/12540/13138/14388/12837/14164/20315/109254/21687/13846/243912/73181/210933/246707/13713/14173/50501/16598/239528/12827/23876/21412/13642/16399/69675/26416/21944/20351/17064/20479/216527/71920/142980/18750/72780/19225/84004/57257/11489/14183/12267/21937/232341/16847/230103/18131/16160/57875/231532/18746/21380/18613/64103/14775/16410/12490/230775/18162/14254/78560/20349/381823/329278/11601/74450/16854/18186/13638/18576/14645/74769/12306/19211/105450/80898/59308/29876/58223/18015/93759/21802/11477/16952/18024/23892/20698/64074/14360/56221/14180/13874/68833/21413/26365/66214/12273/12491/242687/68545/11731/20193/13078/18704/20181/330171/15530/12767/22340/22325/23871/94192/16412/21838/16414/18607/20620/15184/68792/14205/56744/17390/109624/228852/17387/56233/12826/380664/13601/52014/13058/11689/12387/20319/20692/13854/17228/13179
GO:0071229,cellular response to acid chemical,93,-0.478785476263565,-1.9770504223749419,5.5610236852763115e-6,0.0025833093873372033,0.0023932664686027202,2932,"tags=41%, list=18%, signal=34%",18049/12048/101148/16598/12064/20469/56692/20194/18764/19225/140742/224023/12608/232087/328572/12306/98402/21417/107581/68441/18024/12050/14360/94216/66096/208922/56438/17390/12826/13649/22222/13058/12832/12842/17392/12825/12843/12833
GO:0009152,purine ribonucleotide biosynthetic process,110,-0.44933626588882447,-1.8969449814179788,5.3794943981968286e-6,0.0025833093873372033,0.0023932664686027202,3932,"tags=46%, list=25%, signal=35%",224129/66945/13806/69875/68349/18160/11639/23917/66592/66916/230899/229363/17993/67184/12048/56248/14923/68342/595136/14450/11717/110639/17869/54405/230103/66114/66091/83433/67273/66495/67054/104130/433182/98496/18102/11545/18103/227197/108147/66377/68198/226646/68202/18158/66046/66218/68194/56520/23972/75406/67264
GO:0009913,epidermal cell differentiation,207,0.38449877162067714,1.784546779515006,4.9044767191776086e-6,0.0025833093873372033,0.0023932664686027202,4028,"tags=38%, list=25%, signal=29%",231580/15205/268885/20761/406220/18810/207920/20759/21683/22061/80859/223915/110279/93691/20763/13872/20863/14184/22601/545975/16681/13047/14465/20758/223917/64929/239250/14027/17300/332131/11994/235505/20760/16918/54200/105866/16450/20862/102502/12578/16175/72333/74127/56735/109620/71529/16531/16658/380959/93746/97031/50868/58208/18991/74591/68484/11688/14284/18772/19014/19877/226519/209294/64818/15182/13871/22337/70615/100126226/72432/380614/22234/14633/433091/72383/195733/171168/16600/20861
