ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu05415,Diabetic cardiomyopathy,169,-0.4479708811443515,-2.066937216078321,1.2504657533706935e-8,4.301602191595186e-6,3.711908867900375e-6,3082,"tags=38%, list=19%, signal=31%",12859/16333/17970/12866/17993/67184/105675/19353/12862/66694/68342/26415/595136/26416/18750/54405/19045/17227/66091/110323/67273/12858/66495/104130/12867/74769/19211/236900/66142/11545/11739/13057/17972/227197/14584/12864/17992/22335/18795/12491/66152/18708/66377/68198/68263/226646/68202/22273/70456/66046/11937/66218/68194/17390/12325/22334/67530/75406/13058/67264/12842/12825/12843/17228
mmu03010,Ribosome,167,-0.44074190033540017,-2.029962069887567,9.297423307779941e-8,1.59915680893815e-5,1.3799333541020755e-5,3142,"tags=46%, list=20%, signal=37%",27367/99045/65111/66973/20044/57808/14548/94067/19921/67281/68499/269261/76808/68436/79044/20102/67248/18100/20005/94066/20055/20091/270106/68735/100503670/319195/20084/11837/20103/20115/57294/67270/56282/68052/67025/110954/66475/94065/66448/26451/20104/67308/66230/107733/66845/22186/67681/67427/94061/67707/20068/66480/19899/57312/67097/66483/19896/78523/19934/64658/27050/68028/64655/56284/19941/67891/66047/27393/121022/66242/94064/66258/67941/20085/75398/78294
mmu05012,Parkinson disease,221,-0.38399312250193746,-1.8344793710452678,1.9898356803320744e-6,2.2816782467807787e-4,1.968890041591737e-4,2951,"tags=33%, list=18%, signal=28%",12866/17993/67184/12048/105675/12862/66694/19166/68342/18747/22201/595136/22154/23996/66413/26442/54405/109731/16574/14678/16573/66091/22146/110323/67273/12858/66495/19170/16438/22152/104130/12867/19167/66142/57320/22186/11739/18024/227197/12864/17992/22335/66152/106947/66377/26446/19179/68198/226646/68202/14828/22273/214084/66997/66046/17762/66218/68194/13063/70405/26443/12325/22334/22166/227613/494124/67530/75406/26444/22187/78294/12315/67264/19252
mmu05020,Prion disease,228,-0.367687507602567,-1.7621640300264039,4.983116645264535e-6,4.2854803149275004e-4,3.697997089380524e-4,3102,"tags=36%, list=19%, signal=29%",19177/12859/16193/17970/12866/17993/20867/12288/67184/15511/14810/105675/19353/12862/66694/19166/68342/26415/18747/595136/22154/26416/23996/15481/66413/26442/54405/16574/16573/12287/66091/22146/12390/110323/12279/67273/12858/66495/19170/16438/22152/104130/12867/74769/19167/12364/66142/11739/13057/17972/227197/12864/17992/14360/22335/12915/66152/18708/66377/26446/19179/68198/226646/68202/14828/22273/13653/66997/66046/66218/68194/13063/26443/22334/227613/67530/75406/26444/13058/12260/67264
mmu05171,Coronavirus disease - COVID-19,208,-0.37180042174655703,-1.7601869295280521,8.702795672292599e-6,5.987523422537307e-4,5.16671237807687e-4,3069,"tags=34%, list=19%, signal=28%",50528/19921/67281/16193/269261/76808/68436/20102/15975/67248/56489/19106/20005/26415/20055/20091/270106/26416/100503670/319195/20084/142980/18750/11837/20103/20115/57294/22034/68052/12267/21937/16160/67025/17874/110954/66475/56480/12279/18186/26451/11491/74769/14161/20104/22186/67427/20068/66480/19899/67097/66483/19896/12273/18708/19934/14281/27050/14131/68028/19941/18036/67891/74145/67941/20085/13649/20344/13058/78294/12260/17392
mmu00190,Oxidative phosphorylation,98,-0.43899701315508677,-1.862609119430973,3.333096813779509e-5,0.0019109755065669187,0.0016490057920803887,2951,"tags=41%, list=18%, signal=34%",12859/12866/17993/67184/12862/66694/68342/595136/21871/68775/54405/66091/67895/110323/67273/12858/66495/104130/12867/66142/227197/12864/17992/11974/66152/70383/66377/68198/226646/68202/22273/66144/66046/66218/68194/13063/67530/75406/242341/67264
mmu04382,Cornified envelope formation,184,0.3690915219073496,1.7176371005582578,7.986147349108804e-5,0.003788141653218782,0.003268837044699194,2434,"tags=27%, list=15%, signal=23%",20197/16691/51792/20761/406220/20202/18810/26932/13510/72930/70843/20759/269643/26569/70750/223915/545548/20763/18260/20201/12829/545975/12333/21770/16681/20758/223917/71908/14027/74176/332131/99681/12836/12740/105866/66344/67451/23801/631101/70810/69611/74127/73719/13518/56735/104184/109620/71529/545546/54325
mmu04510,Focal adhesion,192,-0.3565486852194,-1.6706374244144915,8.809631751671586e-5,0.003788141653218782,0.003268837044699194,2810,"tags=29%, list=18%, signal=24%",12845/19353/17898/67268/17931/330662/215449/12827/16399/329251/18750/224105/57257/19045/12928/11798/16410/12443/12390/14254/329278/74769/19211/17907/16776/12445/107589/238564/16401/16202/14360/94216/18708/13866/19699/109700/16398/22340/22325/16412/18479/18607/109711/14205/16000/16774/12826/12834/13649/21923/12387/12842/12835/12843/12833
mmu03060,Protein export,29,-0.6270007458178877,-2.069453213117945,1.284789944367275e-4,0.004910752676248251,0.00423755279896575,3215,"tags=48%, list=20%, signal=39%",20818/66212/69089/66624/69019/69276/93757/56529/66286/66541/14828/76687/140740/66384
mmu04670,Leukocyte transendothelial migration,101,-0.3959542698686081,-1.6859316684788874,2.9114369360917064e-4,0.009304629662252272,0.008029086795456369,3035,"tags=36%, list=19%, signal=29%",12540/17970/20315/19353/17898/19247/17698/67268/26415/215449/20469/26416/18750/57257/69524/16456/14678/18613/74769/17907/16408/13057/17972/16401/74734/18708/12767/22325/16412/21838/16414/109711/17390/64945/13058/12387
mmu05016,Huntington disease,255,-0.31169944203062555,-1.508169181720835,2.9753176245574125e-4,0.009304629662252272,0.008029086795456369,3102,"tags=32%, list=19%, signal=26%",19177/12859/67710/12757/12866/17993/231329/67184/14810/105675/12862/67300/66694/19166/68342/73916/12064/595136/14780/22154/23996/66413/26442/54405/16574/69920/16573/14775/12287/66091/22146/110323/20021/67273/12858/66495/19170/66491/16438/22152/328572/104130/12867/19167/20022/69833/66142/11739/227197/12864/17992/381917/22335/54152/14778/18795/66152/59288/53598/66377/26446/19179/68198/226646/68202/22273/14776/66997/66046/11771/14682/66218/68194/13063/26443/22334/227613/67530/75406/26444/67264
mmu04512,ECM-receptor interaction,80,-0.4280015991192702,-1.7364455894149697,4.082393386777024e-4,0.011702861042094136,0.010098552062027377,2936,"tags=35%, list=18%, signal=29%",13138/16777/12845/64176/12827/16399/75209/16410/329278/14724/16776/16401/94216/12491/20969/19699/109700/16398/15530/16412/16774/12826/12834/21923/12842/12835/12843/12833
mmu00620,Pyruvate metabolism,40,-0.5321903882853436,-1.9016003929598568,5.701881660142874e-4,0.015088056085301142,0.013019681199678466,2057,"tags=45%, list=13%, signal=39%",17448/110446/76238/13382/100705/16828/18746/11532/110695/17449/18534/75572/11669/68263/107476/16832/58810/14651
mmu00020,Citrate cycle (TCA cycle),28,-0.5908759575212273,-1.9265916242761378,7.273980708382004e-4,0.017873209740595784,0.01542302676514079,1134,"tags=32%, list=7%, signal=30%",20916/17449/18534/15929/11428/78920/170718/68263/56451
mmu04151,PI3K-Akt signaling pathway,302,-0.2943497846210309,-1.4397879997307785,7.859644288629253e-4,0.01802478423525642,0.015553822381708418,3353,"tags=30%, list=21%, signal=24%",12571/11651/15234/11600/226849/13869/71785/21828/13636/16193/16333/14706/18049/16777/22629/12048/26396/14164/12845/22027/19353/15975/58988/21687/14710/14173/12064/12827/16399/19054/18750/17869/12575/14183/22630/12978/16590/19053/16410/12443/12986/14254/329278/12125/320795/11601/26931/13638/52432/19744/74769/19211/20104/14745/16776/21802/12445/16401/18534/14701/17311/11839/14180/12915/13874/94216/75705/18708/13866/19699/15519/109700/16398/14688/20181/22340/16186/16412/18607/14205/16000/16774/12826/12834/13649/14702/21923/12842/12835/12843/12833
mmu05208,Chemical carcinogenesis - reactive oxygen species,185,-0.327267505314316,-1.5259486035807326,8.485429342411018e-4,0.018243673086183687,0.015742704437894127,2970,"tags=32%, list=19%, signal=26%",17970/12866/17993/67184/26396/105675/19353/12862/19247/66694/68342/26415/12408/14860/595136/26416/11431/54405/66091/110323/67273/12858/66495/18805/104130/12867/74769/19211/66142/11739/18024/13057/227197/12864/17992/22335/66152/66447/18708/66377/68198/14281/226646/68202/22273/13078/58810/66046/18607/66218/68194/22334/14862/11352/67530/75406/13649/14873/67264
mmu05022,Pathways of neurodegeneration - multiple diseases,402,-0.2767511578913935,-1.4016439191565753,9.81645481147164e-4,0.019863885030272022,0.017140806543869985,2960,"tags=27%, list=18%, signal=22%",13542/12866/17993/271457/12288/67184/12048/26396/22411/14810/105675/19353/12862/12568/18391/66694/14369/19166/68342/73916/26415/12064/22201/595136/14780/22154/26416/23996/19164/66413/18750/19225/26442/54405/14362/21937/16574/16573/14775/12287/66091/22146/110323/56480/67273/12858/66495/19170/16438/22152/104130/12867/19167/12364/66142/17274/57320/22186/11739/227197/15108/12864/17992/381917/22335/52335/54152/14778/18795/66152/59288/53598/66377/26446/19179/68198/226646/68202/14828/22273/14776/103199/66997/22409/66046/17762/14682/11937/66218/68194/13063/70405/26443/12325/21353/22334/227613/494124/67530/75406/26444/22187/13058/78294/12387/12315/67264/16974
mmu04744,Phototransduction,15,-0.6926436959476114,-1.9154978052576732,0.0013110682670379374,0.025055971325613914,0.021621125807292307,622,"tags=27%, list=4%, signal=26%",14688/70405/494124/12315
mmu04142,Lysosome,122,-0.36475509781528104,-1.5946551190718294,0.0018317782273908829,0.033164826853813875,0.028618363441785543,2991,"tags=29%, list=19%, signal=24%",75612/12752/12757/432486/11433/214505/67300/11766/21871/11768/11777/104082/13038/56325/229445/11886/11432/13030/16541/13040/64933/11883/12514/19025/67489/17775/240283/71665/11593/108011/211286/14387/19141/242341/64138
