ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-1474244,Extracellular matrix organization,197,-0.47431545280433757,-2.261332020732743,1e-10,7.336855871430748e-8,5.633936648134729e-8,2632,"tags=36%, list=16%, signal=30%",17385/246707/14173/12827/23876/240913/16399/69675/237759/268977/16998/18750/76477/11489/16456/18613/18074/16410/12816/329278/12336/16407/13038/12818/13717/12819/14161/16408/58223/107581/13030/14118/16401/18542/13040/12339/94216/26365/23794/20969/16948/18550/14119/109700/16398/16412/16414/12831/17390/216725/50530/17387/12826/12834/14115/17022/12832/12406/21923/12842/12111/18073/17392/20692/17381/12825/12843/12833/17228/13179
R-MMU-72766,Translation,217,-0.45046734891848095,-2.1640343033807286,1.3830077043224783e-10,7.336855871430748e-8,5.633936648134729e-8,3626,"tags=47%, list=23%, signal=37%",18458/55949/57837/27367/26905/99045/65111/66121/66973/20044/57808/14548/19921/67281/68499/269261/76808/22384/68436/79044/20102/67248/18100/20005/94066/67204/69089/67674/20055/20091/270106/68735/100503670/102060/319195/20084/11837/20103/98221/20115/57294/67270/56282/68052/67025/217869/110954/66475/67895/94065/66235/13669/66448/26451/69956/20104/67308/66230/107733/66845/22186/67768/67681/67427/13627/94061/67707/20068/66480/19899/209354/57312/67097/66483/53356/75705/78523/100042807/19934/64658/27050/68028/64655/56284/108067/19941/68135/67891/66047/27393/121022/66242/94064/66258/67941/20085/75398/67871/78294/16341/66077/73830
R-MMU-3000178,ECM proteoglycans,38,-0.7083069735455976,-2.519418476342896,3.068399076938121e-9,1.085190473543782e-6,8.333125914210898e-7,627,"tags=34%, list=4%, signal=33%",16398/16412/12831/12834/12832/21923/12842/12111/20692/12825/12843/12833/13179
R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,107,-0.5086059336340942,-2.2233392317057583,8.771984385773546e-9,1.8614150866611464e-6,1.4293717714923633e-6,3060,"tags=47%, list=19%, signal=38%",19921/67281/269261/76808/22384/68436/20102/67248/20005/67204/20055/20091/270106/100503670/319195/20084/11837/20103/98221/20115/57294/68052/67025/110954/66475/66235/13669/26451/20104/22186/67427/20068/66480/19899/67097/66483/53356/75705/100042807/19934/27050/68028/19941/68135/67891/67941/20085/78294/16341/73830
R-MMU-6805567,Keratinization,108,0.5137153754305871,2.186670954049645,7.806199937716023e-9,1.8614150866611464e-6,1.4293717714923633e-6,3576,"tags=49%, list=22%, signal=38%",77918/16691/268885/406220/69473/13510/71369/70843/16700/223915/268905/16704/16681/223917/665891/170654/68668/14027/71453/13507/332131/99681/16705/68768/56460/70166/105866/66708/67451/20862/70810/170651/74127/66380/56735/109620/71529/16693/69464/16480/68484/71888/239932/432602/18772/100191037/435273/16675/64818/53617/100126226/72432/75586
R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,108,-0.5057874802290814,-2.214071899196432,1.8368429621724457e-8,3.248150638108275e-6,2.494239390739427e-6,3060,"tags=47%, list=19%, signal=38%",19921/67281/269261/76808/22384/68436/20102/67248/20005/67204/20055/20091/270106/100503670/319195/20084/11837/20103/98221/20115/57294/68052/67025/217869/110954/66475/66235/13669/26451/20104/22186/67427/20068/66480/19899/67097/66483/53356/75705/100042807/19934/27050/68028/19941/68135/67891/67941/20085/78294/16341/73830
R-MMU-72689,Formation of a pool of free 40S subunits,97,-0.5246570028508932,-2.2785003618067208,2.476665890052377e-8,3.7539178704936745e-6,2.8826156374444213e-6,3060,"tags=51%, list=19%, signal=41%",20044/57808/19921/67281/269261/76808/68436/20102/67248/20005/20055/20091/270106/100503670/319195/20084/11837/20103/98221/20115/57294/68052/67025/110954/66475/66235/13669/26451/20104/22186/67427/20068/66480/19899/67097/66483/53356/100042807/19934/27050/68028/19941/68135/67891/67941/20085/78294/16341/73830
R-MMU-72613,Eukaryotic Translation Initiation,115,-0.4861901954630865,-2.156420476142617,4.2349402716681426e-8,4.992524031377665e-6,3.833735403825898e-6,3060,"tags=46%, list=19%, signal=38%",19921/67281/269261/76808/22384/68436/20102/67248/20005/67204/20055/20091/270106/100503670/319195/20084/11837/20103/98221/20115/57294/68052/67025/217869/110954/66475/66235/13669/26451/20104/22186/67427/20068/66480/19899/209354/67097/66483/53356/75705/100042807/19934/27050/68028/108067/19941/68135/67891/67941/20085/78294/16341/73830
R-MMU-72737,Cap-dependent Translation Initiation,115,-0.4861901954630865,-2.156420476142617,4.2349402716681426e-8,4.992524031377665e-6,3.833735403825898e-6,3060,"tags=46%, list=19%, signal=38%",19921/67281/269261/76808/22384/68436/20102/67248/20005/67204/20055/20091/270106/100503670/319195/20084/11837/20103/98221/20115/57294/68052/67025/217869/110954/66475/66235/13669/26451/20104/22186/67427/20068/66480/19899/209354/67097/66483/53356/75705/100042807/19934/27050/68028/108067/19941/68135/67891/67941/20085/78294/16341/73830
R-MMU-1428517,Aerobic respiration and respiratory electron transport,190,-0.40466239980710783,-1.9269450235841503,3.337430769801195e-7,3.541014046759068e-5,2.719127806132764e-5,3012,"tags=35%, list=19%, signal=29%",76187/12866/17993/67184/74316/12862/67105/66694/68342/595136/66379/72795/54405/68002/18004/16828/18746/382051/66091/110323/67273/12858/66495/15159/14874/104130/12867/69046/236900/66142/231430/22186/11739/20916/17449/227197/12864/17992/75597/15929/66152/20523/67044/78920/170718/66377/68198/68263/226646/68202/22273/16832/68493/66046/66218/68194/14719/13063/108755/110826/14651/75406/110842/56451/22187/78294/67264
