ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006119,oxidative phosphorylation,110,-0.5872581048878328,-2.4852070738252308,1e-10,2.0163333333333333e-7,1.7747368421052634e-7,2795,"tags=51%, list=17%, signal=42%",72900/67530/72759/12122/73467/70556/56428/17869/78330/67914/66495/17993/12862/66383/68342/54405/11474/66377/17991/67680/66142/230125/13063/56312/66148/68349/67184/11848/68202/12868/12064/66925/66152/66694/66592/67130/268697/12861/22273/66972/69875/227197/12867/104130/595136/68194/110323/66091/12859/75406/66218/67267/67264/13382/66046/12864
GO:0009060,aerobic respiration,154,-0.5135197027663505,-2.29183333591212,1e-10,2.0163333333333333e-7,1.7747368421052634e-7,2795,"tags=44%, list=17%, signal=36%",72900/67530/72759/12122/73467/70556/63873/56428/17869/76824/17840/78330/67914/66495/17993/170731/12862/66383/68342/54405/11474/66377/17991/17448/67680/66142/230125/13063/56312/66148/68349/67184/11848/68202/12868/12064/66925/14533/66152/66694/66592/67130/268697/11651/20916/12861/68263/22273/66972/69875/170718/227197/12867/104130/595136/68194/110323/66091/12859/75406/66218/67267/12833/67264/13382/66046/12864
GO:0030198,extracellular matrix organization,288,-0.4233647816214076,-2.0297509279624473,1e-10,2.0163333333333333e-7,1.7747368421052634e-7,2306,"tags=27%, list=14%, signal=24%",18822/71890/380664/14086/12837/109254/18073/11606/58859/12306/14230/17181/12826/17385/16948/18034/102693/240725/72043/52335/56429/12818/52076/71914/14083/14758/216725/12827/226089/12814/20682/107250/12845/56693/12821/240913/23876/17183/13110/17384/11820/17387/12825/53381/12819/18015/219151/67896/12633/229534/23794/16773/13010/13040/14726/207596/17390/23871/50706/12831/268780/12832/12406/12842/54631/12843/15530/17381/13078/13717/12833/66214/208936/56348/17392/16854/16412/20319/17228
GO:0043062,extracellular structure organization,289,-0.42263944713679685,-2.024040337622419,2.3431881437212713e-10,3.5434862703424924e-7,3.118906744984787e-7,2306,"tags=27%, list=14%, signal=24%",18822/71890/380664/14086/12837/109254/18073/11606/58859/12306/14230/17181/12826/17385/16948/18034/102693/240725/72043/52335/56429/12818/52076/71914/14083/14758/216725/12827/226089/12814/20682/107250/12845/56693/12821/240913/23876/17183/13110/17384/11820/17387/12825/53381/12819/18015/219151/67896/12633/229534/23794/16773/13010/13040/14726/207596/17390/23871/50706/12831/268780/12832/12406/12842/54631/12843/15530/17381/13078/13717/12833/66214/208936/56348/17392/16854/16412/20319/17228
GO:0045229,external encapsulating structure organization,289,-0.41865990606382275,-2.0049821268673838,4.3606717060613586e-10,4.6859338921901863e-7,4.124466615046935e-7,2306,"tags=27%, list=14%, signal=24%",18822/71890/380664/14086/12837/109254/18073/11606/58859/12306/14230/17181/12826/17385/16948/18034/102693/240725/72043/52335/56429/12818/52076/71914/14083/14758/216725/12827/226089/12814/20682/107250/12845/56693/12821/240913/23876/17183/13110/17384/11820/17387/12825/53381/12819/18015/219151/67896/12633/229534/23794/16773/13010/13040/14726/207596/17390/23871/50706/12831/268780/12832/12406/12842/54631/12843/15530/17381/13078/13717/12833/66214/208936/56348/17392/16854/16412/20319/17228
GO:0015980,energy derivation by oxidation of organic compounds,301,-0.4098537430799651,-1.9727149071383248,4.6479754262094756e-10,4.6859338921901863e-7,4.124466615046935e-7,2592,"tags=33%, list=16%, signal=28%",93757/12122/71701/110095/73467/70556/63873/66494/68015/14583/56428/227731/242700/17869/76824/17840/12846/22059/12421/78330/67914/66495/17993/73181/18021/77559/170731/16367/12862/66383/18124/68342/72157/56857/110094/54405/11474/66377/17991/17448/20411/67680/66142/230125/13063/56312/66148/68349/70673/67184/11848/68202/19046/56637/54636/12868/12064/66925/14533/68002/66152/66694/66592/50799/56351/57436/108099/67130/268697/11651/16847/20916/18605/12861/68263/22273/66972/110826/69875/170718/227197/12867/104130/595136/68194/110323/66091/12859/75406/110842/66218/16000/18682/67267/12833/67264/13382/66046/12864
GO:0045333,cellular respiration,210,-0.45521861918611817,-2.101667678124952,1.1036652158572392e-9,9.537244129600628e-7,8.394494228279573e-7,2592,"tags=38%, list=16%, signal=32%",93757/12122/71701/73467/70556/63873/66494/68015/56428/227731/242700/17869/76824/17840/78330/67914/66495/17993/73181/18021/170731/12862/66383/18124/68342/56857/54405/11474/66377/17991/17448/67680/66142/230125/13063/56312/66148/68349/70673/67184/11848/68202/12868/12064/66925/14533/68002/66152/66694/66592/50799/67130/268697/11651/20916/12861/68263/22273/66972/110826/69875/170718/227197/12867/104130/595136/68194/110323/66091/12859/75406/110842/66218/67267/12833/67264/13382/66046/12864
GO:0007160,cell-matrix adhesion,212,-0.42236255094797315,-1.9495977584924897,5.232462960615408e-8,3.516796494306956e-5,3.095414930385115e-5,2745,"tags=34%, list=17%, signal=29%",19262/16420/18074/241639/12361/225631/23991/12554/18787/16419/12571/16408/67811/11465/16414/18708/18073/94175/11606/58859/434204/16403/12306/16449/226352/11474/20349/19229/16728/20411/19272/110829/18792/14083/18607/14758/18606/12490/11848/105352/16402/56637/19247/72349/16401/17387/12825/18015/329278/74769/18829/192119/16400/12125/16202/12387/12552/50706/16398/208777/21838/12512/64930/12491/12631/230379/19353/18552/17381/77569/109711/16412/11815
GO:0006091,generation of precursor metabolites and energy,415,-0.3564956069871523,-1.7677816659156598,4.840918113222419e-8,3.516796494306956e-5,3.095414930385115e-5,2592,"tags=28%, list=16%, signal=24%",93757/12122/71701/110095/73467/70556/63873/66494/68015/14583/328572/56428/227731/242700/17869/76824/17840/12846/22059/12421/108155/78330/67914/66495/110119/17993/73181/18021/77559/22228/170731/16367/17992/18648/12862/19164/66383/18124/68342/72157/56857/110094/54405/11474/66377/17991/17448/20411/67680/66142/230125/13063/56312/14148/12034/66148/68349/11676/26459/70673/67184/11848/68202/19046/15937/56637/54636/12868/12064/15356/11820/21428/66925/14533/68002/66152/66694/66592/50799/56351/57436/14635/108099/67130/268697/11651/16847/20916/18605/12861/68263/22273/16889/66972/110826/69875/170718/227197/12867/104130/595136/68194/110323/66091/12859/75406/110842/66218/16000/17425/18682/67267/12833/54403/67264/13382/66046/12864
GO:0009141,nucleoside triphosphate metabolic process,232,-0.40443939768768733,-1.8920559513398576,6.826918578476489e-8,4.1296030481204284e-5,3.634795175782535e-5,2397,"tags=30%, list=15%, signal=26%",328572/56428/227731/66401/17869/108155/78330/66495/110119/17993/22228/12628/12015/18648/57319/74143/19164/68342/331623/66725/54405/11717/11474/66377/17991/67680/56312/68349/23917/11676/98660/67184/11848/68202/15937/56520/11820/21428/66925/98496/66592/55936/11966/50799/14635/108099/67130/14923/18605/67414/19384/14904/66437/16889/12257/22171/69875/227197/104130/595136/68194/66091/75406/66218/16000/17425/12833/54403/67264/66046
