ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu05415,Diabetic cardiomyopathy,167,-0.5289990122577495,-2.3891895420715583,1e-10,8.600000000000001e-9,6.210526315789475e-9,2800,"tags=44%, list=17%, signal=36%",21812/72900/20683/67530/12896/14782/236900/14583/78330/66495/17993/11421/14584/16367/17992/18708/11606/17972/12862/68342/19354/54405/66377/17991/18751/67680/66142/26419/18798/22333/18750/68349/67184/68202/19046/55951/56637/12868/22335/12825/66925/66152/66694/74769/67130/11651/12861/17390/68263/22273/69875/12491/227197/12867/22334/104130/12842/19353/595136/68194/110323/12843/66091/12859/75406/66218/70456/13058/11740/67264/66046/12864/17228
mmu03010,Ribosome,168,-0.5104107116037022,-2.302350775908131,1e-10,8.600000000000001e-9,6.210526315789475e-9,1811,"tags=36%, list=11%, signal=32%",67707/79044/78294/57808/27393/66163/67248/67281/66292/94064/67097/67025/68499/66483/26451/64658/20103/67891/66475/14548/27176/11837/76846/94067/20090/19934/100503670/78523/60441/74600/100043813/66489/20115/68028/19935/19896/64659/121022/27050/56284/76808/66845/75398/77721/20044/22186/20085/94065/216767/100502825/57312/20084/19941/54127/75617/67308/66480/18100/67941/57294
mmu05012,Parkinson disease,218,-0.46317174977527054,-2.1472616472527988,1e-10,8.600000000000001e-9,6.210526315789475e-9,2230,"tags=35%, list=14%, signal=30%",22059/78330/66495/17993/170731/67951/17992/20192/18749/12862/227613/68342/26443/78294/19179/66725/54405/22166/66377/19167/17991/67680/66142/13063/16574/26419/69077/22333/12314/106947/22142/20655/26446/18803/68349/12313/67184/68202/12868/22335/56228/66925/66152/66694/18024/67130/22146/30791/14828/17463/67414/12861/22273/22186/69875/214084/227197/12867/22334/104130/22433/595136/68194/110323/66091/12859/75406/66218/26444/66997/11740/67264/19252/66046/12864/22187
mmu05020,Prion disease,221,-0.4537091877175108,-2.1077509385294646,1e-10,8.600000000000001e-9,6.210526315789475e-9,2204,"tags=33%, list=14%, signal=28%",78330/66495/17993/12288/12262/14360/67951/17992/18708/12015/20192/18749/17972/12862/227613/68342/26443/19354/19179/54405/66377/19167/17991/67680/66142/13063/16574/26419/69077/22333/22142/20655/26446/68349/67184/68202/56637/12868/22335/66925/66152/66694/74769/67130/22146/14828/19058/17463/12861/22273/12279/69875/227197/12867/22334/104130/19353/595136/68194/110323/66091/12859/75406/12260/66218/13058/26444/66997/11740/67264/66046/12864
mmu05208,Chemical carcinogenesis - reactive oxygen species,185,-0.47495011280375055,-2.1612481992576638,4.5641129095427266e-10,3.1401096817653955e-8,2.267643466635965e-8,2204,"tags=36%, list=14%, signal=31%",78330/211666/66495/17993/14867/17992/16476/18708/12015/12862/68342/14866/54405/101540/66377/18104/17991/67680/66142/14281/26419/22333/14083/20655/18607/68349/15368/67184/68202/19247/12868/19246/22335/14873/58810/66925/66152/66694/74769/18024/67130/11651/18035/12861/22273/69875/227197/12867/22334/56615/104130/19353/595136/68194/110323/66447/66091/12859/75406/13078/66218/14860/11740/67264/66046/12864
mmu04932,Non-alcoholic fatty liver disease,144,-0.47668552401966463,-2.110175857200701,1.5269691103879225e-8,8.31378009285416e-7,6.00383140120435e-7,2228,"tags=36%, list=14%, signal=31%",22259/78330/66495/17993/16367/17992/16476/18708/12862/68342/54405/66377/17991/26403/67680/66142/14281/13063/26419/68349/67184/68202/56637/12868/21428/66925/66152/66694/74769/108099/67130/12125/11651/16847/12861/22273/69875/227197/12867/104130/22433/19353/595136/68194/110323/66091/12859/75406/66218/67264/66046/12864
mmu05016,Huntington disease,251,-0.4052231734271427,-1.9062890005342161,1.6917575770342766e-8,8.31378009285416e-7,6.00383140120435e-7,2547,"tags=32%, list=16%, signal=28%",14776/110083/19712/20021/72504/328572/208677/215114/53623/22059/12421/78330/66495/17993/67300/67951/17992/20466/54152/12862/74325/227613/67710/68342/26443/29869/19179/54405/66377/19167/17991/66491/67680/66142/13063/16574/26419/69077/18798/22333/22142/20655/26446/68349/67184/68202/12868/12064/22335/66925/66152/66694/21374/67130/53598/22146/17463/12861/22273/69241/56208/69875/227197/12867/22334/104130/595136/68194/110323/66091/12859/75406/66218/11772/26444/14778/66997/11740/67264/66046/12864
mmu00190,Oxidative phosphorylation,98,-0.5326274972362466,-2.203163866404112,2.027402767118531e-8,8.717831898609683e-7,6.295619118947017e-7,2204,"tags=43%, list=14%, signal=37%",78330/66495/17993/21871/17992/12862/68342/54405/66377/17991/67680/66142/13063/68349/73834/67184/68202/12868/66925/66152/66694/11966/67130/12861/22273/66144/69875/227197/12867/104130/595136/68194/110323/66091/11974/12859/242341/75406/66218/67264/66046/12864
mmu05010,Alzheimer disease,324,-0.38031655181304624,-1.8338438810432265,2.28622897022215e-8,8.738475175071329e-7,6.310526748215525e-7,2220,"tags=28%, list=14%, signal=25%",12421/78330/66495/17993/12288/66340/14365/67951/16367/17992/18708/12015/20192/12333/12862/19164/13544/227613/23821/68342/26443/29869/19179/54405/234664/66377/19167/17991/67680/66142/13063/16574/26419/69077/18798/22333/12314/106947/22142/26446/68349/11487/12313/67184/68202/56637/12868/22335/11820/226548/16974/22409/66925/66152/66694/74769/67130/22146/11651/13542/12387/30791/19058/17463/12861/22273/16956/56208/69875/68318/227197/12867/22334/104130/22433/595136/68194/110323/66091/14362/12859/75406/11816/66218/13058/26444/66997/11740/67264/66046/12864
mmu04714,Thermogenesis,189,-0.42334102342665303,-1.9309861239063513,8.011267719466508e-8,2.7558760954964786e-6,1.9901675597832588e-6,2213,"tags=29%, list=14%, signal=25%",11465/78330/66495/17993/75597/11512/17992/18749/12862/19744/68342/432530/54405/66377/17991/67680/66142/66379/68493/68349/70673/67184/68202/110651/12868/14182/18158/66925/433256/66152/66694/108099/67605/67130/50790/12861/57279/22273/64930/69875/227197/12867/104130/595136/68194/110323/66091/66853/12859/75406/11461/66218/67264/66046/12864
