ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-MMU-6805567,Keratinization,109,0.5896393354454403,2.534668459895519,1e-10,5.31e-8,3.957894736842105e-8,2920,"tags=55%, list=18%, signal=45%",13510/70166/72432/223915/64818/16678/20862/99681/16705/94179/67451/406220/18772/435273/320864/78753/170651/109620/71369/66708/74127/268885/16691/268905/70810/69473/665992/70843/432602/105866/68673/16671/665891/21816/114566/109052/71453/16661/16679/435285/69464/77918/56460/16675/71529/16660/56735/66380/16672/626834/16700/13507/14027/69511/16693/20129/332131/68484/12365/13511
R-MMU-1474244,Extracellular matrix organization,196,-0.49604322392391886,-2.2673258421814864,1e-10,5.31e-8,3.957894736842105e-8,2306,"tags=40%, list=14%, signal=34%",246707/16420/18074/18451/20969/14118/18822/16419/16408/12837/26365/16414/18073/12333/232345/58859/16403/50530/210530/14119/12826/17385/16948/12818/18750/11487/216725/13030/15529/12827/12814/12336/12845/16402/21857/12821/240913/16423/23876/17183/17384/11820/16401/17387/12825/12819/329278/13039/12816/16400/76477/23794/13040/18550/11489/12111/17390/16398/12831/17022/14115/12832/12406/12834/13038/12842/21923/12843/20970/17381/16456/13717/12833/20692/17392/16412/13179/17228
R-MMU-72766,Translation,219,-0.44354793512114,-2.0502328407064554,7.978545478767646e-10,2.8244050994837464e-7,2.1052162105379894e-7,2350,"tags=47%, list=15%, signal=41%",235606/50529/68735/98221/68193/66047/27370/94062/69089/13669/53356/20055/107733/14109/28028/19899/65019/75705/67270/19942/74776/110954/13665/102060/66242/217337/66235/22384/73830/68052/64655/27398/67674/14852/114641/67707/209354/79044/78294/57808/27393/66163/67248/108067/67281/66292/223691/94064/67097/67025/68499/66483/26451/16341/66077/64658/20103/13685/67891/66475/14548/27176/11837/76846/20090/19934/100503670/78523/60441/74600/100043813/66489/20115/68028/13681/19935/64659/121022/20813/27050/56284/76808/66845/75398/77721/20044/22186/20085/94065/216767/100502825/67871/57312/20084/19941/13627/54127/75617/67308/66480/18100/67941/57294
R-MMU-6809371,Formation of the cornified envelope,73,0.5841485578739157,2.3309093054112946,3.5910920070064506e-9,9.534349278602127e-7,7.106582077023293e-7,2920,"tags=56%, list=18%, signal=46%",13510/70166/72432/223915/64818/16678/20862/99681/94179/67451/406220/18772/320864/78753/109620/74127/268885/16691/70810/70843/105866/16671/21816/114566/109052/16661/16679/56460/16675/71529/16660/56735/16672/626834/13507/14027/69511/20129/332131/12365/13511
R-MMU-611105,Respiratory electron transport,113,-0.5158479934141347,-2.171738404954834,8.263913783484888e-9,1.7552552876121904e-6,1.3083080347748708e-6,2204,"tags=40%, list=14%, signal=35%",78330/66495/17993/75597/17992/12862/66383/68342/54405/66377/17991/17448/66142/13063/66379/68493/68349/15159/67184/68202/12868/66152/66694/67899/50799/67130/66278/12861/22273/110826/227197/12867/67044/104130/595136/68194/110323/66091/75406/108755/110842/66218/67264/66046/12864
R-MMU-1428517,Aerobic respiration and respiratory electron transport,190,-0.4415909807103304,-2.0163432133124246,2.1985897038935192e-8,3.891503775891529e-6,2.900595539171801e-6,2204,"tags=33%, list=14%, signal=28%",78330/66495/17993/22228/75597/17992/12862/66383/68342/78294/381511/54405/66089/66377/107029/17991/17448/67680/66142/13063/66379/68493/22333/68349/15159/67184/68202/12868/66925/68002/66152/66694/67899/50799/14651/67130/66278/382051/20916/12861/68263/22273/110826/22186/170718/227197/12867/67044/104130/595136/68194/110323/66091/75406/108755/110842/66218/67264/13382/66046/12864/22187
R-MMU-1474228,Degradation of the extracellular matrix,90,-0.5285542884212795,-2.1400635275491764,1.1499837144254382e-7,1.526603380899769e-5,1.137878622694644e-5,1976,"tags=39%, list=12%, signal=34%",18073/12333/232345/14119/12826/17385/11487/13030/12827/12814/12336/21857/240913/17384/17387/12825/12819/13039/12816/23794/13040/18550/17390/12831/12832/12834/13038/12842/12843/17381/13717/12833/17392/13179/17228
R-MMU-109582,Hemostasis,439,-0.34141227570336946,-1.6900224266505584,1.0161519765546435e-7,1.526603380899769e-5,1.137878622694644e-5,3073,"tags=33%, list=19%, signal=27%",21933/69524/20194/19053/11601/16554/12315/14701/11537/94176/66082/11747/12419/66053/17254/20343/50915/20969/71819/19084/18793/56212/19039/226849/19156/259300/73699/100502766/238130/11905/215449/16408/217837/20339/67972/11465/78287/13139/54216/26365/14360/170731/67951/12523/17135/16414/18708/94175/18749/11600/109232/232345/227613/16403/12306/14706/109905/19354/14676/72461/13601/71660/70945/231602/23921/216869/12258/104418/21824/227333/16818/18751/71946/18792/18750/12314/14083/22142/57257/20655/18607/18803/330836/12313/14127/22761/16331/15529/14702/19124/11848/56193/17319/16402/21857/320707/19247/19348/16423/19246/11820/16558/16401/66066/20340/22325/18405/74769/16426/16400/15081/19128/14726/19241/22146/11651/67414/14191/14205/12512/14707/16551/56744/12491/12842/19353/16149/12843/20970/20344/12527/231871/16456/16000/16564/74145/20720/268373/20692/109711/74840/14688/16412
R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,88,-0.5208303225320893,-2.093497232076765,1.8530381231874526e-7,1.9679264868250748e-5,1.4668259669862783e-5,1698,"tags=40%, list=11%, signal=36%",78294/57808/67248/67281/67097/67025/66483/26451/20103/67891/66475/27176/11837/76846/20090/19934/100503670/100043813/66489/20115/68028/20813/27050/76808/20044/22186/20085/100502825/20084/19941/54127/75617/66480/67941/57294
R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,385,-0.3551653933819846,-1.7413010424870852,1.693383963411862e-7,1.9679264868250748e-5,1.4668259669862783e-5,2677,"tags=29%, list=17%, signal=25%",18481/22190/58194/13982/239463/80707/20021/13649/73699/328572/15200/215449/11465/72514/13367/66340/21802/67300/21871/14360/235584/77480/16367/18708/18749/54152/17972/19205/11845/67710/109905/71920/78294/78757/68705/12826/11839/12562/17974/23921/16590/19229/16818/18751/66491/19272/13866/18750/12314/14083/57257/18607/18803/329165/12313/12827/12814/73834/11848/56424/19247/72349/319939/110651/19246/14182/20852/12064/54635/226548/12825/22325/14254/227743/14180/74769/11966/14159/16400/17999/18550/11651/15382/14178/12387/16398/12831/66144/69241/14205/14183/22186/12832/67903/12834/12842/19353/12843/11974/242341/18552/13854/11461/16000/11772/13058/12833/24064/16412/22187/17228
