"gen","media de conteos normalizados","log2 fold change","error estandar de LFC","estadistico de Wald","p-value","p-value ajustado"
"Agpat2",204,1.1,0.14,7.71,"< 0.001","< 0.0001 (****)"
"Ndufc1",649,0.826,0.11,7.37,"< 0.001","< 0.0001 (****)"
"Uqcr11",483,0.868,0.12,7.4,"< 0.001","< 0.0001 (****)"
"Atp5k",427,0.852,0.12,7.03,"< 0.001","< 0.0001 (****)"
"Plin2",107,1.12,0.17,6.7,"< 0.001","< 0.0001 (****)"
"Uqcr10",597,0.861,0.13,6.51,"< 0.001","< 0.0001 (****)"
"Cox6b1",551,0.875,0.14,6.32,"< 0.001","< 0.0001 (****)"
"Eno1",397,1.09,0.17,6.23,"< 0.001","< 0.0001 (****)"
"Chpt1",490,0.808,0.13,6.19,"< 0.001","< 0.0001 (****)"
"Chchd10",293,0.996,0.16,6.16,"< 0.001","< 0.0001 (****)"
"Gm10053",566,1.05,0.17,6.14,"< 0.001","< 0.0001 (****)"
"Acsl5",58.9,1.36,0.22,6.13,"< 0.001","< 0.0001 (****)"
"Cycs",448,1.05,0.17,6.11,"< 0.001","< 0.0001 (****)"
"Elovl6",184,1.35,0.22,6.08,"< 0.001","< 0.0001 (****)"
"Mpc2",350,0.998,0.17,6.04,"< 0.001","< 0.0001 (****)"
"Ndufv3",174,0.85,0.14,5.96,"< 0.001","< 0.0001 (****)"
"Cyr61",91,-1.41,0.24,-5.96,"< 0.001","< 0.0001 (****)"
"Atp5j2",488,0.852,0.14,5.92,"< 0.001","< 0.0001 (****)"
"Gm20594",63.8,1.62,0.27,5.9,"< 0.001","< 0.0001 (****)"
"Uqcrq",793,0.881,0.15,5.74,"< 0.001","< 0.0001 (****)"
"Pfkl",55.1,1.27,0.22,5.72,"< 0.001","< 0.0001 (****)"
"Otop1",34.9,1.48,0.26,5.68,"< 0.001","< 0.0001 (****)"
"Ndufa4",421,0.803,0.14,5.67,"< 0.001","< 0.0001 (****)"
"Ndufa6",339,0.689,0.12,5.61,"< 0.001","< 0.0001 (****)"
"Hadha",227,0.944,0.17,5.6,"< 0.001","< 0.0001 (****)"
"Ndufb6",173,0.887,0.16,5.6,"< 0.001","< 0.0001 (****)"
"Ndufb9",258,0.784,0.14,5.57,"< 0.001","< 0.0001 (****)"
"Ndufb8",412,0.905,0.16,5.56,"< 0.001","< 0.0001 (****)"
"Ndufa1",353,0.705,0.13,5.52,"< 0.001","< 0.0001 (****)"
"Thrsp",723,0.935,0.17,5.5,"< 0.001","< 0.0001 (****)"
"Ucp1",602,1.27,0.23,5.5,"< 0.001","< 0.0001 (****)"
"Cox7c",546,0.74,0.13,5.5,"< 0.001","< 0.0001 (****)"
"Cox8b",851,1.1,0.2,5.47,"< 0.001","< 0.0001 (****)"
"Cox6a1",498,0.786,0.14,5.49,"< 0.001","< 0.0001 (****)"
"Ndufb5",150,0.891,0.16,5.47,"< 0.001","< 0.0001 (****)"
"4931406C07Rik",59.5,1.25,0.23,5.48,"< 0.001","< 0.0001 (****)"
"Atp5o",295,0.762,0.14,5.46,"< 0.001","< 0.0001 (****)"
"G6pdx",31.6,1.43,0.26,5.45,"< 0.001","< 0.0001 (****)"
"Mpc1",551,0.916,0.17,5.38,"< 0.001","< 0.0001 (****)"
"Ghitm",199,0.827,0.15,5.39,"< 0.001","< 0.0001 (****)"
"Ndufb4",264,0.76,0.14,5.33,"< 0.001","< 0.0001 (****)"
"Cox5b",358,0.839,0.16,5.29,"< 0.001","< 0.0001 (****)"
"Ldha",244,0.86,0.16,5.27,"< 0.001","< 0.0001 (****)"
"Cox6c",621,0.666,0.13,5.26,"< 0.001","< 0.0001 (****)"
