"gen","media de conteos normalizados","log2 fold change","error estandar de LFC","estadistico de Wald","p-value","p-value ajustado"
"Agpat2",200,1.02,0.18,5.53,"< 0.001","< 0.0001 (****)"
"Ddhd2",54,1.12,0.22,5.14,"< 0.001","0.0004 (***)"
"Uqcr11",459,0.701,0.15,4.7,"< 0.001","0.002 (**)"
"Ndufv3",166,0.683,0.15,4.62,"< 0.001","0.002 (**)"
"Ndufc2",102,0.763,0.17,4.61,"< 0.001","0.002 (**)"
"Pgd",71,1.23,0.26,4.66,"< 0.001","0.002 (**)"
"Chchd10",291,0.918,0.2,4.52,"< 0.001","0.002 (**)"
"Atp5k",393,0.611,0.14,4.36,"< 0.001","0.003 (**)"
"Ndufa12",314,0.703,0.16,4.42,"< 0.001","0.003 (**)"
"Cyc1",193,0.702,0.16,4.37,"< 0.001","0.003 (**)"
"Cib2",75.6,0.836,0.19,4.41,"< 0.001","0.003 (**)"
"Btg2",63.8,-1.08,0.25,-4.26,"< 0.001","0.004 (**)"
"Cox6b1",520,0.687,0.17,4.11,"< 0.001","0.007 (**)"
"Hadha",217,0.797,0.19,4.1,"< 0.001","0.007 (**)"
"Elovl6",162,1.03,0.25,4.09,"< 0.001","0.007 (**)"
"Ctgf",242,-0.928,0.23,-4.02,"< 0.001","0.009 (**)"
"Cox7b",274,0.618,0.16,3.95,"< 0.001","0.011 (*)"
"Uqcrfs1",188,0.719,0.18,3.96,"< 0.001","0.011 (*)"
"Uqcr10",555,0.639,0.16,3.89,"< 0.001","0.013 (*)"
"Dusp1",110,-0.791,0.21,-3.83,"< 0.001","0.016 (*)"
"Hk2",77.7,0.845,0.22,3.79,"< 0.001","0.017 (*)"
"Gpd1",302,1.05,0.28,3.72,"< 0.001","0.020 (*)"
"Bola3",104,0.645,0.17,3.72,"< 0.001","0.020 (*)"
"Fos",44.2,-1.17,0.31,-3.74,"< 0.001","0.020 (*)"
"Uqcrq",739,0.665,0.18,3.68,"< 0.001","0.023 (*)"
"G6pdx",26.6,1.07,0.29,3.65,"< 0.001","0.024 (*)"
"Cycs",417,0.848,0.23,3.61,"< 0.001","0.027 (*)"
"Pdha1",188,0.714,0.2,3.61,"< 0.001","0.027 (*)"
"Mgll",164,0.71,0.2,3.6,"< 0.001","0.027 (*)"
"Gm10053",518,0.808,0.23,3.59,"< 0.001","0.027 (*)"
"Plin2",104,1,0.28,3.58,"< 0.001","0.027 (*)"
"Cpt2",41.3,0.928,0.26,3.57,"< 0.001","0.027 (*)"
"Gpd2",149,0.775,0.22,3.53,"< 0.001","0.028 (*)"
"Mrps36",93.6,0.701,0.2,3.54,"< 0.001","0.028 (*)"
"4931406C07Rik",49.2,0.846,0.24,3.53,"< 0.001","0.028 (*)"
"Elovl3",24.7,1.52,0.43,3.54,"< 0.001","0.028 (*)"
"Aldoa",901,0.75,0.21,3.5,"< 0.001","0.028 (*)"
"Ucp1",535,0.982,0.28,3.45,"< 0.001","0.028 (*)"
"Chpt1",463,0.618,0.18,3.46,"< 0.001","0.028 (*)"
"Eno1",358,0.813,0.24,3.46,"< 0.001","0.028 (*)"
"Ndufb9",248,0.649,0.19,3.46,"< 0.001","0.028 (*)"
"Ppp2r5a",179,0.617,0.18,3.5,"< 0.001","0.028 (*)"
"Fabp3",128,0.8,0.23,3.5,"< 0.001","0.028 (*)"
"Ndufb5",140,0.678,0.19,3.49,"< 0.001","0.028 (*)"
"Apoc1",101,0.728,0.21,3.45,"< 0.001","0.028 (*)"
"Mrpl30",91.8,0.764,0.22,3.51,"< 0.001","0.028 (*)"
"Rbp7",52.8,2.41,0.69,3.49,"< 0.001","0.028 (*)"
"Gm20594",46,0.926,0.27,3.46,"< 0.001","0.028 (*)"
"Letmd1",44.6,0.87,0.25,3.46,"< 0.001","0.028 (*)"
"Otop1",29.3,1.06,0.31,3.47,"< 0.001","0.028 (*)"
"Ghitm",187,0.625,0.18,3.44,"< 0.001","0.028 (*)"
"Acadl",225,0.876,0.26,3.4,"< 0.001","0.029 (*)"
"Atox1",96.5,0.663,0.19,3.4,"< 0.001","0.029 (*)"
"Acsl5",49.9,0.966,0.28,3.4,"< 0.001","0.029 (*)"
"Pcx",46.1,0.796,0.23,3.42,"< 0.001","0.029 (*)"
"Xist",45.1,7.49,2.2,3.42,"< 0.001","0.029 (*)"
"Mustn1",97.9,-0.719,0.21,-3.41,"< 0.001","0.029 (*)"
"Egr1",30.8,-1.12,0.33,-3.4,"< 0.001","0.029 (*)"
"Ldha",230,0.668,0.2,3.38,"< 0.001","0.029 (*)"
"Sod2",88.2,0.753,0.22,3.38,"< 0.001","0.029 (*)"
"2410015M20Rik",76.3,0.702,0.21,3.38,"< 0.001","0.029 (*)"
"Acaca",222,0.881,0.26,3.37,"< 0.001","0.029 (*)"
"Idh3a",154,0.69,0.2,3.37,"< 0.001","0.029 (*)"
"Fam195a",64.1,0.806,0.24,3.36,"< 0.001","0.030 (*)"
"Cox8b",744,0.766,0.23,3.35,"< 0.001","0.030 (*)"
"Atp5e",287,0.65,0.19,3.35,"< 0.001","0.030 (*)"
"Mpc2",315,0.715,0.21,3.33,"< 0.001","0.031 (*)"
