"gen","media de conteos normalizados","log2 fold change","error estandar de LFC","estadistico de Wald","p-value","p-value ajustado"
"Mup2",154,5.45,0.63,8.7,"< 0.001","< 0.0001 (****)"
"Nudt7",87.5,-1.4,0.28,-5.01,"< 0.001","0.0005 (***)"
"Ces3b",78.7,-0.972,0.2,-4.98,"< 0.001","0.0005 (***)"
"Gm13775",44.3,-2.01,0.4,-5.02,"< 0.001","0.0005 (***)"
"Abhd2",50.1,1.75,0.36,4.8,"< 0.001","0.0009 (***)"
"Fmo2",20.3,1.75,0.39,4.51,"< 0.001","0.003 (**)"
"Mup3",7090,-1.27,0.29,-4.42,"< 0.001","0.004 (**)"
"Cyp2b13",33.7,7.17,1.7,4.28,"< 0.001","0.007 (**)"
"Fmo3",17.9,6.21,1.5,4.08,"< 0.001","0.015 (*)"
"Ociad2",19,-1.48,0.38,-3.92,"< 0.001","0.027 (*)"
"Sult3a1",46.3,6.37,1.6,3.86,"< 0.001","0.031 (*)"
"Thrsp",182,-1.51,0.4,-3.79,"< 0.001","0.036 (*)"
"Cyp7b1",28.7,-1.91,0.5,-3.79,"< 0.001","0.036 (*)"
"Slc22a7",16.7,-1.34,0.36,-3.71,"< 0.001","0.047 (*)"
