"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight_ks"	"weight_ks_adjusted"	"genes_id"
"GO:0042612"	"MHC class I protein complex"	7	1	0.08	"0.00010"	0.00384	"B2M"
"GO:0005758"	"mitochondrial intermembrane space"	55	4	0.62	"0.00016"	0.00384	"COX17,COX6B1,PARK7,TIMM8B"
"GO:0005925"	"focal adhesion"	279	13	3.16	"0.00031"	0.00496	"B2M,PFN1,RAC2,RPL3,RPL31,RPL37A,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS29"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	26	1	0.29	"0.00058"	0.00696	"CD74"
"GO:0016234"	"inclusion body"	56	2	0.64	"0.00174"	0.0119314285714286	"FBXO7,GPX1"
"GO:0016020"	"membrane"	4423	64	50.17	"0.00259"	0.01554	"ALAS2,ARHGAP15,ATP5F1E,ATP5ME,B2M,BID,CD3D,CD52,CD74,COX6B1,COX7C,EMP3,FCGRT,FKBP8,FTH1,FTL,GYPC,HBA1,IFITM1,IFITM2,IFITM3,LINGO1,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND3,MT-ND4,MT-ND5,MYL6,NDUFB2,OST4,PARK7,PFN1,PSME2,RAC2,RPL11,RPL13,RPL15,RPL18A,RPL31,RPL36A-HNRNPH2,RPLP0,RPS16,RPS18,RPS19,RPS2,RPS26,RPS29,S100A12,S100A6,S100A8,SEC61B,SELL,SLC25A37,SLC25A39,SLC26A3,TIMM8B,UBB,UBXN6,UQCRB,VEPH1"
"GO:0045277"	"respiratory chain complex IV"	6	3	0.07	"0.00348"	0.01856	"COX6B1,MT-CO2,MT-CO3"
"GO:1904813"	"ficolin-1-rich granule lumen"	112	1	1.27	"0.00443"	0.0198981818181818	"FTH1"
"GO:1904724"	"tertiary granule lumen"	40	2	0.45	"0.00528"	0.0201969230769231	"B2M,FTH1"
"GO:0098562"	"cytoplasmic side of membrane"	102	3	1.16	"0.01344"	0.03348	"RPS26,RPS29,S100A6"
"GO:0043209"	"myelin sheath"	138	1	1.57	"0.01351"	0.03348	"UBB"
"GO:0036477"	"somatodendritic compartment"	415	2	4.71	"0.02121"	0.0449929411764706	"MT-ND1,UBB"
"GO:0005791"	"rough endoplasmic reticulum"	55	3	0.62	"0.02130"	0.0449929411764706	"RPS26,RPS29,SEC61B"
"GO:0031966"	"mitochondrial membrane"	467	22	5.3	"0.02385"	0.0449929411764706	"ALAS2,ATP5F1E,ATP5ME,BID,COX6B1,COX7C,FKBP8,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND3,MT-ND4,MT-ND5,NDUFB2,SLC25A37,SLC25A39,TIMM8B,UBB,UQCRB"
"GO:0030667"	"secretory granule membrane"	216	1	2.45	"0.02537"	0.0449929411764706	"SELL"
"GO:0042105"	"alpha-beta T cell receptor complex"	5	1	0.06	"0.02908"	0.0449929411764706	"CD3D"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	47	2	0.53	"0.03045"	0.0449929411764706	"B2M,CD74"
"GO:0071682"	"endocytic vesicle lumen"	13	1	0.15	"0.03096"	0.0449929411764706	"HBA1"
"GO:0097413"	"Lewy body"	8	2	0.09	"0.03113"	0.0449929411764706	"FBXO7,GPX1"
"GO:0098556"	"cytoplasmic side of rough endoplasmic"	5	2	0.06	"0.03187"	0.0449929411764706	"RPS26,RPS29"
"GO:0005768"	"endosome"	563	5	6.39	"0.03939"	0.0484228571428571	"B2M,CD74,IFITM3,UBB,UBXN6"
"GO:0044754"	"autolysosome"	9	2	0.1	"0.04237"	0.0484228571428571	"FTH1,FTL"
"GO:0009986"	"cell surface"	339	5	3.85	"0.04408"	0.04852	"B2M,CD3D,CD74,LGALS1,SELL"
"GO:0044297"	"cell body"	279	3	3.16	"0.04693"	0.04852	"MT-ND1,PARK7,UBB"
