"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight_ks"	"weight_ks_adjusted"	"genes_id"
"GO:0003735"	"structural constituent of ribosome"	152	19	1.76	"< 1e-30"	NA	"RPL11,RPL13,RPL15,RPL18A,RPL3,RPL31,RPL36A-HNRNPH2,RPL37A,RPL41,RPLP0,RPLP1,RPS10-NUDT3,RPS16,RPS18,RPS19,RPS2,RPS26,RPS27,RPS29"
"GO:0043177"	"organic acid binding"	77	5	0.89	"0.00013"	0.00364	"ALAS2,HBA1,HBG1,HBM,S100A8"
"GO:0050786"	"RAGE receptor binding"	9	2	0.1	"0.00019"	0.00364	"S100A12,S100A8"
"GO:0019843"	"rRNA binding"	54	4	0.62	"0.00022"	0.00364	"RPL11,RPL3,RPLP0,RPS18"
"GO:0046933"	"proton-transporting ATP synthase activity,"	13	2	0.15	"0.00028"	0.00364	"ATP5F1E,MT-ATP6"
"GO:0004601"	"peroxidase activity"	30	5	0.35	"0.00028"	0.00364	"GPX1,HBA1,HBG1,HBM,PARK7"
"GO:0031386"	"protein tag activity"	8	1	0.09	"0.00085"	0.00920833333333333	"UBB"
"GO:0023026"	"MHC class II protein complex binding"	13	1	0.15	"0.00125"	0.0116071428571429	"CD74"
"GO:0005507"	"copper ion binding"	26	4	0.3	"0.00186"	0.0151125	"COX17,MT-CO2,PARK7,S100A12"
"GO:0005515"	"protein binding"	6144	72	71.02	"0.00708"	0.03306875	"ALAS2,B2M,BID,CD3D,CD74,COX17,COX6B1,DAZAP2,EMP3,FBXO7,FCGRT,FKBP8,FTH1,FTL,GIMAP7,GPX1,GYPC,H3F3B,HBA1,HBG1,HBM,IFIT3,IFITM1,IFITM3,LGALS1,LGALS2,LIMD2,LINGO1,MT-ATP6,MT-CO2,MT-CO3,MT-ND1,MT-ND3,MYL12A,MYL6,PARK7,PFN1,PSMA7,PSME2,RAC2,RFX3,RNF181,RPL11,RPL13,RPL15,RPL18A,RPL3,RPL31,RPL37A,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,S100A11,S100A12,S100A6,S100A8,SEC61B,SELL,SLC26A3,TMSB10,TRIR,TXN,UBB,UBXN6,UQCRB,VEPH1"
"GO:0016209"	"antioxidant activity"	49	5	0.57	"0.00774"	0.03306875	"GPX1,HBA1,HBG1,HBM,PARK7"
"GO:0050998"	"nitric-oxide synthase binding"	9	1	0.1	"0.00931"	0.03306875	"CD74"
"GO:0050839"	"cell adhesion molecule binding"	309	7	3.57	"0.01011"	0.03306875	"PARK7,PFN1,RPL15,RPS2,RPS26,S100A11,SELL"
"GO:0051920"	"peroxiredoxin activity"	8	1	0.09	"0.01068"	0.03306875	"PARK7"
"GO:0070180"	"large ribosomal subunit rRNA binding"	5	1	0.06	"0.01089"	0.03306875	"RPLP0"
"GO:0004602"	"glutathione peroxidase activity"	9	1	0.1	"0.01188"	0.03306875	"GPX1"
"GO:0004857"	"enzyme inhibitor activity"	166	2	1.92	"0.01221"	0.03306875	"AC005258.1,RPL11"
"GO:0016531"	"copper chaperone activity"	5	2	0.06	"0.01443"	0.0369644736842105	"COX17,PARK7"
"GO:0008121"	"ubiquinol-cytochrome-c reductase activity"	7	2	0.08	"0.01732"	0.0369644736842105	"MT-CYB,UQCRB"
"GO:0008233"	"peptidase activity"	270	2	3.12	"0.01985"	0.0369644736842105	"PARK7,PSMA7"
"GO:0003954"	"NADH dehydrogenase activity"	13	3	0.15	"0.02098"	0.0369644736842105	"MT-ND1,MT-ND4,MT-ND5"
"GO:0044548"	"S100 protein binding"	11	2	0.13	"0.02772"	0.0433563829787234	"S100A11,S100A6"
"GO:0004298"	"threonine-type endopeptidase activity"	19	1	0.22	"0.02948"	0.0433563829787234	"PSMA7"
"GO:0020037"	"heme binding"	45	4	0.52	"0.02963"	0.0433563829787234	"AC104389.5,HBA1,HBG1,HBM"
"GO:0031625"	"ubiquitin protein ligase binding"	213	4	2.46	"0.03103"	0.0433563829787234	"BID,FBXO7,RPL11,UBB"
"GO:0017134"	"fibroblast growth factor binding"	9	2	0.1	"0.03135"	0.0433563829787234	"RPS19,RPS2"
"GO:0005509"	"calcium ion binding"	245	7	2.83	"0.03262"	0.0436412280701754	"MYL12A,MYL6,S100A11,S100A12,S100A6,S100A8,SELL"
"GO:0050681"	"nuclear androgen receptor binding"	35	1	0.4	"0.03724"	0.0436412280701754	"PARK7"
"GO:0043236"	"laminin binding"	8	1	0.09	"0.03813"	0.0436412280701754	"LGALS1"
"GO:0015035"	"protein-disulfide reductase activity"	22	2	0.25	"0.03827"	0.0436412280701754	"SH3BGRL3,TXN"
"GO:0042609"	"CD4 receptor binding"	8	1	0.09	"0.04665"	0.0505578125	"CD74"
"GO:0002020"	"protease binding"	75	2	0.87	"0.04827"	0.0505578125	"PARK7,SELL"
